seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-2.3309123609198235,-1.88799699482364,-1.4970962228708957,-0.8249673937593419,-2.5141710384577367,-1.7943512656926917,-1.707538805110009,-1.0583871953885073,-2.713494263715766,-4.091065520919073,100
-3.634973360649944,-1.2861534164764947,-2.3236512001043637,-1.9866942857531675,-1.4035739083437504,-0.19891731794703416,-1.3986721375589073,-0.9144557506007039,-2.6565530730367533,-0.35782769441884965,200
-1.493135215359851,-2.1697519994315764,-1.146018465002609,-0.6095758225567087,-1.7772238379431429,-1.1993840159659364,-0.8053057479668753,-2.39901336618898,-0.8529670401469822,-1.3649793835810182,300
-1.6856697570691814,-1.671543973431167,-1.014527005261035,-1.8913600352119668,-0.38481592439747364,-1.7979596985216257,-0.8087746778649174,-1.9047566348458267,-1.1564788787223284,-2.968712364330829,400
-0.8597973775415414,-0.3611248155677725,-2.3563447630636816,-2.037741033192693,-2.3110700619058644,-0.848726054657825,-3.09061268915531,-1.4787667548366736,-0.8323725731223929,-0.7532391542513804,500
-1.8215826999848508,-0.14342802793229775,-3.24015847578997,-2.702818886842336,-1.060690020391897,-1.9557792833701528,-0.29780895818430597,-2.235699515520659,-2.693002587640101,-1.1806339059820294,600
-1.6272470969204749,-0.9001817855038946,-2.0993984324143184,-2.2407817679763418,-2.7655819928533862,-1.0037562412114325,-2.187650053395203,-1.2700072278963432,-0.43930174986540527,-0.4019164841702165,700
-1.6314406285814866,-1.1040185093225443,-0.9932358272759011,-1.3587063067668042,-0.71488404926415,-1.2835549687436572,-2.3899366561021185,-1.0438723735167985,-0.39372736265865677,-3.0155568947298512,800
-0.8757871450486668,-1.4971590391196643,-2.6037717929239506,-0.5042040619329501,-2.5509394428548666,-1.845037875667435,-2.442364976100182,-0.8585255504871993,-1.5197272711138474,-2.04357917272272,900
-1.3680805755688359,-1.5698082317694229,-0.9899871989539955,-0.8484263848521635,-2.359437079199612,-2.500758587839379,-1.360182882943528,-2.2343500125000695,-2.2611168827137353,-1.4176238847238694,1000
-1.2659325460674045,-1.5408464814789526,-0.8719208918042963,-0.17078425284676577,-0.6220856459555714,-1.4328142983857615,-1.6606869391214065,-2.670041392469,-0.11973162285930673,-2.9101432647199843,1100
-0.8276999514117841,-1.0338727956849396,-0.8320495928364673,-1.36253013341558,-3.02776777992534,-2.532470940985726,-0.34865287692962377,-0.639525173430076,-0.09592965130303319,-1.2434929599632056,1200
-2.681302095633375,-0.6951234358467708,-1.6429163655124432,-0.46093089933337833,-1.4192023376659944,-1.6592441268723683,-0.5541090202249155,-2.669565937967815,-2.0996700554755243,-3.389674174979264,1300
-0.4144612586079291,-1.4435532975096337,-0.7912185791904797,-1.3793879896144634,-3.900361450343115,-0.4298517853274952,-0.7977154932797468,-2.439927892854048,-1.02330814379845,-1.3443724644266988,1400
-0.5451588184473439,-2.6927398814831727,-3.5405471709293197,-1.7575025009210894,-0.49730864190781654,-0.1972230626177606,-1.5490259434875686,-0.7883953583863674,-0.7809349658502859,-1.1271621597125006,1500
