seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,mean_reward,std_reward,upper,lower,timesteps
-1.6325336448732355,-1.56773013864631,-1.6865127768115102,-1.5786295259836518,-1.6046573050218689,-1.5774366386095722,-1.4590815158988528,-1.4891746885842303,-1.547713504136987,-1.8676615178356402,-1.6011131256401856,0.852053671027939,-0.749059454612247,-2.453166796668126,5000
-1.6253696461531992,-1.5607624413438383,-1.6774452046583854,-1.6014988380821382,-1.590467720459753,-1.568472453515209,-1.476465832892866,-1.5197413836903406,-1.5145735662165611,-1.8191558290902505,-1.5953952916102536,0.8446284749735264,-0.7507668166367278,-2.440023766583782,5100
-1.5991603829915646,-1.5406079973723004,-1.6850926928129801,-1.5905658199300652,-1.5815848571162616,-1.6036756614194336,-1.4730422140476973,-1.5089687600776276,-1.5159099628132693,-1.818947044875893,-1.591755539345709,0.8427161551509595,-0.7490393841947498,-2.4344716944966702,5200
-1.5868026559701243,-1.5370065538283,-1.707379745363273,-1.6571964650891744,-1.6095515411525456,-1.5983506619649994,-1.4945692505281247,-1.4837109959081207,-1.546193385317289,-1.8330722786225888,-1.6053833533744537,0.8499602737595157,-0.7554230796149385,-2.455343627133971,5300
-1.591440854798022,-1.5476292274857726,-1.7070361648509702,-1.633787978894574,-1.6126839144812275,-1.6256338691321577,-1.528666605627727,-1.4720909101225903,-1.5317016049206957,-1.790047023128083,-1.6040718153441815,0.8539901326485567,-0.7500816826956255,-2.4580619479927397,5400
-1.578386232864663,-1.604586564777602,-1.7184861063760855,-1.627467391113347,-1.5872588513542274,-1.6595312826179403,-1.4992225258936218,-1.5077254956149184,-1.5804242165212614,-1.8453443849225537,-1.6208433052056217,0.8581878941082011,-0.7626554110974212,-2.479031199313824,5500
-1.5804185177119618,-1.661506562788501,-1.7043409747551934,-1.5850152390216317,-1.594996377180752,-1.6529615973097977,-1.5256529019921399,-1.4977041413075591,-1.6017645414070125,-1.8675390145328779,-1.6271899868007424,0.8552545089211092,-0.7719354778796338,-2.482444495721853,5600
-1.5939063256169925,-1.6699124333381363,-1.7025609832545059,-1.580278421854629,-1.564400297389919,-1.6639568138568472,-1.4940767459233584,-1.486165455015482,-1.602258950461685,-1.8881299173049544,-1.6245646344016507,0.8517706074023411,-0.7727940269993101,-2.476335241803993,5700
-1.5719876176604748,-1.6789724516054754,-1.7050125259335818,-1.5996316967032242,-1.5610040202944075,-1.7012099294332819,-1.4832018544166385,-1.5077351995978012,-1.6002145213176449,-1.8848563447959115,-1.629382616175844,0.8558869016394454,-0.773495714536399,-2.4852695178152904,5800
-1.5902939184084328,-1.6672223392692205,-1.6732265693333417,-1.6209166328716205,-1.5290659500225428,-1.6792576788906592,-1.455542102096866,-1.5152984105007787,-1.5934182741438088,-1.8687629200567062,-1.6193004795593975,0.8475264205074688,-0.771774059051929,-2.4668269000668674,5900
-1.6038236822475056,-1.6703964308202908,-1.68053543126214,-1.6160993899337377,-1.503751814087993,-1.6424044022002853,-1.44069787106392,-1.5412425907848775,-1.5580012196376813,-1.8618028404295734,-1.6118755672468004,0.8538564261489434,-0.7580191410978572,-2.4657319933957447,6000
-1.6334757802304731,-1.682860801549991,-1.7118759101611536,-1.61958226361538,-1.539079606176702,-1.660824902658714,-1.4538213491109284,-1.505162127063187,-1.595980117285446,-1.8357443013511516,-1.6238407159203125,0.8505219451333946,-0.7733187707869181,-2.474362661053708,6100
-1.6293371674191486,-1.7035666810502783,-1.7289440049458034,-1.6386712915063333,-1.5084509020383994,-1.6284760988289388,-1.4758254931931034,-1.5261631899498198,-1.5986076574428816,-1.824924448289721,-1.6262966934664427,0.8457759205947895,-0.7805207728716533,-2.4720726140612332,6200
-1.6315109016916016,-1.7530235963168999,-1.7232929383202367,-1.6749089826446713,-1.5089812576769086,-1.6118469000316367,-1.49559017323107,-1.4990256884403568,-1.5602340545074405,-1.8245645371053392,-1.6282979029966163,0.8466835113635124,-0.7816143916331038,-2.4749814143601294,6300
-1.6410131672557737,-1.7398151993704971,-1.7460111712010091,-1.6742385158751205,-1.4406146954116188,-1.6433494555527246,-1.490086196337791,-1.523334005350196,-1.5499114083685428,-1.8093050949310383,-1.6257678909654314,0.8458294652133515,-0.7799384257520798,-2.471597356178784,6400
-1.6947007455195573,-1.6939090569479527,-1.7099083216777973,-1.6550458675516373,-1.458297751369375,-1.6565421485501262,-1.5071387235175888,-1.5730359639960623,-1.5626880124825506,-1.8061277767981483,-1.6317394368410796,0.8448315515799497,-0.7869078852611299,-2.4765709884210305,6500
-1.721095706029655,-1.6880618010738528,-1.7087001584669823,-1.6100068631504036,-1.440114467525118,-1.6117965471128637,-1.5379609259439775,-1.6149815785127188,-1.539069548908471,-1.7970010259426261,-1.626878862266667,0.8441320400245799,-0.782746822242087,-2.471010902291248,6600
-1.7245114033304163,-1.7062723708905128,-1.751599407664777,-1.6430109624626856,-1.4537608744562067,-1.6168712091717166,-1.5119066836793535,-1.6244261615732491,-1.5313546315781565,-1.9065194463006665,-1.6470233151107743,0.8664436054430642,-0.7805797096677098,-2.5134669205538396,6700
-1.6671393697091312,-1.7074306179745244,-1.7582491001098364,-1.656519626896091,-1.4542278618129103,-1.6258599715632087,-1.5200829823783766,-1.5856780004611115,-1.5117853818121045,-1.9100705689932957,-1.6397043481710594,0.8588385761873254,-0.7808657719837336,-2.4985429243583854,6800
-1.6787620374550642,-1.6461583920894438,-1.7664739659672215,-1.6493630215047004,-1.440519158766255,-1.6045781769238718,-1.4967439293758154,-1.573836771969401,-1.5380202608687419,-1.9135851485710507,-1.6308040863491566,0.8496917329539511,-0.7811123533952053,-2.480495819303109,6900
-1.6761199958402864,-1.6704478995497976,-1.7807785284486166,-1.635704121087783,-1.4688316009508808,-1.600225863763533,-1.4988021982381705,-1.5317143681402479,-1.5542342153649975,-1.890219617775549,-1.6307078409159863,0.8449784195168081,-0.7857294213991779,-2.4756862604327954,7000
-1.6391421755861766,-1.6720699692486747,-1.7639342363823867,-1.5846477560982866,-1.5052343351863247,-1.635417334861869,-1.5373847242747285,-1.5328460566592768,-1.584854076982484,-1.8715999545263986,-1.6327130619806607,0.8446313435031795,-0.7880817184774807,-2.477344405483841,7100
-1.5663568567866404,-1.717977024693446,-1.7837813664241284,-1.557303909339779,-1.5420655357430406,-1.6888475533129914,-1.5367999423943917,-1.5601003475530846,-1.5690007994162547,-1.8475152277084685,-1.6369748563372226,0.850177114350014,-0.7867977419872082,-2.4871519706872376,7200
-1.5661799058678907,-1.7405636398386541,-1.7880213316517055,-1.5161330417191707,-1.511209487091868,-1.6706078764650514,-1.5511089179191555,-1.5421012926351825,-1.578115119561013,-1.8397570616127639,-1.6303797674362457,0.8414843011095947,-0.7888954663266504,-2.4718640685458415,7300
-1.545026432758998,-1.7420147854735029,-1.772985521028327,-1.4979240026589091,-1.4887258216187464,-1.6902288754040082,-1.5182357851637045,-1.546055546148554,-1.5851143312256126,-1.834335605654171,-1.6220646707134534,0.8466138640594338,-0.7754508066540191,-2.468678534772889,7400
-1.5464237693349718,-1.7718240318961724,-1.7920904961053246,-1.5058228517321783,-1.5235596341305304,-1.6734641024134818,-1.5201576443019933,-1.5677613048764627,-1.5570079107524444,-1.7929011248739821,-1.6251012870417543,0.8537239308203638,-0.77137735622139,-2.478825217862119,7500
-1.5598568357654132,-1.7659343573920654,-1.775226505149329,-1.5398424692169674,-1.527158528056354,-1.670261885258543,-1.5696496721194302,-1.5827045027098245,-1.5584831498840623,-1.7895667113259268,-1.6338684616877917,0.8533892103948918,-0.7804792512928995,-2.4872576720826847,7600
-1.620777292213682,-1.7712981537852934,-1.7924261521420146,-1.529768762755048,-1.4961066276322117,-1.6582824392039837,-1.5526146376506984,-1.5694112228311863,-1.5214999123230688,-1.803857960401403,-1.631604316093859,0.8496554204768836,-0.7819488956169751,-2.4812597365707436,7700
-1.623154411876808,-1.768091584693561,-1.7991611804549676,-1.52393016735899,-1.5409717124824724,-1.6532468879417122,-1.56714571017553,-1.5683590694255787,-1.505827720566829,-1.7600577510212283,-1.6309946195997675,0.8521100303565743,-0.778884589243193,-2.4831046499563434,7800
-1.6186277189336127,-1.7903537843476494,-1.765447736547565,-1.4797257771523755,-1.5602451075060246,-1.66026563263481,-1.5783292940838727,-1.5566453993861373,-1.5572844286468288,-1.7512436706841845,-1.631816854992306,0.8581241281790258,-0.7736927268132799,-2.489940983171333,7900
-1.6306555413405408,-1.7407749178360625,-1.7876489516935417,-1.4824402354218476,-1.5929770682136422,-1.644395137362275,-1.5901460465381783,-1.540530381263079,-1.5772766874189432,-1.66525615421459,-1.62521011213027,0.8482349385743589,-0.7769751735559108,-2.47344505070463,8000
-1.6733665307723542,-1.7094894871448463,-1.779520564666426,-1.5294517759807877,-1.5881536823720228,-1.6430427267959338,-1.6037368418133433,-1.5313485754399596,-1.6126176202787499,-1.670107583808624,-1.634083538907305,0.8616978363486381,-0.7723857025586663,-2.495781375255944,8100
-1.6819020559131659,-1.7177771193400984,-1.77981191306407,-1.5406573002456414,-1.6098692161261645,-1.6791809502198496,-1.62774402480161,-1.5618203504158843,-1.5932684762904943,-1.6377451181734273,-1.6429776524590407,0.8624088964907243,-0.7805687559683158,-2.5053865489497658,8200
-1.6718466152441946,-1.7127911252548396,-1.7810129978777356,-1.5154073065328861,-1.6101263859685289,-1.6838873923802458,-1.6131421369696861,-1.57109473849631,-1.5959671001229454,-1.6357949681194122,-1.6391070766966787,0.8657789160381726,-0.7733281606585054,-2.504885992734852,8300
-1.6662000415105631,-1.7271460245714403,-1.7606696772134753,-1.463510771406482,-1.5720305380079724,-1.698011807386577,-1.6183056441501589,-1.5519460473290556,-1.6164211183933508,-1.6542429190807746,-1.6328484589049852,0.8649240889483643,-0.7679243699566203,-2.49777254785335,8400
-1.6459080471028407,-1.6989195454416781,-1.7347206407541476,-1.4667738299337456,-1.5878269375519471,-1.6813415310456048,-1.6116675019553284,-1.5514115635601078,-1.6115310225835318,-1.6770154405722144,-1.626711606050115,0.8622578009116699,-0.7644538051384443,-2.4889694069617856,8500
-1.6652471162135207,-1.7039180392456865,-1.712922562327812,-1.4535320274662453,-1.568108157570161,-1.6632425223040905,-1.607537555002962,-1.580640783695941,-1.6158909820166998,-1.7212916305078596,-1.6292331376350981,0.8692689057992047,-0.7599642318358929,-2.4985020434343035,8600
-1.6321229181621637,-1.7032605054996024,-1.7354100463165252,-1.4798541340659441,-1.5919367224543137,-1.6709162612168578,-1.5795785766572712,-1.5809933221155053,-1.5777689196589364,-1.723694514046109,-1.6275535920193231,0.8690283484270482,-0.7585252435922744,-2.496581940446372,8700
-1.588681043108227,-1.7005632824183976,-1.7394945922220237,-1.4905347155076827,-1.627242372846997,-1.6609918902193175,-1.5961885713587756,-1.57444571908787,-1.5944406240037643,-1.7480328445330817,-1.6320615655306139,0.8663054235709806,-0.7657561419596328,-2.498366989101595,8800
-1.5550026308262062,-1.6870616508064495,-1.7129334460806624,-1.4744305040162908,-1.6538977220895246,-1.664690032765504,-1.6142827770340133,-1.558396955798621,-1.6277751977310908,-1.7012810052933325,-1.6249751922441695,0.8635580721853624,-0.7614171200588069,-2.4885332644295324,8900
-1.540664555480293,-1.6566702328346425,-1.754321075631453,-1.5021987935223162,-1.6235731858382434,-1.647877122641602,-1.61350561567225,-1.5545919206741772,-1.6594740633134117,-1.6719535575549156,-1.6224830123163303,0.8623852855977657,-0.7600977267185647,-2.484868297914096,9000
-1.5558816319937594,-1.6281667519941525,-1.7516625960890924,-1.5109615221035142,-1.630225593788368,-1.6637396640998043,-1.5502160528554927,-1.5418116175188785,-1.6342155685672586,-1.6321832292425476,-1.6099064228252866,0.8443973257083879,-0.7655090971168989,-2.4543037485336745,9100
-1.6045116362946499,-1.6030601165120428,-1.751185685842408,-1.500457177050611,-1.592813328875815,-1.6552513091127412,-1.530513391609378,-1.5321766523487281,-1.66502787338046,-1.6648429356700896,-1.6099840106696923,0.8579336745996435,-0.7520503360700488,-2.467917685269336,9200
-1.5647182251057488,-1.6105589641040317,-1.7113585267498075,-1.531015758052763,-1.5692399002191173,-1.6147060176294514,-1.4984822737718222,-1.545408946081395,-1.6409558872841332,-1.6724997153095311,-1.59589442143078,0.8566523901194077,-0.7392420313113723,-2.4525468115501874,9300
-1.5233261300449161,-1.636520685609708,-1.7414688931995363,-1.5988956215076906,-1.549265636465153,-1.5654934582607423,-1.4999687750194854,-1.5594385027355622,-1.5794400558705752,-1.6825676297658108,-1.5936385388479177,0.8598890908059121,-0.7337494480420058,-2.4535276296538298,9400
-1.5254138817048661,-1.6246745796811757,-1.7322487399507478,-1.608200998155514,-1.5513486622653476,-1.5962555649620769,-1.4953138996007898,-1.545853857796337,-1.5850581116459452,-1.6738120205315885,-1.5938180316294386,0.8532198110929243,-0.7405982205365143,-2.447037842722363,9500
-1.525980305529929,-1.6253987320652652,-1.7294211448709165,-1.6232623571182307,-1.5576162364117936,-1.621144443062819,-1.5236776676601875,-1.6132724051584486,-1.5601844524495148,-1.6940587615251903,-1.6074016505852293,0.8666521545327247,-0.7407494960525048,-2.4740538051179537,9600
