mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 2mm,std success ratio 2mm,mean reach time 2mm,std reach time 2mm,mean success ratio 1mm,std success ratio 1mm,mean reach time 1mm,std reach time 1mm,mean success ratio 0.5mm,std success ratio 0.5mm,mean reach time 0.5mm,std reach time 0.5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-0.38,0.09,0.14,296.64,8.41,0.22,0.24,35.65,0.49,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,A2C,-0.0,4.94,0.14
-0.72,0.41,0.15,367.02,25.36,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,ACKTR,-0.0,6.12,0.42
-1.11,0.88,0.0,2490.67,40.6,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,DDPG,-0.0,41.51,0.68
-0.51,0.02,0.02,515.03,7.96,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,PPO2,-0.0,8.58,0.13
-0.32,0.34,0.0,3598.92,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,SAC,-0.0,59.98,
-0.33,0.3,0.0,4330.09,115.27,0.5,0.71,90.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,TD3,-0.0,72.17,1.92
-0.42,0.54,0.02,730.05,12.39,0.5,0.71,22.54,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,TRPO,-0.0,12.17,0.21
