seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
-1.7735712000000001,-1.90360424,-1.8385877199999998,0.755664963505749,-1.0829227564942514,-2.594252683505749,5000
-1.80293522,-1.8830307599999998,-1.8429829899999999,0.7473759608318322,-1.0956070291681683,-2.5903589508318317,5100
-1.79610884,-1.8684094999999998,-1.8322591700000002,0.7418641483252969,-1.0903950216747038,-2.574123318325296,5200
-1.80039162,-1.8633022599999998,-1.8318469400000001,0.7485038951427743,-1.0833430448572263,-2.5803508351427733,5300
-1.81793196,-1.8681325599999996,-1.8430322600000002,0.7505009061142013,-1.0925313538857993,-2.5935331661142005,5400
-1.8160594399999999,-1.88260326,-1.8493313500000002,0.7472620600715189,-1.1020692899284819,-2.596593410071518,5500
-1.8015317399999997,-1.9393543599999998,-1.87044305,0.7077009912990502,-1.1627420587009505,-2.578144041299049,5600
-1.7719389399999996,-1.9028627799999998,-1.8374008599999998,0.7028228171791361,-1.1345780428208645,-2.540223677179135,5700
-1.7632310399999997,-1.9100407399999997,-1.83663589,0.7039800257108191,-1.1326558642891815,-2.540615915710818,5800
-1.7925361799999997,-1.8908839399999997,-1.84171006,0.7098250127905139,-1.1318850472094868,-2.5515350727905126,5900
-1.7808371199999997,-1.9034762199999997,-1.8421566700000003,0.727001584028622,-1.1151550859713786,-2.5691582540286206,6000
-1.7694643199999995,-1.95417106,-1.8618176900000003,0.731822864336922,-1.1299948256630787,-2.5936405543369205,6100
-1.7945798399999995,-1.9358118199999998,-1.8651958300000004,0.7395524182676997,-1.125643411732301,-2.6047482482676982,6200
-1.7915487999999997,-1.9212997599999997,-1.8564242800000001,0.7314341111707613,-1.1249901688292394,-2.5878583911707596,6300
-1.7887055799999996,-1.9563270999999998,-1.8725163400000002,0.7124700447004918,-1.160046295299509,-2.58498638470049,6400
-1.7461370799999996,-1.9808892599999997,-1.8635131700000003,0.7196954739226902,-1.1438176960773105,-2.5832086439226885,6500
-1.7183269199999995,-1.9569283599999998,-1.83762764,0.71697363607414,-1.1206540039258606,-2.554601276074138,6600
-1.7348098599999995,-1.9302478799999998,-1.8325288700000002,0.7029238344538963,-1.129605035546104,-2.535452704453894,6700
-1.7268892599999994,-1.9413567199999997,-1.8341229900000002,0.7163796805200789,-1.1177433094799216,-2.5505026705200766,6800
-1.7534960399999997,-1.9970469199999998,-1.8752714800000003,0.7114302583208925,-1.163841221679108,-2.58670173832089,6900
-1.8112000799999999,-1.98393874,-1.8975694100000005,0.723726746250777,-1.1738426637492234,-2.6212961562507746,7000
-1.8068315,-1.9788784799999999,-1.8928549900000005,0.723237654632366,-1.1696173353676342,-2.6160926446323636,7100
-1.80628884,-1.9621759399999998,-1.8842323900000002,0.7118108939012052,-1.172421496098795,-2.5960432839012024,7200
-1.80139,-1.9313348,-1.8663624000000005,0.6934669176516295,-1.172895482348371,-2.559829317651627,7300
-1.79548158,-1.89972302,-1.8476023000000004,0.6752918974963505,-1.17231040250365,-2.522894197496348,7400
-1.82576322,-1.8890138599999997,-1.8573885400000003,0.6821123100964209,-1.1752762299035795,-2.539500850096419,7500
-1.8043373399999998,-1.8502949599999996,-1.8273161500000004,0.6698842983872262,-1.1574318516127742,-2.497200448387224,7600
-1.8138767999999998,-1.8958592799999996,-1.8548680400000004,0.6568598298839743,-1.1980082101160259,-2.5117278698839725,7700
-1.84124412,-1.8861327999999997,-1.86368846,0.6788548671453931,-1.1848335928546072,-2.542543327145391,7800
-1.8372278400000002,-1.8722562799999998,-1.8547420600000002,0.68582710971352,-1.1689149502864804,-2.5405691697135175,7900
-1.8528293400000002,-1.9084447199999997,-1.88063703,0.6712699448356393,-1.209367085164361,-2.551906974835637,8000
-1.8625901400000004,-1.8984613599999998,-1.88052575,0.6573087154108072,-1.223217034589193,-2.5378344654108047,8100
-1.8305088400000005,-1.9036025399999996,-1.8670556900000002,0.6522515725645748,-1.2148041174354256,-2.5193072625645723,8200
-1.8551247400000006,-1.9046858199999996,-1.87990528,0.6468910667670777,-1.2330142132329227,-2.5267963467670755,8300
-1.8376737400000005,-1.8963611199999997,-1.8670174300000002,0.6533443353842207,-1.2136730946157797,-2.5203617653842185,8400
-1.8198869000000004,-1.9299087199999996,-1.8748978100000002,0.6564871138996111,-1.2184106961003893,-2.531384923899609,8500
-1.8379423400000006,-1.9115849999999996,-1.87476367,0.6594720661814406,-1.2152916038185595,-2.5342357361814383,8600
-1.7653662400000005,-1.9177781599999997,-1.8415721999999999,0.6619074409307966,-1.1796647590692038,-2.5034796409307942,8700
-1.7508814400000003,-1.9477088999999999,-1.84929517,0.690028950339365,-1.1592662196606354,-2.5393241203393626,8800
-1.7546857000000002,-1.9200724999999996,-1.8373791,0.6687073474342126,-1.1686717525657877,-2.5060864474342104,8900
-1.7448092800000004,-1.9053562399999995,-1.82508276,0.6652850637503547,-1.1597976962496457,-2.4903678237503524,9000
-1.7873490400000003,-1.9194153799999998,-1.8533822100000001,0.6741097988059697,-1.1792724111940307,-2.527492008805967,9100
-1.7969120800000002,-1.89970344,-1.84830776,0.6694538542052468,-1.1788539057947534,-2.5177616142052446,9200
-1.8136844600000004,-1.9367652199999998,-1.87522484,0.6551070818790405,-1.2201177581209597,-2.5303319218790383,9300
-1.8351840400000003,-1.9317437199999998,-1.8834638799999999,0.6558655246125413,-1.227598355387459,-2.539329404612539,9400
-1.8540048200000003,-1.9323999599999997,-1.89320239,0.6430212552014071,-1.2501811347985934,-2.536223645201405,9500
-1.8257783600000004,-1.9360204599999995,-1.8808994099999998,0.6205020538252303,-1.2603973561747701,-2.5014014638252284,9600
-1.8157204600000003,-1.8989714199999994,-1.8573459399999999,0.6014164356992748,-1.2559295043007257,-2.458762375699273,9700
-1.8037868000000004,-1.9172083599999994,-1.8604975799999999,0.5989000123706594,-1.2615975676293412,-2.4593975923706575,9800
-1.8246587400000005,-1.9086355399999995,-1.86664714,0.6101416242622344,-1.256505515737766,-2.4767887642622326,9900
-1.8266531200000002,-1.8898835399999994,-1.85826833,0.6226933494558563,-1.2355749805441443,-2.480961679455854,10000
-1.8194055200000003,-1.9168239799999995,-1.86811475,0.6198458021637469,-1.2482689478362536,-2.4879605521637447,10100
-1.8693059200000004,-1.9213045399999995,-1.89530523,0.6485376780441559,-1.2467675519558445,-2.543842908044154,10200
-1.8608164800000007,-1.9310059999999996,-1.8959112399999998,0.6382559353237702,-1.25765530467623,-2.534167175323769,10300
-1.8727542800000005,-1.9368003799999998,-1.9047773299999997,0.6425999892654474,-1.2621773407345531,-2.547377319265446,10400
-1.8331807200000005,-1.9161368199999997,-1.8746587699999995,0.655971378497685,-1.2186873915023155,-2.5306301484976834,10500
-1.8155812600000008,-1.9368197799999998,-1.8762005199999996,0.6830411372799164,-1.193159382720084,-2.5592416572799146,10600
-1.8437472000000008,-1.9325603599999999,-1.88815378,0.6818888926378374,-1.206264887362163,-2.5700426726378356,10700
-1.8205452000000009,-1.9132170199999998,-1.86688111,0.6846173772901306,-1.1822637327098697,-2.5514984872901287,10800
-1.832844780000001,-1.95287024,-1.8928575099999998,0.665275432955995,-1.2275820770440053,-2.5581329429559934,10900
-1.8626973000000009,-1.9327459999999999,-1.8977216499999998,0.6641317584481038,-1.2335898915518966,-2.5618534084481017,11000
-1.8574645800000011,-1.9459564799999998,-1.9017105299999997,0.6771730702348835,-1.2245374597651169,-2.578883600234882,11100
-1.860408640000001,-1.9765397999999998,-1.9184742199999996,0.6582461268706262,-1.2602280931293741,-2.5767203468706246,11200
-1.843884000000001,-1.9767879,-1.9103359499999997,0.6701062450637051,-1.2402297049362954,-2.580442195063703,11300
-1.816080580000001,-1.9544322,-1.8852563899999994,0.6739583648177105,-1.2112980251822898,-2.559214754817709,11400
-1.8386080200000012,-1.9191124000000002,-1.8788602099999994,0.6601685663609094,-1.218691643639091,-2.5390287763609076,11500
-1.824347820000001,-1.92427622,-1.8743120199999996,0.6660916463135186,-1.208220373686482,-2.5404036663135163,11600
-1.838560160000001,-1.94944184,-1.8940009999999996,0.6583465077492836,-1.235654492250717,-2.5523475077492814,11700
-1.8577650000000008,-1.92190798,-1.8898364899999995,0.6570518942278804,-1.2327845957721202,-2.5468883842278784,11800
-1.825631280000001,-1.9195152399999997,-1.8725732599999996,0.6780819428650139,-1.1944913171349867,-2.550655202865012,11900
-1.7892041400000007,-1.93052542,-1.8598647799999994,0.6492569046355718,-1.210607875364429,-2.5091216846355695,12000
-1.7766996000000006,-1.9321034799999999,-1.8544015399999996,0.6592148065923095,-1.1951867334076913,-2.513616346592307,12100
-1.7623108800000005,-1.90329596,-1.8328034199999996,0.6490191753357368,-1.183784244664264,-2.4818225953357347,12200
-1.7848277600000007,-1.8889415,-1.8368846299999995,0.655316597618306,-1.1815680323816944,-2.4922012276183043,12300
-1.7706905400000006,-1.9039076799999999,-1.8372991099999996,0.6758958091138905,-1.16140330088611,-2.5131949191138885,12400
-1.7763294800000002,-1.9437562,-1.8600428399999995,0.6642803498671022,-1.1957624901328983,-2.5243231898671006,12500
-1.8135907800000004,-1.9090110000000002,-1.8613008899999997,0.6479154806452538,-1.2133854093547467,-2.509216370645252,12600
-1.8493315600000002,-1.94270676,-1.8960191599999996,0.6464694331355918,-1.249549726864409,-2.54248859313559,12700
