number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
30,3.8694300651550293,2020-06-20 20:21:35.060644,2020-06-20 22:46:50.992225,0 days 02:25:15.931581000,128,0.98,0.0366635125920583,1000000,0.7472708711321188,adaptive-param,False,False,PRUNED
31,5.676955223083496,2020-06-20 20:21:35.082759,2020-06-20 22:34:54.858465,0 days 02:13:19.775706000,32,0.995,0.477967656077225,10000,0.06652649537350463,adaptive-param,False,False,COMPLETE
32,1.0591511726379395,2020-06-20 21:59:48.180268,2020-06-21 00:43:29.904699,0 days 02:43:41.724431000,64,0.99,6.947639794297395e-05,10000,0.589427557234745,normal,False,True,COMPLETE
33,2.0829570293426514,2020-06-20 21:59:56.035518,2020-06-21 02:27:33.920305,0 days 04:27:37.884787000,128,0.995,0.00011804515178672394,1000000,0.9607119517896339,ornstein-uhlenbeck,False,False,COMPLETE
34,2.026491641998291,2020-06-20 22:03:53.920985,2020-06-21 01:39:03.798027,0 days 03:35:09.877042000,256,0.95,0.06337778879112402,1000000,0.02936921885305621,adaptive-param,False,False,PRUNED
35,1.1217377185821533,2020-06-20 22:07:34.689741,2020-06-20 23:40:43.159796,0 days 01:33:08.470055000,16,0.95,0.0057020210616112585,1000000,0.1270913623906279,ornstein-uhlenbeck,True,False,COMPLETE
36,4.294448375701904,2020-06-20 22:08:02.418025,2020-06-20 23:06:33.781357,0 days 00:58:31.363332000,64,0.99,1.439213305523763e-05,100000,0.16174886790477205,ornstein-uhlenbeck,True,True,PRUNED
37,1.5014442205429077,2020-06-20 22:14:24.497805,2020-06-21 05:52:24.208556,0 days 07:37:59.710751000,256,0.9,1.725222950615086e-05,100000,0.013847259176702154,adaptive-param,False,True,COMPLETE
38,2.138098955154419,2020-06-20 22:14:35.270700,2020-06-21 00:58:30.094476,0 days 02:43:54.823776000,64,0.995,0.023918630161616605,100000,0.5275822049543193,ornstein-uhlenbeck,False,False,COMPLETE
39,2.520237445831299,2020-06-20 22:27:11.180804,2020-06-21 00:17:23.812195,0 days 01:50:12.631391000,32,0.99,0.0003794947777750838,100000,0.2321639193620516,normal,False,True,COMPLETE
40,3.6955952644348145,2020-06-20 22:30:34.967473,2020-06-21 00:30:31.983868,0 days 01:59:57.016395000,32,0.995,0.00046270370766868067,100000,0.9623135224048305,adaptive-param,True,False,COMPLETE
41,0.2269422709941864,2020-06-20 22:34:54.882903,2020-06-21 03:13:38.440824,0 days 04:38:43.557921000,128,0.9999,0.0002449337592453387,100000,0.7124677405276401,adaptive-param,True,True,COMPLETE
