number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
29,5.775386810302734,2020-06-29 17:14:45.634978,2020-06-29 17:21:23.782147,0 days 00:06:38.147169000,32,1000000,0.0001,0.95,0,0.046106374247817494,1,big,0.39917078671511896,,10,PRUNED
30,1.712430715560913,2020-06-29 17:21:23.974523,2020-06-29 17:47:03.055128,0 days 00:25:39.080605000,128,1000000,auto,0.99,10000,0.9995572835881883,1,medium,0.0015699711539347017,-1,300,COMPLETE
31,0.8999649882316589,2020-06-29 17:47:03.056416,2020-06-29 18:04:34.695196,0 days 00:17:31.638780000,32,1000000,auto,0.99,20000,0.4245876579426205,1,big,0.2850203448694968,-1,1,COMPLETE
32,0.8999649882316589,2020-06-29 18:04:34.696656,2020-06-29 18:24:56.307949,0 days 00:20:21.611293000,32,1000000,auto,0.999,20000,0.4564739173246723,1,big,0.28499572638947046,-1,1,COMPLETE
33,1.0442602634429932,2020-06-29 18:24:56.309355,2020-06-29 18:47:16.460810,0 days 00:22:20.151455000,32,1000000,auto,0.999,20000,0.06558797353316419,6,big,0.35478894260883304,-1,1,COMPLETE
34,3.2144017219543457,2020-06-29 18:47:16.462411,2020-06-29 19:08:23.932022,0 days 00:21:07.469611000,32,1000000,0.0001,0.995,20000,0.0031578299202312185,1,big,0.6337101153449818,,100,COMPLETE
35,1.0758239030838013,2020-06-29 19:08:23.933476,2020-06-29 19:35:49.421233,0 days 00:27:25.487757000,32,1000000,auto,0.999,1000,0.3904542422941597,4,big,0.2880686790745956,-20,1,COMPLETE
36,1.419255018234253,2020-06-29 19:35:49.422666,2020-06-29 19:57:35.091080,0 days 00:21:45.668414000,32,10000,auto,0.999,20000,0.5298775076457721,2,big,0.4762379234965152,-1,100,COMPLETE
37,2.739379405975342,2020-06-29 19:57:35.092618,2020-06-29 20:06:34.570628,0 days 00:08:59.478010000,16,100000,auto,0.999,0,1.2367993158278013e-05,1,big,0.3965217543685945,-50,1,PRUNED
38,4.186976909637451,2020-06-29 20:06:34.780817,2020-06-29 20:33:56.083242,0 days 00:27:21.302425000,64,1000000,0.1,0.9999,20000,0.011174446840133082,1,big,0.12423641417201692,,300,COMPLETE
39,1.2301403284072876,2020-06-29 20:33:56.084663,2020-06-29 20:55:45.808026,0 days 00:21:49.723363000,32,100000,0.01,0.95,1000,0.033751349131805934,8,medium,0.7792470303690977,,1,COMPLETE
40,1.9304046630859375,2020-06-29 20:55:45.809458,2020-06-29 21:10:44.367074,0 days 00:14:58.557616000,256,10000,0.0001,0.999,20000,0.287395420669703,2,small,0.26705204025307133,,1,COMPLETE
41,0.8999649882316589,2020-06-29 21:10:44.368612,2020-06-29 22:45:49.747915,0 days 01:35:05.379303000,512,1000000,auto,0.95,20000,0.11933341172651206,1,big,0.18666345015169034,-50,1,COMPLETE
42,0.8999649882316589,2020-06-29 22:45:49.749615,2020-06-29 23:08:29.223414,0 days 00:22:39.473799000,32,1000000,auto,0.99,20000,0.8348881040274436,1,big,0.07441986592971603,-20,1,COMPLETE
