number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
0,1.4703925848007202,2020-06-23 11:35:23.558514,2020-06-23 11:36:36.050796,0 days 00:01:12.492282000,32,0.4,0.02047598606295887,0.999,0.9,0.004276249555861097,256,10,COMPLETE
1,1.8805433511734009,2020-06-23 11:36:36.052247,2020-06-23 11:38:20.597193,0 days 00:01:44.544946000,64,0.1,0.002505931212988964,0.99,0.92,0.0005769942224774458,64,30,COMPLETE
2,1.2608197927474976,2020-06-23 11:38:20.598932,2020-06-23 11:39:31.973868,0 days 00:01:11.374936000,256,0.3,6.713463990876763e-06,0.95,0.9,0.07898984442263214,64,10,COMPLETE
3,1.8204095363616943,2020-06-23 11:39:31.975447,2020-06-23 11:40:35.250713,0 days 00:01:03.275266000,32,0.1,7.855035028834708e-07,0.9,1.0,0.0024340274147239336,64,5,COMPLETE
4,2.25040340423584,2020-06-23 11:40:35.252289,2020-06-23 11:41:35.482116,0 days 00:01:00.229827000,256,0.4,1.1336476008078617e-05,0.9999,0.95,0.0006949058038665704,1024,5,COMPLETE
5,2.26420259475708,2020-06-23 11:41:35.483682,2020-06-23 11:43:23.129634,0 days 00:01:47.645952000,64,0.2,1.9790487990733903e-08,0.999,1.0,0.6085487829680299,512,30,COMPLETE
6,2.3075032234191895,2020-06-23 11:43:23.131254,2020-06-23 11:44:23.475406,0 days 00:01:00.344152000,64,0.1,8.38765205280875e-08,0.9,0.98,0.7211691969086356,512,5,COMPLETE
7,2.2957825660705566,2020-06-23 11:44:23.477075,2020-06-23 11:45:29.118733,0 days 00:01:05.641658000,32,0.3,2.1978616634015844e-06,0.98,1.0,0.08112284931613427,16,1,COMPLETE
8,1.7504158020019531,2020-06-23 11:45:29.120381,2020-06-23 11:46:28.682658,0 days 00:00:59.562277000,256,0.1,0.04393148403055316,0.99,0.98,0.024101952821429524,64,1,COMPLETE
9,1.7633392810821533,2020-06-23 11:46:28.684157,2020-06-23 11:47:59.632191,0 days 00:01:30.948034000,256,0.1,0.021644503363475072,0.999,0.92,0.2754684533096978,256,30,COMPLETE
10,1.618358850479126,2020-06-23 11:47:59.633831,2020-06-23 11:49:12.548560,0 days 00:01:12.914729000,128,0.3,0.00016382197657298527,0.95,0.99,8.123459066296971e-05,128,10,COMPLETE
11,3.069550037384033,2020-06-23 11:49:12.550118,2020-06-23 11:50:32.578169,0 days 00:01:20.028051000,32,0.4,0.00021268299972970043,0.95,0.9,0.030206356975707952,2048,10,COMPLETE
12,3.533143997192383,2020-06-23 11:50:32.579826,2020-06-23 11:51:50.859857,0 days 00:01:18.280031000,128,0.3,0.000834073347838826,0.995,0.9,0.014225166987050985,32,10,COMPLETE
13,1.5947719812393188,2020-06-23 11:51:50.861464,2020-06-23 11:54:27.387335,0 days 00:02:36.525871000,32,0.4,1.3914378648339543e-05,0.95,0.8,0.003346886401843614,256,50,COMPLETE
14,1.2241904735565186,2020-06-23 11:54:27.389012,2020-06-23 11:55:44.455866,0 days 00:01:17.066854000,256,0.4,8.193857441159619e-07,0.999,0.9,2.442209731127824e-05,256,20,COMPLETE
15,2.1404712200164795,2020-06-23 11:55:44.457490,2020-06-23 11:57:06.254336,0 days 00:01:21.796846000,256,0.2,3.514123802025622e-07,0.95,0.9,1.1574919466750472e-05,128,20,COMPLETE
16,1.4717211723327637,2020-06-23 11:57:06.256042,2020-06-23 11:58:26.533490,0 days 00:01:20.277448000,256,0.3,1.3349279437019013e-08,0.999,0.9,2.556136801630295e-05,1024,20,COMPLETE
17,2.286961078643799,2020-06-23 11:58:26.535089,2020-06-23 12:00:00.122970,0 days 00:01:33.587881000,256,0.3,3.195047088364597e-06,0.995,0.99,0.00010477294916256492,64,20,COMPLETE
18,4.0235114097595215,2020-06-23 12:00:00.124811,2020-06-23 12:02:11.706180,0 days 00:02:11.581369000,256,0.4,9.152114829792029e-08,0.98,0.9,0.18941759228965654,16,20,COMPLETE
19,2.9161643981933594,2020-06-23 12:02:11.707983,2020-06-23 12:04:03.150454,0 days 00:01:51.442471000,256,0.2,5.036436696713339e-05,0.9999,0.95,0.0003454582453052341,2048,50,COMPLETE
20,4.358170509338379,2020-06-23 12:04:03.152166,2020-06-23 12:05:44.605313,0 days 00:01:41.453147000,128,0.4,2.414155107608543e-07,0.999,0.8,0.08175253027300225,32,20,COMPLETE
21,1.3021351099014282,2020-06-23 12:05:44.607038,2020-06-23 12:06:58.635741,0 days 00:01:14.028703000,32,0.4,3.2859453696056865e-06,0.999,0.9,0.005255749727625118,256,10,COMPLETE
22,1.322967767715454,2020-06-23 12:06:58.637323,2020-06-23 12:08:14.443016,0 days 00:01:15.805693000,32,0.4,2.8985487835216244e-06,0.999,0.9,0.00772760277264862,256,10,COMPLETE
23,1.3943798542022705,2020-06-23 12:08:14.444870,2020-06-23 12:09:24.230291,0 days 00:01:09.785421000,256,0.4,1.9280379136915485e-05,0.999,0.9,0.0014540261756753985,256,10,COMPLETE
24,1.2364304065704346,2020-06-23 12:09:24.231829,2020-06-23 12:10:34.446809,0 days 00:01:10.214980000,256,0.4,7.220240386897821e-07,0.95,0.9,0.04119438541408403,256,10,COMPLETE
25,1.1055546998977661,2020-06-23 12:10:34.448653,2020-06-23 12:11:46.099324,0 days 00:01:11.650671000,256,0.3,7.482985515072178e-07,0.95,0.9,0.07901890680699727,256,10,COMPLETE
26,1.121525526046753,2020-06-23 12:11:46.101015,2020-06-23 12:13:09.362846,0 days 00:01:23.261831000,256,0.4,4.72620561905604e-08,0.95,0.9,0.04393425251806023,256,20,COMPLETE
27,1.9726938009262085,2020-06-23 12:13:09.364532,2020-06-23 12:14:27.683988,0 days 00:01:18.319456000,256,0.3,7.229051456955548e-08,0.95,0.98,0.20483956905392714,256,20,COMPLETE
28,1.2758029699325562,2020-06-23 12:14:27.685600,2020-06-23 12:15:36.593434,0 days 00:01:08.907834000,256,0.4,2.9796413152863613e-08,0.95,0.92,0.014556008056153421,256,20,COMPLETE
29,1.1929391622543335,2020-06-23 12:15:36.594979,2020-06-23 12:16:49.641811,0 days 00:01:13.046832000,256,0.4,1.032271617904438e-08,0.99,0.9,0.9525322602845514,256,20,COMPLETE
30,4.2930378913879395,2020-06-23 12:16:49.643467,2020-06-23 12:18:08.297364,0 days 00:01:18.653897000,256,0.2,3.9249635282909584e-08,0.99,0.95,0.8644784866765777,256,20,COMPLETE
31,1.4587187767028809,2020-06-23 12:18:08.299391,2020-06-23 12:19:27.039963,0 days 00:01:18.740572000,256,0.4,2.3042229817668387e-07,0.99,0.9,0.43833299859010433,256,20,COMPLETE
32,1.5540739297866821,2020-06-23 12:19:27.041800,2020-06-23 12:20:47.083470,0 days 00:01:20.041670000,256,0.4,1.127744583279213e-08,0.99,0.9,0.13999977915243425,256,20,COMPLETE
33,1.4378985166549683,2020-06-23 12:20:47.085411,2020-06-23 12:21:57.524741,0 days 00:01:10.439330000,256,0.4,8.053707696095669e-07,0.99,0.9,0.06159944241233511,256,20,COMPLETE
34,2.2935523986816406,2020-06-23 12:21:57.526605,2020-06-23 12:23:27.881797,0 days 00:01:30.355192000,64,0.4,2.1030801342103205e-07,0.9,0.9,0.35357237104036826,256,20,COMPLETE
35,2.2419676780700684,2020-06-23 12:23:27.883747,2020-06-23 12:24:24.344835,0 days 00:00:56.461088000,256,0.4,1.0604644767934938e-06,0.95,0.9,0.011646747345713006,256,50,PRUNED
36,1.743499755859375,2020-06-23 12:24:24.574833,2020-06-23 12:25:23.620931,0 days 00:00:59.046098000,256,0.3,6.556628048359979e-08,0.98,0.8,0.001389370985598493,1024,1,COMPLETE
37,3.6406562328338623,2020-06-23 12:25:23.623120,2020-06-23 12:25:55.943421,0 days 00:00:32.320301000,64,0.4,1.0139286092464104e-08,0.9999,0.99,0.10966189896174373,512,5,PRUNED
38,1.5404870510101318,2020-06-23 12:25:56.110030,2020-06-23 12:28:41.914685,0 days 00:02:45.804655000,256,0.3,2.9811755510044344e-08,0.995,1.0,0.9620320356637168,16,30,COMPLETE
39,1.8293888568878174,2020-06-23 12:28:41.916686,2020-06-23 12:30:16.274898,0 days 00:01:34.358212000,256,0.1,6.07785423092718e-06,0.99,0.9,0.04420888565760484,32,20,COMPLETE
40,1.9141685962677002,2020-06-23 12:30:16.276266,2020-06-23 12:31:05.804266,0 days 00:00:49.528000000,128,0.4,1.2055558348736982e-07,0.9,0.92,1.172694135253519e-05,256,5,COMPLETE
41,1.5947036743164062,2020-06-23 12:31:05.805830,2020-06-23 12:32:00.485890,0 days 00:00:54.680060000,256,0.4,5.155747395313398e-07,0.95,0.9,0.05268907857279401,256,10,COMPLETE
42,1.3487415313720703,2020-06-23 12:32:00.487413,2020-06-23 12:32:56.257008,0 days 00:00:55.769595000,256,0.4,1.2093567675090636e-06,0.95,0.9,0.029803359914186235,256,10,COMPLETE
43,2.122997283935547,2020-06-23 12:32:56.258500,2020-06-23 12:33:50.986148,0 days 00:00:54.727648000,256,0.4,4.518529708373898e-05,0.95,0.9,0.022348605004732635,256,10,COMPLETE
44,1.698878288269043,2020-06-23 12:33:50.987761,2020-06-23 12:34:37.424996,0 days 00:00:46.437235000,256,0.4,4.825024342935136e-07,0.95,0.9,0.005544192201459628,128,1,COMPLETE
45,5.033060550689697,2020-06-23 12:34:37.426379,2020-06-23 12:35:51.275903,0 days 00:01:13.849524000,256,0.1,1.6389820995392748e-06,0.95,0.98,0.10960563770634725,2048,30,COMPLETE
46,4.374964714050293,2020-06-23 12:35:51.277694,2020-06-23 12:36:20.156734,0 days 00:00:28.879040000,64,0.4,5.4937789279604635e-06,0.95,1.0,0.4506354270069282,512,10,PRUNED
47,2.0378429889678955,2020-06-23 12:36:20.343702,2020-06-23 12:37:12.322010,0 days 00:00:51.978308000,256,0.3,1.7146954610684106e-08,0.9999,0.9,0.0003302211658534256,256,10,COMPLETE
48,1.926497459411621,2020-06-23 12:37:12.323501,2020-06-23 12:38:24.777520,0 days 00:01:12.454019000,256,0.2,4.6359581401181646e-08,0.95,0.9,0.2414721703181988,64,20,COMPLETE
49,1.046128511428833,2020-06-23 12:38:24.778956,2020-06-23 12:39:25.814637,0 days 00:01:01.035681000,256,0.4,1.262957682557237e-07,0.99,0.95,0.010378329431579155,256,20,COMPLETE
50,1.6320068836212158,2020-06-23 12:39:25.816173,2020-06-23 12:40:30.279680,0 days 00:01:04.463507000,128,0.3,1.5215455632489252e-07,0.99,0.95,0.009183048508768447,1024,20,COMPLETE
51,1.5394995212554932,2020-06-23 12:40:30.281085,2020-06-23 12:41:36.542732,0 days 00:01:06.261647000,256,0.4,3.6941073856504827e-07,0.99,0.95,0.016991686517993078,256,20,COMPLETE
52,2.0611977577209473,2020-06-23 12:41:36.544119,2020-06-23 12:42:43.750304,0 days 00:01:07.206185000,256,0.4,1.2537107901605478e-07,0.99,0.95,0.038304591709031194,256,20,COMPLETE
53,2.0769846439361572,2020-06-23 12:42:43.751832,2020-06-23 12:43:45.458407,0 days 00:01:01.706575000,256,0.4,6.523523991921666e-07,0.999,0.95,0.0023325642696098935,256,20,COMPLETE
54,2.496408462524414,2020-06-23 12:43:45.460012,2020-06-23 12:45:15.265914,0 days 00:01:29.805902000,256,0.4,1.923488094908792e-08,0.98,0.9,0.007689939177447389,256,50,COMPLETE
55,1.5059674978256226,2020-06-23 12:45:15.267833,2020-06-23 12:46:11.671909,0 days 00:00:56.404076000,256,0.4,2.8119880708363875e-07,0.99,0.99,0.06900068865960575,128,10,COMPLETE
56,1.30974543094635,2020-06-23 12:46:11.673366,2020-06-23 12:47:19.781172,0 days 00:01:08.107806000,256,0.4,6.792168785154645e-08,0.995,0.9,0.020500295291821312,256,20,COMPLETE
57,2.6964616775512695,2020-06-23 12:47:19.782634,2020-06-23 12:48:21.722894,0 days 00:01:01.940260000,32,0.1,1.0168336822870317e-05,0.95,0.8,0.03071401515698347,16,5,COMPLETE
58,2.1868016719818115,2020-06-23 12:48:21.724375,2020-06-23 12:49:26.954890,0 days 00:01:05.230515000,256,0.4,0.005014888281111477,0.999,0.92,0.002827297458829924,2048,20,COMPLETE
59,4.031908988952637,2020-06-23 12:49:26.956356,2020-06-23 12:50:22.452828,0 days 00:00:55.496472000,256,0.3,2.0631160100207507e-06,0.9,0.9,0.13955962028141372,256,10,COMPLETE
60,2.015676259994507,2020-06-23 12:50:22.454349,2020-06-23 12:51:09.302300,0 days 00:00:46.847951000,256,0.4,0.00013799972098010025,0.99,0.95,6.311956918097438e-05,32,1,COMPLETE
61,2.08640718460083,2020-06-23 12:51:09.304106,2020-06-23 12:52:10.714394,0 days 00:01:01.410288000,256,0.3,3.887613691862395e-06,0.95,0.9,0.0505362117707039,64,10,COMPLETE
62,2.301722764968872,2020-06-23 12:52:10.715828,2020-06-23 12:53:06.580566,0 days 00:00:55.864738000,256,0.3,2.492863495593866e-05,0.95,0.9,0.08262327108645236,64,10,COMPLETE
63,2.2304744720458984,2020-06-23 12:53:06.581955,2020-06-23 12:54:05.887174,0 days 00:00:59.305219000,256,0.3,1.4247693101471764e-06,0.95,0.9,0.6341597475930447,64,10,COMPLETE
64,0.8038967251777649,2020-06-23 12:54:05.888668,2020-06-23 12:55:18.442763,0 days 00:01:12.554095000,256,0.3,9.960211103753452e-06,0.95,0.98,0.01200853885461077,64,20,COMPLETE
65,2.4668664932250977,2020-06-23 12:55:18.444350,2020-06-23 12:56:23.254709,0 days 00:01:04.810359000,256,0.3,1.6772950091336864e-07,0.95,0.98,0.010908066212819435,256,20,COMPLETE
66,1.9666715860366821,2020-06-23 12:56:23.256332,2020-06-23 12:57:38.199103,0 days 00:01:14.942771000,256,0.2,8.514317314179347e-07,0.999,0.98,0.004683350076264193,64,20,COMPLETE
67,1.1610610485076904,2020-06-23 12:57:38.200630,2020-06-23 12:58:53.769445,0 days 00:01:15.568815000,64,0.4,4.1457278524483504e-08,0.95,0.98,0.015582482417314846,256,20,COMPLETE
68,1.3227415084838867,2020-06-23 12:58:53.770901,2020-06-23 13:00:02.298675,0 days 00:01:08.527774000,64,0.3,4.735386676087421e-08,0.99,0.98,0.006555727836001583,256,20,COMPLETE
69,1.9173294305801392,2020-06-23 13:00:02.300082,2020-06-23 13:01:16.949780,0 days 00:01:14.649698000,64,0.4,2.9152264447367257e-08,0.95,0.98,0.013886386996117916,512,20,COMPLETE
70,1.2604812383651733,2020-06-23 13:01:16.951208,2020-06-23 13:02:32.184025,0 days 00:01:15.232817000,64,0.4,0.00010007612879516536,0.9999,0.98,0.0017063194576827528,256,20,COMPLETE
71,1.700212836265564,2020-06-23 13:02:32.185522,2020-06-23 13:03:50.015250,0 days 00:01:17.829728000,64,0.4,7.990940690445704e-08,0.95,0.98,0.027457525095419676,256,20,COMPLETE
72,1.3315849304199219,2020-06-23 13:03:50.016682,2020-06-23 13:05:01.210419,0 days 00:01:11.193737000,64,0.4,4.479617297092025e-07,0.95,0.98,0.018634336253007932,256,20,COMPLETE
73,1.0236395597457886,2020-06-23 13:05:01.211939,2020-06-23 13:06:08.251341,0 days 00:01:07.039402000,128,0.4,1.0396026604135391e-08,0.95,1.0,0.003836861044371353,256,20,COMPLETE
74,1.2941620349884033,2020-06-23 13:06:08.252801,2020-06-23 13:07:21.715365,0 days 00:01:13.462564000,128,0.4,1.0543704206442514e-08,0.95,1.0,0.0042438192625953485,256,20,COMPLETE
75,0.9783058166503906,2020-06-23 13:07:21.716904,2020-06-23 13:08:38.143142,0 days 00:01:16.426238000,128,0.4,2.624555925043364e-08,0.98,1.0,0.008922561489303496,256,20,COMPLETE
76,0.9892663955688477,2020-06-23 13:08:38.144578,2020-06-23 13:09:51.381076,0 days 00:01:13.236498000,128,0.4,2.5881968929441146e-08,0.98,1.0,0.0010284598782349555,256,20,COMPLETE
77,1.0073318481445312,2020-06-23 13:09:51.382564,2020-06-23 13:10:59.450922,0 days 00:01:08.068358000,128,0.4,1.9894888507712112e-08,0.98,1.0,0.0008263456444988465,256,20,COMPLETE
78,2.1439871788024902,2020-06-23 13:10:59.452402,2020-06-23 13:11:47.243964,0 days 00:00:47.791562000,128,0.3,2.062859582173425e-08,0.98,1.0,0.0005825879887989264,1024,20,PRUNED
79,2.1223888397216797,2020-06-23 13:11:47.434016,2020-06-23 13:13:40.756959,0 days 00:01:53.322943000,128,0.4,2.3647169977162057e-08,0.98,1.0,0.0010668572053989377,16,20,COMPLETE
80,1.3220221996307373,2020-06-23 13:13:40.758443,2020-06-23 13:15:17.292494,0 days 00:01:36.534051000,128,0.4,1.5878696610570103e-08,0.98,1.0,0.0003983611237494113,64,30,COMPLETE
81,1.7269794940948486,2020-06-23 13:15:17.293952,2020-06-23 13:16:37.938803,0 days 00:01:20.644851000,128,0.4,4.0468236617968694e-08,0.98,1.0,0.0009471571701703776,256,20,COMPLETE
82,1.2247003316879272,2020-06-23 13:16:37.940287,2020-06-23 13:17:53.504434,0 days 00:01:15.564147000,128,0.4,1.1336789583725595e-07,0.98,1.0,0.004082053755157894,256,20,COMPLETE
83,1.6738245487213135,2020-06-23 13:17:53.505894,2020-06-23 13:19:13.749160,0 days 00:01:20.243266000,128,0.4,0.0003391962122332657,0.98,1.0,0.003352492119048739,256,20,COMPLETE
84,2.0241007804870605,2020-06-23 13:19:13.750640,2020-06-23 13:20:30.009710,0 days 00:01:16.259070000,128,0.4,4.7331751173582104e-08,0.98,1.0,0.00018728723523247647,256,20,COMPLETE
85,0.9638866186141968,2020-06-23 13:20:30.011375,2020-06-23 13:21:43.005960,0 days 00:01:12.994585000,128,0.4,1.0277937087047593e-08,0.98,1.0,0.01055344279500448,256,20,COMPLETE
86,1.703375220298767,2020-06-23 13:21:43.007311,2020-06-23 13:23:32.096089,0 days 00:01:49.088778000,128,0.1,1.3674848378251875e-08,0.98,1.0,0.0018386635055427844,256,50,COMPLETE
87,2.1616568565368652,2020-06-23 13:23:32.097466,2020-06-23 13:24:57.599304,0 days 00:01:25.501838000,128,0.4,2.6442479893240808e-08,0.98,1.0,0.008609919836592454,128,20,COMPLETE
88,1.822157621383667,2020-06-23 13:24:57.600725,2020-06-23 13:26:27.081747,0 days 00:01:29.481022000,128,0.2,6.293832050257951e-08,0.98,1.0,0.0007649571312142788,32,20,COMPLETE
89,1.0315473079681396,2020-06-23 13:26:27.083059,2020-06-23 13:27:50.423735,0 days 00:01:23.340676000,128,0.3,1.0405320754336918e-08,0.98,1.0,0.00608286601242747,256,20,COMPLETE
90,1.0976413488388062,2020-06-23 13:27:50.425104,2020-06-23 13:29:16.211125,0 days 00:01:25.786021000,128,0.3,1.4069294880709284e-08,0.98,1.0,0.0025224057219630906,256,20,COMPLETE
91,1.045491099357605,2020-06-23 13:29:16.212494,2020-06-23 13:30:35.507486,0 days 00:01:19.294992000,128,0.3,1.0715020932884792e-08,0.98,1.0,0.0020283989833835762,256,20,COMPLETE
92,1.1982803344726562,2020-06-23 13:30:35.508941,2020-06-23 13:32:01.485798,0 days 00:01:25.976857000,128,0.3,1.0902440402287266e-08,0.98,1.0,0.0011929678181093948,256,20,COMPLETE
