number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
0,0.4256370961666107,2020-06-22 09:49:50.688114,2020-06-23 04:47:01.638243,0 days 18:57:10.950129000,512,100000,0.995,0.000684698995060842,0.8774467475279277,normal,100,COMPLETE
1,0.4146014153957367,2020-06-22 09:49:50.688681,2020-06-23 04:52:37.360209,0 days 19:02:46.671528000,512,100000,0.9999,0.2859065191714216,0.5502616217322615,normal,100,COMPLETE
2,0.8663815259933472,2020-06-22 09:49:50.689051,2020-06-22 15:48:40.183743,0 days 05:58:49.494692000,128,10000,0.9999,0.27015626230438355,0.17338766080296641,ornstein-uhlenbeck,2000,COMPLETE
3,0.6586138606071472,2020-06-22 09:49:50.689360,2020-06-22 13:14:15.046981,0 days 03:24:24.357621000,64,100000,0.95,0.06321124195396373,0.6624025110649118,ornstein-uhlenbeck,1000,COMPLETE
4,0.4619315266609192,2020-06-22 09:49:50.689703,2020-06-22 11:14:01.068804,0 days 01:24:10.379101000,16,10000,0.95,0.00010574641618405356,0.24587258657125077,ornstein-uhlenbeck,100,COMPLETE
5,3.2823498249053955,2020-06-22 09:49:50.689963,2020-06-22 20:39:57.607222,0 days 10:50:06.917259000,256,1000000,0.99,0.033925659870556985,0.49456014086302125,ornstein-uhlenbeck,2000,COMPLETE
6,3.4232869148254395,2020-06-22 09:49:50.690222,2020-06-22 11:15:13.005840,0 days 01:25:22.315618000,16,100000,0.999,0.0014220066867977447,0.018253758654250274,ornstein-uhlenbeck,2000,COMPLETE
7,0.4905502200126648,2020-06-22 09:49:50.690487,2020-06-22 15:54:19.201161,0 days 06:04:28.510674000,128,100000,0.95,0.004290464050919001,0.2020524318200385,ornstein-uhlenbeck,100,COMPLETE
8,0.5151007771492004,2020-06-22 09:49:50.690744,2020-06-22 14:40:29.846656,0 days 04:50:39.155912000,100,10000,0.98,0.0027722506992822614,0.2845391733845575,normal,10,COMPLETE
9,0.5540503263473511,2020-06-22 09:49:50.691001,2020-06-22 15:52:46.438693,0 days 06:02:55.747692000,128,1000000,0.99,5.6803102623057104e-05,0.17714483983727003,ornstein-uhlenbeck,100,COMPLETE
10,3.5729804039001465,2020-06-22 09:49:50.691271,2020-06-22 12:08:31.462056,0 days 02:18:40.770785000,100,1000000,0.9,0.01196362997287512,0.7423425949217765,normal,10,PRUNED
11,0.5367995500564575,2020-06-22 09:49:50.691514,2020-06-22 11:14:32.556172,0 days 01:24:41.864658000,16,1000000,0.95,7.004491780801524e-05,0.4553949467023106,normal,1,COMPLETE
12,1.9530885219573975,2020-06-22 09:49:50.691768,2020-06-22 13:12:16.391077,0 days 03:22:25.699309000,64,100000,0.98,0.022327411609607252,0.9560717630380027,ornstein-uhlenbeck,100,COMPLETE
13,2.416632890701294,2020-06-22 09:49:50.692023,2020-06-22 11:14:08.499917,0 days 01:24:17.807894000,16,100000,0.99,3.2019149032618324e-05,0.18340739170448772,ornstein-uhlenbeck,100,COMPLETE
14,0.10980752855539322,2020-06-22 09:49:50.692289,2020-06-23 05:12:32.381837,0 days 19:22:41.689548000,512,100000,0.9,3.085636965414316e-05,0.5675165023246678,normal,1,COMPLETE
15,0.23116949200630188,2020-06-22 09:49:50.692541,2020-06-22 20:23:13.064311,0 days 10:33:22.371770000,256,100000,0.95,9.23419315197418e-05,0.0400077986147892,normal,100,COMPLETE
16,1.2573368549346924,2020-06-22 09:49:50.692856,2020-06-22 11:55:27.035424,0 days 02:05:36.342568000,32,1000000,0.99,0.0005355534527399906,0.9222015072917568,normal,1000,COMPLETE
17,1.455363392829895,2020-06-22 09:49:50.693118,2020-06-22 11:15:11.617316,0 days 01:25:20.924198000,16,100000,0.9,0.4775441573757462,0.506635735527275,normal,10,COMPLETE
18,0.05451025441288948,2020-06-22 09:49:50.693392,2020-06-22 14:42:54.989406,0 days 04:53:04.296014000,100,100000,0.995,7.894522231592999e-05,0.13570147078343964,ornstein-uhlenbeck,2000,COMPLETE
19,1.9530885219573975,2020-06-22 09:49:50.693696,2020-06-23 04:59:22.921035,0 days 19:09:32.227339000,512,10000,0.995,0.014017154618693257,0.4511966852691952,normal,1,PRUNED
