number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
29,0.4552405774593353,2020-06-25 07:51:06.536025,2020-06-25 11:30:37.484220,0 days 03:39:30.948195000,32,100000,0.1,0.995,0,0.02951436107152333,8,big,0.917825460128234,,1,COMPLETE
30,3.682166337966919,2020-06-25 07:51:06.538855,2020-06-25 10:43:57.801569,0 days 02:52:51.262714000,32,100000,0.5,0.98,1000,0.08086680533137708,2,big,0.8109499809841898,,1,COMPLETE
31,5.454268455505371,2020-06-25 07:51:06.553703,2020-06-25 14:51:46.758782,0 days 07:00:40.205079000,128,10000,0.1,0.995,20000,0.3546064592991356,8,big,0.08777925549926535,,1,COMPLETE
32,1.2408825159072876,2020-06-25 09:39:56.906418,2020-06-25 18:38:59.904433,0 days 08:59:02.998015000,512,1000000,0.5,0.95,0,4.850227457447839e-05,2,medium,0.1104458071053227,,10,PRUNED
33,0.5439476370811462,2020-06-25 09:45:19.725439,2020-06-25 20:37:55.113598,0 days 10:52:35.388159000,256,1000000,0.5,0.9,20000,0.0191849600075402,2,small,0.21313365707153098,,10,COMPLETE
34,1.9306014776229858,2020-06-25 10:14:44.824226,2020-06-25 11:56:17.251141,0 days 01:41:32.426915000,16,100000,0.05,0.95,0,0.04443479094261983,1,medium,0.7813501644340741,,1,COMPLETE
35,4.680002212524414,2020-06-25 10:21:01.894969,2020-06-25 14:56:01.626673,0 days 04:34:59.731704000,256,10000,0.01,0.9,1000,0.25897253717439583,2,medium,0.017226900075775098,,1,PRUNED
36,3.1837809085845947,2020-06-25 10:22:13.419586,2020-06-25 12:03:41.831391,0 days 01:41:28.411805000,64,1000000,0.5,0.999,20000,0.007487117788670558,6,big,0.9880106040386741,,100,PRUNED
37,5.491853713989258,2020-06-25 10:24:39.592310,2020-06-25 11:29:58.343492,0 days 01:05:18.751182000,64,10000,0.01,0.9,20000,0.4387513011134982,4,medium,0.4803606637368517,,10,PRUNED
38,5.340336322784424,2020-06-25 10:43:57.820972,2020-06-25 11:33:56.844581,0 days 00:49:59.023609000,16,100000,0.01,0.999,20000,0.0016658220797707306,1,big,0.4485135306814585,,300,PRUNED
39,0.6459707617759705,2020-06-25 10:57:29.266536,2020-06-26 06:18:14.571078,0 days 19:20:45.304542000,512,10000,0.1,0.9,1000,0.013281249206580078,8,big,0.6130896205359024,,1,COMPLETE
40,1.32448148727417,2020-06-25 11:05:13.890961,2020-06-26 06:05:08.544810,0 days 18:59:54.653849000,512,10000,0.01,0.98,1000,7.056463190104154e-05,2,medium,0.07902745334620342,,100,COMPLETE
41,1.4976425170898438,2020-06-25 11:26:34.001717,2020-06-25 14:06:05.680118,0 days 02:39:31.678401000,128,1000000,0.01,0.999,20000,1.3582529592161276e-05,1,medium,0.006682108000801379,,10,PRUNED
42,0.6089334487915039,2020-06-25 11:30:00.086101,2020-06-25 17:05:59.863218,0 days 05:35:59.777117000,128,1000000,0.05,0.95,20000,0.002334147090196517,1,small,0.3921468704223175,,10,COMPLETE
43,0.8075438737869263,2020-06-25 11:30:37.506722,2020-06-26 05:23:03.930018,0 days 17:52:26.423296000,512,1000000,0.05,0.999,20000,0.0016903467471270914,1,small,0.00853149325000957,,10,COMPLETE
44,0.33535659313201904,2020-06-25 11:31:23.618123,2020-06-25 17:12:14.887249,0 days 05:40:51.269126000,128,1000000,0.05,0.999,20000,0.0018117035330696167,1,small,0.012986341260858347,,10,COMPLETE
45,0.2648993730545044,2020-06-25 11:33:59.086206,2020-06-25 17:47:46.040663,0 days 06:13:46.954457000,128,1000000,0.05,0.95,20000,0.0010809076089017297,8,small,0.015128926868868853,,10,COMPLETE
46,1.1787806749343872,2020-06-25 11:38:24.499316,2020-06-25 15:37:42.027658,0 days 03:59:17.528342000,256,1000000,0.05,0.95,20000,1.4012900798948097e-05,2,small,0.09128040281700445,,10,PRUNED
47,0.35654494166374207,2020-06-25 11:56:17.268822,2020-06-26 05:33:42.768009,0 days 17:37:25.499187000,512,1000000,0.05,0.95,20000,1.0942909935255531e-05,2,small,0.05577075258300218,,10,COMPLETE
48,0.46710023283958435,2020-06-25 12:03:44.650780,2020-06-25 18:02:53.819813,0 days 05:59:09.169033000,128,1000000,0.05,0.95,20000,1.0045827864923237e-05,2,small,0.04544272729462773,,10,COMPLETE
49,1.8300355672836304,2020-06-25 12:09:05.892112,2020-06-26 05:31:10.961811,0 days 17:22:05.069699000,512,1000000,0.05,0.95,20000,1.0163507067299174e-05,2,small,0.08812285921975338,,10,COMPLETE
50,1.0027750730514526,2020-06-25 12:19:10.537685,2020-06-25 23:30:52.580226,0 days 11:11:42.042541000,256,1000000,0.05,0.95,20000,1.2951899390852504e-05,8,big,0.07761312074277366,,10,COMPLETE
51,0.6342762112617493,2020-06-25 12:38:53.755329,2020-06-25 22:59:29.541428,0 days 10:20:35.786099000,256,1000000,0.05,0.95,20000,0.0007629117830044324,2,medium,0.11815280198470005,,10,COMPLETE
