mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 50mm,std success ratio 50mm,mean reach time 50mm,std reach time 50mm,mean success ratio 20mm,std success ratio 20mm,mean reach time 20mm,std reach time 20mm,mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 5mm,std success ratio 5mm,mean reach time 5mm,std reach time 5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-0.3,0.01,0.06,55.02,2.79,0.94,0.03,18.01,0.85,0.26,0.05,37.04,4.57,0.04,0.02,63.79,12.82,0.01,0.01,91.79,12.17,A2C,-0.01,0.92,0.05
-0.13,0.01,0.0,55.31,2.73,1.0,0.0,9.26,0.29,0.99,0.02,13.49,1.22,0.73,0.18,22.08,10.14,0.2,0.08,43.31,11.09,ACKTR,-0.0,0.92,0.05
-0.25,0.22,0.0,1021.71,96.44,0.8,0.42,9.0,0.0,0.5,0.53,12.0,0.0,0.2,0.42,13.0,0.0,0.0,0.0,,,TD3 + HER,-0.0,17.03,1.61
