mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 50mm,std success ratio 50mm,mean reach time 50mm,std reach time 50mm,mean success ratio 20mm,std success ratio 20mm,mean reach time 20mm,std reach time 20mm,mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 5mm,std success ratio 5mm,mean reach time 5mm,std reach time 5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-3.01,0.1,1.21,59.23,0.95,0.01,0.01,73.24,11.39,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,A2C,-0.05,0.99,0.02
-3.0,0.11,1.19,69.31,2.98,0.01,0.01,73.5,18.4,0.0,0.0,95.0,,0.0,0.0,,,0.0,0.0,,,ACKTR,-0.04,1.16,0.05
-0.29,0.38,0.0,634.98,20.26,0.9,0.32,9.22,0.67,0.3,0.48,12.33,0.58,0.2,0.42,12.5,0.71,0.0,0.0,,,DDPG,-0.0,10.58,0.34
-0.14,0.03,0.0,65.03,0.83,1.0,0.0,9.71,1.73,0.71,0.44,14.17,4.87,0.41,0.37,17.11,7.13,0.08,0.1,40.32,19.0,PPO2,-0.0,1.08,0.01
-0.18,0.06,0.0,973.78,31.85,1.0,0.0,10.6,1.96,0.6,0.52,24.5,25.73,0.1,0.32,14.0,,0.1,0.32,15.0,,SAC,-0.0,16.23,0.53
-0.12,0.0,0.0,712.79,13.2,1.0,0.0,9.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,12.5,0.53,0.5,0.53,18.2,9.09,TD3,-0.0,11.88,0.22
-0.12,0.0,0.0,267.34,21.21,1.0,0.0,9.0,0.0,1.0,0.0,12.0,0.0,0.81,0.06,12.42,0.41,0.22,0.04,38.54,7.08,TRPO,-0.0,4.46,0.35
-0.15,0.05,0.0,1097.38,6.3,1.0,0.0,9.2,0.63,0.8,0.42,12.12,0.35,0.5,0.53,12.6,0.55,0.0,0.0,,,SAC + HER,-0.0,18.29,0.11
-0.2,0.11,0.0,984.13,6.5,0.8,0.42,9.0,0.0,0.7,0.48,12.29,0.49,0.1,0.32,13.0,,0.0,0.0,,,TD3 + HER,-0.0,16.4,0.11
