number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
27,0.3484145998954773,2020-06-27 14:30:25.971521,2020-06-27 17:19:43.424958,0 days 02:49:17.453437000,16,1000000,0.995,3.387408322293556e-05,8,0.1426194572701428,normal,0.7968121806946269,100,COMPLETE
28,1.6414072513580322,2020-06-27 14:30:25.971811,2020-06-27 17:18:22.739869,0 days 02:47:56.768058000,16,10000,0.995,0.0007474585102164698,8,0.5665516544401337,normal,0.9642363372261546,1,COMPLETE
29,1.6414072513580322,2020-06-27 14:30:25.972189,2020-06-27 17:17:44.030638,0 days 02:47:18.058449000,32,10000,0.95,0.018338673951409593,2,0.14455445554843793,ornstein-uhlenbeck,0.6670112477965466,10,COMPLETE
30,1.6414072513580322,2020-06-27 14:30:25.973084,2020-06-27 17:03:52.677268,0 days 02:33:26.704184000,16,1000000,0.98,0.055722062895074066,6,0.03302979421655439,normal,0.5986240274592507,10,COMPLETE
31,8.428422927856445,2020-06-27 14:30:25.973448,2020-06-27 19:11:50.473926,0 days 04:41:24.500478000,64,100000,0.9999,0.004096039656634416,4,0.537709251340856,ornstein-uhlenbeck,0.860880212228081,1,COMPLETE
32,8.428422927856445,2020-06-27 16:48:29.062792,2020-06-27 21:37:00.618807,0 days 04:48:31.556015000,256,1000000,0.99,0.044821370317562864,2,0.6084617004703103,normal,0.42510431473313415,1,PRUNED
33,0.42588701844215393,2020-06-27 17:03:52.743792,2020-06-27 21:11:39.716129,0 days 04:07:46.972337000,64,1000000,0.98,0.004240962366825746,2,0.20460880507629475,normal,0.041145117541307785,10,COMPLETE
34,0.8385778665542603,2020-06-27 17:07:51.709706,2020-06-28 06:12:38.414047,0 days 13:04:46.704341000,256,1000000,0.98,2.8622851003283838e-05,8,0.6424894823690233,normal,0.6874913339904342,100,COMPLETE
35,8.247649192810059,2020-06-27 17:12:48.909902,2020-06-27 18:02:12.409999,0 days 00:49:23.500097000,32,100000,0.9999,3.18565672449031e-05,1,0.4842664821738647,normal,0.05954724869735517,1000,PRUNED
36,2.44389271736145,2020-06-27 17:17:44.034513,2020-06-28 15:55:49.847297,0 days 22:38:05.812784000,512,1000000,0.95,3.7573233820783544e-05,2,0.6253749629404903,ornstein-uhlenbeck,0.34525761352668716,10,COMPLETE
37,8.18055534362793,2020-06-27 17:18:22.749300,2020-06-28 05:43:46.690855,0 days 12:25:23.941555000,256,1000000,0.995,2.9653347942838718e-05,1,0.19305039645010014,ornstein-uhlenbeck,0.9897529893542477,100,COMPLETE
38,1.6414072513580322,2020-06-27 17:19:43.562067,2020-06-27 19:59:35.976077,0 days 02:39:52.414010000,32,10000,0.999,0.005362537094560474,4,0.798215252225408,ornstein-uhlenbeck,0.3311088383730336,2000,COMPLETE
39,2.9919192790985107,2020-06-27 17:20:11.492359,2020-06-27 19:24:24.886665,0 days 02:04:13.394306000,100,100000,0.9,0.004039388666239456,2,0.3544969859284838,normal,0.5869281907803785,1,PRUNED
40,8.471331596374512,2020-06-27 17:20:21.109355,2020-06-28 00:48:13.713993,0 days 07:27:52.604638000,128,1000000,0.995,2.2817313899675684e-05,8,0.6046242763800197,ornstein-uhlenbeck,0.8216044702868852,2000,COMPLETE
41,8.426085472106934,2020-06-27 17:24:13.399014,2020-06-27 23:41:32.315989,0 days 06:17:18.916975000,100,100000,0.999,1.0382919825567517e-05,8,0.9079094265580553,ornstein-uhlenbeck,0.9790474414487293,100,COMPLETE
42,8.568574905395508,2020-06-27 17:31:38.562985,2020-06-28 06:22:25.306782,0 days 12:50:46.743797000,256,100000,0.99,1.5199672459703293e-05,6,0.39858266854544855,normal,0.3994532997908722,100,COMPLETE
43,0.6913747191429138,2020-06-27 17:35:31.182703,2020-06-28 06:10:30.499786,0 days 12:34:59.317083000,256,100000,0.995,1.570383573611711e-05,6,0.4218265649692172,normal,0.9320969022998635,100,COMPLETE
44,8.407119750976562,2020-06-27 17:36:37.767195,2020-06-28 00:39:25.581852,0 days 07:02:47.814657000,128,1000000,0.9999,1.5702896122943235e-05,4,0.9966449047402403,ornstein-uhlenbeck,0.9667188873482755,100,COMPLETE
45,1.6414047479629517,2020-06-27 17:38:58.576942,2020-06-27 21:41:43.104528,0 days 04:02:44.527586000,64,1000000,0.9999,1.4869440214173917e-05,4,0.86315614753836,ornstein-uhlenbeck,0.9992004779880952,100,COMPLETE
46,1.303495168685913,2020-06-27 17:43:58.728519,2020-06-28 06:34:32.883544,0 days 12:50:34.155025000,256,1000000,0.9999,0.00019098998674091106,8,0.9530385356936732,ornstein-uhlenbeck,0.9820328942830244,100,COMPLETE
47,1.6414072513580322,2020-06-27 18:02:14.042378,2020-06-28 06:36:40.575480,0 days 12:34:26.533102000,256,1000000,0.995,0.00013273537556422543,8,0.963857047859115,ornstein-uhlenbeck,0.9965162083994039,100,COMPLETE
48,0.6745667457580566,2020-06-27 18:43:15.160178,2020-06-28 16:47:43.224686,0 days 22:04:28.064508000,512,1000000,0.9999,0.0001105925291460742,4,0.9665644088569978,ornstein-uhlenbeck,0.8711931892370252,100,COMPLETE
49,8.381688117980957,2020-06-27 19:07:05.146668,2020-06-28 17:38:20.919811,0 days 22:31:15.773143000,512,1000000,0.9999,0.0002065950892767674,8,0.9603916577036502,normal,0.8596871775114108,100,COMPLETE
50,4.736826419830322,2020-06-27 19:11:50.479874,2020-06-28 18:14:10.030001,0 days 23:02:19.550127000,512,1000000,0.995,0.00021088555142171342,8,0.9827798758539537,normal,0.8874321962633535,100,COMPLETE
51,5.1500444412231445,2020-06-27 19:12:47.373401,2020-06-28 17:29:52.494313,0 days 22:17:05.120912000,512,1000000,0.995,0.00021074614004134814,8,0.6823191472523525,ornstein-uhlenbeck,0.8845788089852895,100,COMPLETE
52,3.043911933898926,2020-06-27 19:24:26.642603,2020-06-28 17:55:41.968798,0 days 22:31:15.326195000,512,10000,0.995,0.00011409793554224551,8,0.7173845850717981,ornstein-uhlenbeck,0.8769146562358405,100,COMPLETE
53,6.215160369873047,2020-06-27 19:35:21.346754,2020-06-27 23:55:14.756318,0 days 04:19:53.409564000,256,10000,0.995,0.00017036485145175464,8,0.938959087821123,normal,0.8798390661829214,100,PRUNED
54,8.2235746383667,2020-06-27 19:59:35.981672,2020-06-28 08:34:58.760274,0 days 12:35:22.778602000,256,1000000,0.995,0.00020596298910048255,8,0.9863392653155856,normal,0.8771026329916076,100,COMPLETE
55,3.1696605682373047,2020-06-27 20:36:49.627876,2020-06-28 19:29:51.121293,0 days 22:53:01.493417000,512,1000000,0.995,0.0001924446916984349,8,0.013554971559523149,normal,0.8774661662053282,100,COMPLETE
56,4.763373851776123,2020-06-27 20:58:05.744728,2020-06-28 09:15:16.575445,0 days 12:17:10.830717000,256,1000000,0.995,0.00018579848480885554,8,0.0038460131944148546,normal,0.8051461265665709,100,COMPLETE
57,8.612443923950195,2020-06-27 20:59:08.369148,2020-06-28 19:09:41.209249,0 days 22:10:32.840101000,512,10000,0.995,0.00016197631253359453,8,0.054156511228607984,normal,0.8130720781735218,100,COMPLETE
