number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,3.0364830493927,2020-06-23 14:37:18.625988,2020-06-23 15:00:05.004458,0 days 00:22:46.378470000,64,1000000,auto,0.98,20000,1.0491406108563302e-05,big,-1,10,COMPLETE
1,1.8075393438339233,2020-06-23 15:00:05.005628,2020-06-23 15:13:34.875188,0 days 00:13:29.869560000,16,10000,0.0001,0.995,0,7.195513449265189e-05,medium,,100,COMPLETE
2,1.5533088445663452,2020-06-23 15:13:34.876393,2020-06-23 15:28:28.835048,0 days 00:14:53.958655000,16,10000,0.5,0.995,0,0.03671901828718791,medium,,100,COMPLETE
3,1.4859744310379028,2020-06-23 15:28:28.836206,2020-06-23 16:08:03.484236,0 days 00:39:34.648030000,512,1000000,0.5,0.995,0,0.10744656071259943,small,,10,COMPLETE
4,3.3586947917938232,2020-06-23 16:08:03.485365,2020-06-23 16:31:11.604711,0 days 00:23:08.119346000,32,1000000,0.01,0.9999,1000,9.295726585987608e-05,medium,,10,COMPLETE
5,1.6083450317382812,2020-06-23 16:31:11.605909,2020-06-23 16:56:35.020757,0 days 00:25:23.414848000,32,100000,0.01,0.995,1000,0.0006846971777054646,medium,,100,COMPLETE
6,5.077492713928223,2020-06-23 16:56:35.022037,2020-06-23 17:40:59.124554,0 days 00:44:24.102517000,128,1000000,0.01,0.995,0,0.1536708178605069,big,,100,COMPLETE
7,2.315138339996338,2020-06-23 17:40:59.125810,2020-06-23 18:25:30.711297,0 days 00:44:31.585487000,256,1000000,0.05,0.9,10000,0.0003886145898512185,medium,,1,COMPLETE
8,2.1020634174346924,2020-06-23 18:25:30.712448,2020-06-23 18:34:04.311632,0 days 00:08:33.599184000,32,10000,0.5,0.99,20000,0.04265579879615968,small,,1,COMPLETE
9,2.0478787422180176,2020-06-23 18:34:04.312820,2020-06-23 18:42:43.014186,0 days 00:08:38.701366000,16,100000,0.1,0.9,20000,0.008683288128807693,small,,1,COMPLETE
10,3.4346961975097656,2020-06-23 18:42:43.015373,2020-06-23 18:57:55.053437,0 days 00:15:12.038064000,512,1000000,0.5,0.95,0,0.4657213517272951,small,,300,PRUNED
11,3.017002820968628,2020-06-23 18:57:55.216666,2020-06-23 19:33:42.994959,0 days 00:35:47.778293000,512,10000,0.5,0.999,0,0.020154305504956956,small,,10,COMPLETE
12,2.2256083488464355,2020-06-23 19:33:42.996076,2020-06-23 19:37:40.505432,0 days 00:03:57.509356000,16,10000,0.5,0.995,0,0.6134774630358799,small,,300,PRUNED
13,1.5004608631134033,2020-06-23 19:37:40.673689,2020-06-23 21:07:03.941385,0 days 01:29:23.267696000,512,10000,0.5,0.995,0,0.11490112609477623,medium,,100,COMPLETE
14,2.9849932193756104,2020-06-23 21:07:03.942497,2020-06-23 21:34:05.359103,0 days 00:27:01.416606000,512,10000,0.1,0.995,10000,0.17207219452833508,medium,,10,PRUNED
15,2.056881904602051,2020-06-23 21:34:05.513090,2020-06-23 23:26:51.795083,0 days 01:52:46.281993000,512,100000,auto,0.999,0,0.0033404913068133626,big,-50,100,COMPLETE
16,1.6532760858535767,2020-06-23 23:26:51.796387,2020-06-24 00:05:00.521082,0 days 00:38:08.724695000,512,1000000,0.5,0.95,0,0.952388586115696,small,,10,COMPLETE
