r,r,mean_reward,std_reward,upper,lower,timesteps
-0.615468,-1.7334060000000002,-1.1744370000000002,0.7905015407461267,-0.3839354592538735,-1.9649385407461268,100
-0.336328,-1.838683,-1.0875055,1.0623254082495157,-0.0251800917504843,-2.1498309082495157,200
-0.447402,-1.7783490000000002,-1.1128755000000001,0.9411216490998919,-0.1717538509001082,-2.0539971490998923,300
-0.631231,-1.337357,-0.984294,0.499306482972132,-0.484987517027868,-1.483600482972132,400
-0.657957,-1.089373,-0.8736649999999999,0.3050571791123755,-0.5686078208876244,-1.1787221791123754,500
-0.455167,-1.829881,-1.142524,0.9720695915920836,-0.17045440840791648,-2.114593591592084,600
-0.47518299999999997,-1.453091,-0.9641369999999999,0.6914853781765743,-0.2726516218234256,-1.6556223781765742,700
-0.45770500000000003,-2.002738,-1.2302214999999999,1.092503311456995,-0.13771818854300477,-2.322724811456995,800
-0.537129,-1.152064,-0.8445965,0.4348247084889496,-0.40977179151105037,-1.2794212084889496,900
-0.508568,-1.690535,-1.0995515,0.8357768808387199,-0.2637746191612801,-1.9353283808387198,1000
-0.325877,-1.576727,-0.951302,0.884484517247193,-0.06681748275280697,-1.835786517247193,1100
-0.5183409999999999,-1.071344,-0.7948425,0.3910321713165044,-0.4038103286834956,-1.1858746713165045,1200
-0.425101,-1.622644,-1.0238725,0.8467907760624817,-0.1770817239375183,-1.8706632760624817,1300
-0.482889,-1.215439,-0.849164,0.5179910725582053,-0.3311729274417947,-1.3671550725582053,1400
-0.7986850000000001,-1.046629,-0.9226570000000001,0.1753228837545173,-0.7473341162454827,-1.0979798837545174,1500
-0.704182,-1.51873,-1.111456,0.5759724144019399,-0.5354835855980601,-1.68742841440194,1600
-0.450967,-0.8409610000000001,-0.645964,0.27576740202206645,-0.37019659797793353,-0.9217314020220664,1700
-0.37942800000000004,-1.313993,-0.8467105,0.6608372489596057,-0.18587325104039432,-1.5075477489596056,1800
-0.561779,-1.2377,-0.8997395,0.47794832264639237,-0.42179117735360766,-1.3776878226463924,1900
-0.426845,-1.860411,-1.143628,1.0136842398784742,-0.12994376012152586,-2.1573122398784745,2000
-0.765192,-1.187049,-0.9761205,0.2982979453910134,-0.6778225546089865,-1.2744184453910132,2100
-0.41009399999999996,-1.2816969999999999,-0.8458954999999999,0.6163163918025383,-0.22957910819746163,-1.4622118918025382,2200
-0.402515,-1.088455,-0.745485,0.48503282548710036,-0.2604521745128996,-1.2305178254871003,2300
-0.614862,-1.3770790000000002,-0.9959705000000001,0.5389688094356668,-0.45700169056433326,-1.534939309435667,2400
-0.66085,-1.035115,-0.8479825000000001,0.2646453194607832,-0.5833371805392169,-1.1126278194607833,2500
-0.514405,-1.228715,-0.87156,0.5050934448693628,-0.3664665551306372,-1.3766534448693628,2600
-0.331796,-1.370847,-0.8513215,0.7347200080986633,-0.11660149190133662,-1.5860415080986634,2700
-0.264798,-0.8330860000000001,-0.548942,0.4018402984669408,-0.14710170153305924,-0.9507822984669408,2800
-0.48880100000000004,-0.9788180000000001,-0.7338095,0.34649434359668846,-0.38731515640331154,-1.0803038435966885,2900
-0.999342,-1.502082,-1.250712,0.3554908631737249,-0.8952211368262751,-1.606202863173725,3000
-0.917125,-1.513976,-1.2155505,0.4220373894579721,-0.7935131105420279,-1.637587889457972,3100
-0.41578100000000007,-1.216772,-0.8162765000000001,0.5663861677693938,-0.2498903322306063,-1.3826626677693938,3200
-0.480419,-0.817987,-0.649203,0.2386966219115805,-0.4105063780884195,-0.8878996219115805,3300
-1.091979,-1.015472,-1.0537255,0.054098618508239264,-0.9996268814917608,-1.1078241185082394,3400
-1.112147,-0.9930370000000001,-1.052592,0.08422348870712963,-0.9683685112928704,-1.1368154887071296,3500
-0.36354000000000003,-1.0803719999999999,-0.7219559999999999,0.5068767681715152,-0.21507923182848476,-1.228832768171515,3600
-0.415865,-1.09913,-0.7574974999999999,0.48314131484742634,-0.2743561851525736,-1.2406388148474263,3700
-1.5313350000000001,-1.0863200000000002,-1.3088275,0.31467312422973137,-0.9941543757702687,-1.6235006242297314,3800
-0.654057,-0.970534,-0.8122955000000001,0.223783032789575,-0.588512467210425,-1.036078532789575,3900
-1.032175,-1.294106,-1.1631405,0.1852131863029735,-0.9779273136970263,-1.3483536863029735,4000
-0.804921,-1.293161,-1.049041,0.34523781484652,-0.7038031851534798,-1.39427881484652,4100
-0.959726,-0.741505,-0.8506155,0.15430554889730957,-0.6963099511026904,-1.0049210488973095,4200
-1.499325,-1.639809,-1.5695670000000002,0.09933718904821098,-1.470229810951789,-1.6689041890482113,4300
-0.43754,-0.933183,-0.6853615,0.350472526347644,-0.334888973652356,-1.035834026347644,4400
-1.004283,-1.0761100000000001,-1.0401965,0.05078935877228621,-0.9894071412277138,-1.0909858587722863,4500
-1.213332,-0.853507,-1.0334195,0.2544346975404495,-0.7789848024595505,-1.2878541975404494,4600
-0.548581,-1.082243,-0.815412,0.3773560190615754,-0.4380559809384246,-1.1927680190615755,4700
-0.500572,-1.438444,-0.969508,0.6631756510849898,-0.30633234891501027,-1.6326836510849898,4800
-0.8695,-1.585122,-1.227311,0.5060211689662794,-0.7212898310337207,-1.7333321689662795,4900
-1.609323,-1.0635459999999999,-1.3364345,0.38592261771565045,-0.9505118822843495,-1.7223571177156505,5000
-0.6261180000000001,-1.068802,-0.8474600000000001,0.3130248583227856,-0.5344351416772145,-1.1604848583227856,5100
-1.613373,-1.213574,-1.4134734999999998,0.28270058401160053,-1.1307729159883992,-1.6961740840116004,5200
-0.6100479999999999,-1.7425169999999999,-1.1762825,0.8007765093835483,-0.3755059906164516,-1.9770590093835483,5300
-0.8929600000000001,-1.081977,-0.9874685000000001,0.13365520245953758,-0.8538132975404625,-1.1211237024595377,5400
-1.664694,-0.904458,-1.284576,0.5375680309021361,-0.7470079690978638,-1.8221440309021362,5500
-0.892603,-1.138012,-1.0153075,0.17353036806420943,-0.8417771319357906,-1.1888378680642095,5600
-0.569816,-0.9877940000000001,-0.778805,0.29555507818679083,-0.48324992181320914,-1.0743600781867908,5700
-0.724317,-1.0880100000000001,-0.9061635000000001,0.25716978657007916,-0.648993713429921,-1.1633332865700794,5800
-0.6860069999999999,-1.0050780000000001,-0.8455425000000001,0.22561726777997304,-0.619925232220027,-1.0711597677799731,5900
-1.0832389999999998,-1.2423549999999999,-1.1627969999999999,0.11251200259527873,-1.050284997404721,-1.2753090025952787,6000
-1.645354,-1.3159459999999998,-1.4806499999999998,0.23292663057709834,-1.2477233694229015,-1.713576630577098,6100
-0.550374,-0.970556,-0.760465,0.2971135415325259,-0.46335145846747405,-1.0575785415325258,6200
