mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 50mm,std success ratio 50mm,mean reach time 50mm,std reach time 50mm,mean success ratio 20mm,std success ratio 20mm,mean reach time 20mm,std reach time 20mm,mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 5mm,std success ratio 5mm,mean reach time 5mm,std reach time 5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-1.49,0.05,0.81,72.35,2.84,0.03,0.01,30.84,22.65,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,A2C,-0.02,1.21,0.05
-1.64,0.16,0.89,74.22,2.43,0.04,0.01,48.15,24.18,0.0,0.0,74.0,16.82,0.0,0.0,95.0,,0.0,0.0,,,ACKTR,-0.02,1.24,0.04
-1.94,0.49,1.02,523.2,16.62,0.02,0.02,39.77,29.64,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,DDPG,-0.0,8.72,0.28
-1.54,0.07,0.87,68.11,0.75,0.04,0.01,31.69,16.99,0.0,0.0,85.0,,0.0,0.0,96.0,,0.0,0.0,,,PPO2,-0.02,1.14,0.01
-2.59,0.56,1.52,1063.94,74.33,0.02,0.02,49.66,17.22,0.0,0.0,37.33,26.65,0.0,0.0,39.5,26.16,0.0,0.0,,,SAC,-0.0,17.73,1.24
-2.19,0.57,1.23,783.67,10.71,0.03,0.03,34.88,13.36,0.0,0.0,50.5,14.85,0.0,0.0,55.0,,0.0,0.0,,,TD3,-0.0,13.06,0.18
-1.46,0.03,0.84,191.77,12.25,0.05,0.01,25.26,18.38,0.0,0.01,61.67,27.02,0.0,0.0,94.0,,0.0,0.0,,,TRPO,-0.01,3.2,0.2
-0.27,0.04,0.18,1285.66,25.38,0.67,0.1,11.36,0.74,0.1,0.06,27.21,11.99,0.01,0.02,37.15,29.33,0.0,0.0,84.0,18.38,SAC + HER,-0.0,21.43,0.42
-0.32,0.11,0.27,980.69,14.11,0.64,0.11,11.1,1.27,0.17,0.11,19.3,5.66,0.03,0.02,25.92,14.77,0.01,0.01,28.62,21.48,TD3 + HER,-0.0,16.34,0.24
