Q Targets Min,Bellman Errors 1 Std,Q2 Predictions Max,Q1 Predictions Std,Bellman Errors 2 Max,Number of train steps total,Q1 Predictions Mean,Bellman Errors 2 Min,Number of env steps total,Q Targets Mean,Final total_distance Std,Number of rollouts total,Exploration Rewards Mean,Policy Loss,Exploration Actions Std,Q1 Predictions Max,Exploration Returns Min,Test Actions Min,Exploration Actions Min,Test Actions Mean,Exploration Rewards Max,QF1 Loss,Num Paths,(Previous) Eval Time (s),Test Actions Std,Q Targets Max,Q Targets Std,Exploration Actions Mean,Epoch,Train Time (s),Test Rewards Mean,Policy Action Std,Exploration Rewards Min,Q2 Predictions Mean,Q2 Predictions Std,Bellman Errors 1 Min,Q2 Predictions Min,Final total_distance Min,Test Returns Mean,Bellman Errors 2 Std,Final total_distance Max,Test Actions Max,Final total_distance Mean,Sample Time (s),Test Rewards Max,QF2 Loss,Policy Action Min,Test Rewards Std,Bellman Errors 2 Mean,Epoch Time (s),Exploration Rewards Std,Test Returns Max,Exploration Returns Mean,Exploration Actions Max,Bellman Errors 1 Max,AverageReturn,Q1 Predictions Min,Exploration Returns Max,Exploration Returns Std,Test Returns Std,Total Train Time (s),Test Returns Min,Policy Action Max,Policy Action Mean,Test Rewards Min,Bellman Errors 1 Mean
-3.54415,0.000523886,-3.01348,0.119316,0.00183915,50001,-3.34155,6.70409e-08,55000,-3.34789,0.0,55,-0.0636937107738,3.35618,0.961733345888,-3.00945,-67.5648252542,-1.0,-1.0,0.0,-0.00618349605167,0.00024093,5,0.965812369948253,1.0,-3.02066,0.114825,-0.000581355134778,10,665.2469020127319,-0.0639760473788,1.0,-0.0677162980751,-3.34989,0.119913,8.0496e-10,-3.50126,0.253197264169,-63.9760473788,0.000356007,0.253197264169,1.0,0.253197264169,4.088629208039492,-0.00723723529987,0.000212411,-1.0,0.00229066907403,0.000212411,670.3013435907196,0.00307991398161,-63.9760473788,-63.6937107738,1.0,0.00294715,-63.9760473788,-3.5004,-61.8342339356,2.00461050591,0.0,6549.777996946126,-63.9760473788,1.0,0.0,-0.0641088545829,0.00024093
-3.9895,0.000840199,-3.28114,0.115446,0.00881985,55001,-3.75448,1.84173e-09,60000,-3.75961,0.0,60,-0.0638846628628,3.78071,0.96193741907,-3.29392,-64.960440144,-1.0,-1.0,0.0,-0.00611428390385,0.000286055,5,0.8435307131148875,1.0,-3.30893,0.114235,-9.43660184033e-05,11,672.3236523398664,-0.0639760473788,1.0,-0.0651030834638,-3.74894,0.116751,6.87805e-10,-3.94569,0.253197264169,-63.9760473788,0.00102997,0.253197264169,1.0,0.253197264169,4.089359459700063,-0.00723723529987,0.000385383,-1.0,0.00229066907403,0.000385383,677.2565425126813,0.00252654448371,-63.9760473788,-63.8846628628,1.0,0.00762563,-63.9760473788,-3.95277,-62.9519191922,0.685679371583,0.0,7227.0687911596615,-63.9760473788,1.0,0.0,-0.0641088545829,0.000286055
-4.28093,0.000710287,-3.88979,0.118589,0.00482889,60001,-4.09459,2.40285e-07,65000,-4.08954,0.0,65,-0.0635286623143,4.1071,0.962453406257,-3.89487,-66.2403006504,-1.0,-1.0,0.0,-0.00598733357049,0.000303876,5,0.8777743868995458,1.0,-3.86582,0.117743,-7.16894420819e-06,12,655.7342889197171,-0.0639760473788,1.0,-0.0663895109743,-4.08637,0.116078,4.45652e-11,-4.33658,0.253197264169,-63.9760473788,0.000687778,0.253197264169,1.0,0.253197264169,4.1137165853288025,-0.00723723529987,0.000299185,-1.0,0.00229066907403,0.000299185,660.7257798919454,0.00294872239876,-63.9760473788,-63.5286623143,1.0,0.0041016,-63.9760473788,-4.34277,-61.0119736252,1.76404013763,0.0,7887.828765213722,-63.9760473788,1.0,0.0,-0.0641088545829,0.000303876
-4.61737,0.00111955,-3.78335,0.140494,0.00607167,65001,-4.41733,1.24174e-07,70000,-4.42454,0.0,70,-0.0623067757029,4.45373,0.961863364314,-3.78543,-63.6225291658,-1.0,-1.0,0.0,-0.0060285544079,0.000455435,5,0.9126000660471618,1.0,-3.83164,0.131662,-0.000606020640497,13,677.0200293869711,-0.0639760473788,1.0,-0.063756358362,-4.41816,0.141942,2.03274e-08,-4.55533,0.253197264169,-63.9760473788,0.00119199,0.253197264169,1.0,0.253197264169,4.027305385330692,-0.00723723529987,0.000494043,-1.0,0.00229066907403,0.000494043,681.959934838349,0.002515543712,-63.9760473788,-62.3067757029,1.0,0.0055411,-63.9760473788,-4.55441,-60.5840032803,1.04943959899,0.0,8569.731583208079,-63.9760473788,1.0,0.0,-0.0641088545829,0.000455435
-4.85521,0.000718686,-4.40623,0.14673,0.0033422,70001,-4.66528,2.41221e-09,75000,-4.66717,0.0,75,-0.0622955794046,4.69342,0.962346529358,-4.39545,-63.7567348249,-1.0,-1.0,0.0,-0.0066722864349,0.000300483,5,0.855191740905866,1.0,-4.37607,0.137986,0.000466322151013,14,675.0625441861339,-0.0639760473788,1.0,-0.0638887992336,-4.66466,0.140512,1.86636e-07,-4.83145,0.253197264169,-63.9760473788,0.000609114,0.253197264169,1.0,0.253197264169,4.1328290028031915,-0.00723723529987,0.000220145,-1.0,0.00229066907403,0.000220145,680.050564929843,0.00261162251105,-63.9760473788,-62.2955794046,1.0,0.00450875,-63.9760473788,-4.83208,-59.8804693749,1.35405837046,0.0,9249.788138069445,-63.9760473788,1.0,0.0,-0.0641088545829,0.000300483
-5.22218,0.000738582,-4.47966,0.144599,0.00542409,75001,-4.91595,4.3301e-09,80000,-4.9123,0.0,80,-0.0638623098512,4.93893,0.961988925852,-4.49773,-64.6942278938,-1.0,-1.0,0.0,-0.00675026264636,0.00036229,5,0.8613408778328449,1.0,-4.4757,0.145385,-0.000323652695455,15,672.4295289330184,-0.0639760473788,1.0,-0.0651486892372,-4.8993,0.140951,1.336e-06,-5.18185,0.253197264169,-63.9760473788,0.00104193,0.253197264169,1.0,0.253197264169,3.9520363642368466,-0.00723723529987,0.000535451,-1.0,0.00229066907403,0.000535451,677.2429061750881,0.00254966875488,-63.9760473788,-63.8623098512,1.0,0.00405213,-63.9760473788,-5.18857,-63.1217201527,0.539169849029,0.0,9927.035838926677,-63.9760473788,1.0,0.0,-0.0641088545829,0.00036229
-5.59432,0.000719719,-4.76856,0.143148,0.00294997,80001,-5.13815,5.53337e-09,85000,-5.14275,0.0,85,-0.0620266308424,5.14956,0.962113941024,-4.76053,-65.0564250726,-1.0,-1.0,0.0,-0.0055167723399,0.000306261,5,0.867042836965993,1.0,-4.74489,0.147908,-0.000190395511574,16,667.523980111815,-0.0639760473788,1.0,-0.0651967380854,-5.14332,0.141963,1.42109e-10,-5.6063,0.253197264169,-63.9760473788,0.000616181,0.253197264169,1.0,0.253197264169,4.109327932354063,-0.00723723529987,0.000287332,-1.0,0.00229066907403,0.000287332,672.5003508811351,0.00339581911661,-63.9760473788,-62.0266308424,1.0,0.00436179,-63.9760473788,-5.56917,-59.1506286956,2.51380683645,0.0,10599.535551632056,-63.9760473788,1.0,0.0,-0.0641088545829,0.000306261
-5.64214,0.00106091,-4.96276,0.143565,0.00699287,85001,-5.31765,9.02446e-10,90000,-5.32822,0.0,90,-0.0640165148555,5.34724,0.961391078461,-4.95124,-65.0351404243,-1.0,-1.0,0.0,-0.00716469777422,0.000522081,5,0.8662807950749993,1.0,-4.97404,0.145225,-0.000368509744941,17,665.2222446931992,-0.0639760473788,1.0,-0.0651798889028,-5.32296,0.14337,4.05876e-06,-5.62344,0.253197264169,-63.9760473788,0.0010214,0.253197264169,1.0,0.253197264169,4.090480181155726,-0.00723723529987,0.000408845,-1.0,0.00229066907403,0.000408845,670.1790056694299,0.00251013807195,-63.9760473788,-64.0165148555,1.0,0.00599685,-63.9760473788,-5.62083,-62.7119175106,0.907513066528,0.0,11269.71593524539,-63.9760473788,1.0,0.0,-0.0641088545829,0.000522081
-5.90349,0.000803366,-5.20027,0.142766,0.007162,90001,-5.50904,1.74083e-07,95000,-5.49878,0.0,95,-0.0620983155058,5.4948,0.96173687716,-5.19922,-63.091376255,-1.0,-1.0,0.0,-0.00614129490131,0.00035161,5,0.8684994969516993,1.0,-5.1655,0.138351,0.000417929749837,18,679.5375660876743,-0.0639760473788,1.0,-0.0644609686377,-5.50179,0.139691,4.29878e-07,-5.89303,0.253197264169,-63.9760473788,0.000793934,0.253197264169,1.0,0.253197264169,4.15560032823123,-0.00723723529987,0.000210884,-1.0,0.00229066907403,0.000210884,684.5616659128573,0.00261608186116,-63.9760473788,-62.0983155058,1.0,0.00720589,-63.9760473788,-5.88517,-60.5123775394,0.933542568932,0.0,11954.2779411464,-63.9760473788,1.0,0.0,-0.0641088545829,0.00035161
-5.97446,0.00085562,-5.40406,0.104851,0.00507819,95001,-5.66083,1.91221e-10,100000,-5.66203,0.0,100,-0.0629345862429,5.66037,0.961528167935,-5.41864,-63.8629685107,-1.0,-1.0,0.0,-0.00649480563076,0.00026812,5,0.8687370030675083,1.0,-5.38925,0.110914,0.000537168883832,19,679.2308298870921,-0.0639760473788,1.0,-0.0640017345809,-5.66174,0.108752,1.56638e-09,-5.97731,0.253197264169,-63.9760473788,0.000815205,0.253197264169,1.0,0.253197264169,4.069418045459315,-0.00723723529987,0.000238924,-1.0,0.00229066907403,0.000238924,684.1689849356189,0.0025258492313,-63.9760473788,-62.9345862429,1.0,0.00635285,-63.9760473788,-5.96628,-60.8721508701,1.05503057529,0.0,12638.398381526582,-63.9760473788,1.0,0.0,-0.0641088545829,0.00026812
