number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
26,0.791307806968689,2020-06-20 19:15:21.348879,2020-06-20 19:39:47.431322,0 days 00:24:26.082443000,1.3756815678516352e-08,0.9,0.0004061760166103599,linear,16,0.5019488083635973,COMPLETE
27,0.3809746205806732,2020-06-20 19:15:21.350568,2020-06-20 19:38:51.734671,0 days 00:23:30.384103000,1.559330185691739e-06,0.98,0.002231802874027929,constant,1024,0.22464883657442036,COMPLETE
28,0.5928901433944702,2020-06-20 19:15:21.352832,2020-06-20 19:39:36.031250,0 days 00:24:14.678418000,0.003956083571638925,0.99,0.07606378997419036,linear,32,0.5615353052188262,COMPLETE
29,0.30784139037132263,2020-06-20 19:15:21.354653,2020-06-20 19:39:24.336236,0 days 00:24:02.981583000,0.06698646124798065,0.98,0.9929715098063978,constant,128,0.3124728978898229,COMPLETE
30,1.2007884979248047,2020-06-20 19:15:21.356526,2020-06-20 19:38:39.166426,0 days 00:23:17.809900000,0.016031597184026324,0.98,0.05329950289939759,linear,512,0.8336237960010424,COMPLETE
31,0.48537683486938477,2020-06-20 19:15:21.358777,2020-06-20 19:38:50.550830,0 days 00:23:29.192053000,2.4755346347784875e-07,0.9999,0.09718824091969365,constant,512,0.7041646373595313,COMPLETE
32,0.4194716811180115,2020-06-20 19:38:34.360586,2020-06-20 20:02:44.464143,0 days 00:24:10.103557000,1.070183812323478e-08,0.9,0.0010004453580821626,linear,128,0.8875791272070878,COMPLETE
33,0.40593892335891724,2020-06-20 19:38:34.387090,2020-06-20 20:02:53.030036,0 days 00:24:18.642946000,1.8259787357139556e-06,0.9999,0.0003049716556095703,linear,32,0.02263864619015421,COMPLETE
34,0.39129409193992615,2020-06-20 19:38:39.175148,2020-06-20 20:02:35.708448,0 days 00:23:56.533300000,0.08683873363341012,0.9999,0.003044905945384985,constant,256,0.4420044492813824,COMPLETE
35,0.9573881030082703,2020-06-20 19:38:40.561696,2020-06-20 19:48:47.874634,0 days 00:10:07.312938000,0.017575850966139905,0.999,0.18136536709505344,linear,16,0.9207763024529521,PRUNED
36,0.4005401134490967,2020-06-20 19:38:46.705602,2020-06-20 20:03:27.164946,0 days 00:24:40.459344000,1.3301907930003199e-05,0.95,0.00046552817568515175,constant,32,0.4001382252143617,COMPLETE
37,1.118091106414795,2020-06-20 19:38:46.903586,2020-06-20 20:03:06.720551,0 days 00:24:19.816965000,0.003283363548029364,0.999,0.0004416951117286727,constant,128,0.29679555276058533,COMPLETE
38,1.4617946147918701,2020-06-20 19:38:49.549115,2020-06-20 19:48:55.428579,0 days 00:10:05.879464000,5.085417505434155e-06,0.9999,0.00024576877810153123,linear,16,0.06140477878947892,PRUNED
39,0.3977017402648926,2020-06-20 19:38:50.469128,2020-06-20 19:48:33.226870,0 days 00:09:42.757742000,9.582919383972747e-05,0.9999,0.003804243504605418,linear,1024,0.2050046002961634,PRUNED
40,0.4350016713142395,2020-06-20 19:38:50.551703,2020-06-20 19:48:40.940609,0 days 00:09:50.388906000,0.00014161610914559342,0.98,0.09930365310271308,linear,256,0.6271870078650181,PRUNED
41,0.34329158067703247,2020-06-20 19:38:51.472370,2020-06-20 20:02:33.323612,0 days 00:23:41.851242000,1.5566064525285126e-05,0.9,0.0060679306297755685,linear,1024,0.5360260805916705,COMPLETE
42,0.34773439168930054,2020-06-20 19:38:51.474959,2020-06-20 20:02:36.541918,0 days 00:23:45.066959000,2.8119959831234553e-06,0.95,0.004453106752182249,linear,1024,0.5508314326196636,COMPLETE
43,0.7920840978622437,2020-06-20 19:38:51.735613,2020-06-20 20:03:03.658236,0 days 00:24:11.922623000,3.1439207773174417e-06,0.9,0.012340644093548086,linear,64,0.6079443089922578,COMPLETE
44,0.5150124430656433,2020-06-20 19:38:51.782530,2020-06-20 19:48:43.069284,0 days 00:09:51.286754000,1.8486695716251273e-06,0.99,0.01591428209560337,linear,128,0.6146385488313444,PRUNED
