number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.5551856756210327,2020-06-12 12:58:17.347077,2020-06-12 12:59:13.614281,0 days 00:00:56.267204000,1.6498089600297092e-07,0.98,0.012462630286242067,linear,16,0.4877028059486693,COMPLETE
1,0.18994860351085663,2020-06-12 12:58:17.349446,2020-06-12 12:59:08.463579,0 days 00:00:51.114133000,0.0012193068770561522,0.9999,4.703730446918345e-05,linear,512,0.3195628837718657,COMPLETE
2,0.06541332602500916,2020-06-12 12:58:17.351551,2020-06-12 12:59:08.889571,0 days 00:00:51.538020000,0.03717624615376253,0.9,0.09867843295518477,constant,1024,0.6423714510751249,COMPLETE
3,0.27687710523605347,2020-06-12 12:58:17.354467,2020-06-12 12:59:12.065486,0 days 00:00:54.711019000,3.6584298411225633e-06,0.98,0.0013631105230573423,constant,128,0.4873146854388616,COMPLETE
4,0.3540133237838745,2020-06-12 12:58:17.356655,2020-06-12 12:59:08.854126,0 days 00:00:51.497471000,1.5651803544552284e-08,0.999,0.00014132931811539507,linear,1024,0.5218658619967281,COMPLETE
5,0.4108433723449707,2020-06-12 12:58:17.358710,2020-06-12 12:59:13.613022,0 days 00:00:56.254312000,3.027370804172927e-08,0.999,0.00024243301683432925,linear,16,0.15857336582109494,COMPLETE
6,inf,2020-06-12 12:58:17.380203,2020-06-12 12:58:25.973360,0 days 00:00:08.593157000,3.0093782178500146e-05,0.9,0.06755501279163977,linear,2048,0.9509849566708153,COMPLETE
7,inf,2020-06-12 12:58:17.409685,2020-06-12 12:58:25.778098,0 days 00:00:08.368413000,1.0024912877930341e-07,0.98,0.007030510708097769,constant,2048,0.7403887947438385,COMPLETE
8,inf,2020-06-12 12:58:17.411911,2020-06-12 12:58:25.483215,0 days 00:00:08.071304000,1.1954519498084337e-07,0.995,5.067156018228009e-05,linear,2048,0.012995026961021838,COMPLETE
9,0.4047303795814514,2020-06-12 12:58:17.428087,2020-06-12 12:59:12.084035,0 days 00:00:54.655948000,2.4371656784350895e-08,0.999,0.07760418776434597,linear,128,0.8546886222491307,COMPLETE
