number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
25,3.134239912033081,2020-06-26 00:45:46.202640,2020-06-26 00:46:56.548305,0 days 00:01:10.345665000,30,0.008330342913751438,0.98,0.95,0.899441828382594,64,5,2.8250201661046673e-05,PRUNED
26,1.460412621498108,2020-06-26 00:46:57.031465,2020-06-26 00:48:28.685219,0 days 00:01:31.653754000,30,4.5352201541115255e-07,0.9999,0.99,0.02335661005526411,2048,10,0.0021294067527293362,COMPLETE
27,1.4550106525421143,2020-06-26 00:48:28.686149,2020-06-26 00:49:56.961137,0 days 00:01:28.274988000,10,2.9347191661139855e-07,0.9999,0.99,0.003239916443165543,2048,10,0.002699852526521052,COMPLETE
28,1.5372364521026611,2020-06-26 00:49:56.962027,2020-06-26 00:51:21.544086,0 days 00:01:24.582059000,10,2.4164440422553245e-07,0.9999,0.99,0.00022185154248452056,2048,10,0.000352094670855149,COMPLETE
29,2.028639316558838,2020-06-26 00:51:21.545004,2020-06-26 00:52:50.277800,0 days 00:01:28.732796000,10,1.8796671915744888e-07,0.9999,0.99,0.0001581716286497619,2048,10,0.0018393964139284983,COMPLETE
30,1.4768877029418945,2020-06-26 00:52:50.278774,2020-06-26 00:54:18.846858,0 days 00:01:28.568084000,10,2.7420664805777006e-07,0.9999,0.99,0.00038957244767332395,2048,10,0.0004620852121616759,COMPLETE
31,1.7321802377700806,2020-06-26 00:54:18.847817,2020-06-26 00:55:47.275608,0 days 00:01:28.427791000,10,2.2897618620680157e-07,0.9999,0.99,0.0002742565126378032,2048,10,0.0004214228691768749,COMPLETE
32,1.7842824459075928,2020-06-26 00:55:47.276540,2020-06-26 00:57:15.825156,0 days 00:01:28.548616000,10,5.575366110293098e-08,0.9999,0.99,0.002401206747593785,2048,10,0.0022101907537177778,COMPLETE
33,1.4531863927841187,2020-06-26 00:57:15.826084,2020-06-26 00:58:44.242284,0 days 00:01:28.416200000,10,1.1121163514349387e-08,0.9999,0.99,4.1331362684761104e-05,2048,10,0.000525550556027834,COMPLETE
34,1.4246159791946411,2020-06-26 00:58:44.243208,2020-06-26 01:00:12.448860,0 days 00:01:28.205652000,10,1.3036705103016744e-08,0.9999,0.99,5.041014011039913e-05,2048,10,0.0008941681504897198,COMPLETE
