number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
0,2.946859836578369,2020-06-23 03:31:00.346738,2020-06-23 03:36:33.467346,0 days 00:05:33.120608000,32,0.995,0.0001342822543883346,100000,0.5580326760327561,adaptive-param,True,False,COMPLETE
1,2.937476634979248,2020-06-23 03:36:33.468588,2020-06-23 03:41:17.720589,0 days 00:04:44.252001000,16,0.995,0.00972975132977695,100000,0.29711548171965974,adaptive-param,False,True,COMPLETE
2,1.8181333541870117,2020-06-23 03:41:17.721805,2020-06-23 03:45:06.312527,0 days 00:03:48.590722000,64,0.99,0.0005438210243893905,1000000,0.4482322293319382,normal,False,False,COMPLETE
3,3.9569225311279297,2020-06-23 03:45:06.313747,2020-06-23 03:48:45.175824,0 days 00:03:38.862077000,16,0.995,0.0114567237691033,1000000,0.8024649549556547,ornstein-uhlenbeck,False,False,COMPLETE
4,1.8812711238861084,2020-06-23 03:48:45.177138,2020-06-23 03:53:52.014725,0 days 00:05:06.837587000,256,0.999,0.00015967009067487833,10000,0.36272707233622925,normal,False,True,COMPLETE
5,2.2897629737854004,2020-06-23 03:53:52.016072,2020-06-23 03:59:07.475904,0 days 00:05:15.459832000,128,0.9,0.2201188492857039,10000,0.6152549376879154,ornstein-uhlenbeck,True,True,COMPLETE
6,1.8745384216308594,2020-06-23 03:59:07.477158,2020-06-23 04:03:04.806235,0 days 00:03:57.329077000,64,0.99,0.0036329730670945637,100000,0.14179273678065918,normal,False,False,COMPLETE
7,2.6848366260528564,2020-06-23 04:03:04.807491,2020-06-23 04:08:16.313677,0 days 00:05:11.506186000,256,0.9,0.8113530879842901,10000,0.8107823193814643,ornstein-uhlenbeck,False,False,COMPLETE
8,2.3078999519348145,2020-06-23 04:08:16.314985,2020-06-23 04:11:56.488944,0 days 00:03:40.173959000,16,0.95,0.0021755632832957702,1000000,0.037440370278440493,normal,False,False,COMPLETE
9,2.6537365913391113,2020-06-23 04:11:56.490219,2020-06-23 04:17:30.401779,0 days 00:05:33.911560000,32,0.99,0.0038451487910099833,1000000,0.33734389001493625,adaptive-param,True,False,COMPLETE
10,2.267268180847168,2020-06-23 04:17:30.403146,2020-06-23 04:21:22.362256,0 days 00:03:51.959110000,64,0.9999,1.1292345163957959e-05,1000000,0.7055769339394039,normal,False,False,COMPLETE
11,1.5335451364517212,2020-06-23 04:21:22.363548,2020-06-23 04:25:08.325622,0 days 00:03:45.962074000,64,0.99,0.0003958480765082016,100000,0.0665025312800171,normal,False,False,COMPLETE
12,2.9211859703063965,2020-06-23 04:25:08.326994,2020-06-23 04:29:03.976986,0 days 00:03:55.649992000,64,0.98,0.00023800912140322557,100000,0.9942851381076593,normal,False,False,COMPLETE
13,1.7700397968292236,2020-06-23 04:29:03.978380,2020-06-23 04:33:04.693573,0 days 00:04:00.715193000,64,0.99,0.0005065776570607385,100000,0.026864512338110907,normal,False,False,COMPLETE
14,1.589341402053833,2020-06-23 04:33:04.694987,2020-06-23 04:36:52.493773,0 days 00:03:47.798786000,64,0.99,1.1009001399495807e-05,100000,0.0011502636892679469,normal,False,False,COMPLETE
15,2.668844699859619,2020-06-23 04:36:52.495162,2020-06-23 04:40:43.229194,0 days 00:03:50.734032000,64,0.99,1.1776026972560574e-05,100000,0.1608584981320866,normal,False,False,COMPLETE
16,1.3449933528900146,2020-06-23 04:40:43.230594,2020-06-23 04:45:01.840419,0 days 00:04:18.609825000,128,0.99,3.660515456326558e-05,100000,0.16389932035836563,normal,False,True,COMPLETE
17,1.457864761352539,2020-06-23 04:45:01.841830,2020-06-23 04:49:55.567430,0 days 00:04:53.725600000,128,0.9999,3.974369469273536e-05,100000,0.17315062651232724,normal,True,True,COMPLETE
18,0.971575140953064,2020-06-23 04:49:55.568848,2020-06-23 04:54:51.076267,0 days 00:04:55.507419000,128,0.9999,4.4184479321701026e-05,100000,0.20528143488102887,normal,True,True,COMPLETE
19,1.616662621498108,2020-06-23 04:54:51.077722,2020-06-23 04:59:48.092787,0 days 00:04:57.015065000,128,0.9999,4.555960976738049e-05,100000,0.2870701767133041,normal,True,True,COMPLETE
20,2.977713108062744,2020-06-23 04:59:48.094220,2020-06-23 05:06:27.546643,0 days 00:06:39.452423000,128,0.95,4.6838194842050705e-05,100000,0.44267198639530236,adaptive-param,True,True,COMPLETE
21,1.3171476125717163,2020-06-23 05:06:27.548131,2020-06-23 05:11:25.641618,0 days 00:04:58.093487000,128,0.9999,4.03724215035374e-05,100000,0.17812770883244164,normal,True,True,COMPLETE
