number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.1334424465894699,2020-06-20 18:07:10.473018,2020-06-20 18:27:44.050894,0 days 00:20:33.577876000,5.730321666465395e-08,0.99,0.001163917520425585,linear,1024,0.7429094532953052,COMPLETE
1,0.4424082636833191,2020-06-20 18:07:10.474898,2020-06-20 18:27:58.664987,0 days 00:20:48.190089000,1.0115255283228527e-05,0.9,0.010154009559265454,linear,512,0.9645098363622516,COMPLETE
2,3.242704391479492,2020-06-20 18:07:10.476543,2020-06-20 18:27:45.249187,0 days 00:20:34.772644000,0.0004892935358226613,0.9,0.10054848232962689,linear,256,0.038072728078296536,COMPLETE
3,0.4050024449825287,2020-06-20 18:07:10.478110,2020-06-20 18:27:47.343263,0 days 00:20:36.865153000,5.07441616620417e-07,0.995,9.074533662553947e-05,linear,1024,0.13005210072113493,COMPLETE
4,0.44102373719215393,2020-06-20 18:07:10.479635,2020-06-20 18:27:46.555312,0 days 00:20:36.075677000,8.861382919589124e-07,0.999,0.005217573866318328,constant,1024,0.6636193600080912,COMPLETE
5,0.5040348172187805,2020-06-20 18:07:10.481187,2020-06-20 18:28:04.945944,0 days 00:20:54.464757000,0.005895491767740288,0.9999,2.9457325407806277e-05,linear,64,0.11056635475516441,COMPLETE
6,0.36535459756851196,2020-06-20 18:07:10.482664,2020-06-20 18:27:34.045891,0 days 00:20:23.563227000,3.3657159185397665e-05,0.95,0.04167886358602662,linear,2048,0.284784892298763,COMPLETE
7,1.3782415390014648,2020-06-20 18:07:10.484372,2020-06-20 18:28:27.997049,0 days 00:21:17.512677000,2.9712250742712493e-06,0.98,0.9159753591871947,constant,16,0.28593929753372094,COMPLETE
8,0.6122156381607056,2020-06-20 18:07:10.485905,2020-06-20 18:27:38.225542,0 days 00:20:27.739637000,0.011265922596215902,0.9,3.219930812240382e-05,constant,512,0.7236511857437785,COMPLETE
9,0.7206376791000366,2020-06-20 18:07:10.487427,2020-06-20 18:28:36.892490,0 days 00:21:26.405063000,0.007318646263986616,0.98,0.12300593722036124,linear,8,0.045281349662023795,COMPLETE
