number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,0.6127437353134155,2020-06-14 13:27:04.105205,2020-06-14 13:27:15.919831,0 days 00:00:11.814626000,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,1.406807780265808,2020-06-14 13:27:15.920526,2020-06-14 13:27:27.349083,0 days 00:00:11.428557000,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
2,0.4490317404270172,2020-06-14 13:27:27.349777,2020-06-14 13:27:37.761848,0 days 00:00:10.412071000,30,2.300239849486517e-06,0.95,0.98,0.10386580256500279,512,1,0.0006937575128144786,COMPLETE
3,1.3403539657592773,2020-06-14 13:27:37.762567,2020-06-14 13:27:49.784673,0 days 00:00:12.022106000,30,1.699634491174657e-05,0.98,0.95,0.06236650188352654,128,1,3.902762553553292e-05,COMPLETE
4,0.7576976418495178,2020-06-14 13:27:49.785322,2020-06-14 13:28:11.261342,0 days 00:00:21.476020000,20,7.99159708744152e-06,0.95,0.95,0.0013523525694052886,16,20,0.07433073841273528,COMPLETE
5,0.5411239266395569,2020-06-14 13:28:11.262003,2020-06-14 13:28:29.335568,0 days 00:00:18.073565000,10,0.00021059520545246572,0.98,1.0,1.296399344054502e-06,16,20,0.012152621852509347,COMPLETE
6,0.5771335363388062,2020-06-14 13:28:29.336234,2020-06-14 13:28:41.565257,0 days 00:00:12.229023000,30,4.954073578738671e-08,0.95,0.9,0.25947259726504646,4096,10,0.01843742127649596,COMPLETE
7,1.5815120935440063,2020-06-14 13:28:41.565917,2020-06-14 13:28:53.203264,0 days 00:00:11.637347000,10,1.6143528192274821e-06,0.9999,0.99,5.936873372035253e-06,64,20,0.007095513849771357,COMPLETE
8,0.4905502200126648,2020-06-14 13:28:53.203903,2020-06-14 13:29:05.377548,0 days 00:00:12.173645000,30,0.0003711352619121185,0.99,0.98,0.5671469641942559,256,20,0.9473224693917235,COMPLETE
9,0.552644670009613,2020-06-14 13:29:05.378216,2020-06-14 13:29:15.754660,0 days 00:00:10.376444000,15,1.2965434798948996e-07,0.9,0.99,2.9278818805431125e-05,256,3,0.019127047981511353,COMPLETE
