number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
31,2.275378942489624,2020-06-27 12:53:57.393704,2020-06-27 13:32:09.815658,0 days 00:38:12.421954000,128,1000000,0.95,9.934965449322315e-05,0.9340753329684431,normal,10,COMPLETE
32,1.4512284994125366,2020-06-27 13:32:09.817377,2020-06-27 14:10:03.309809,0 days 00:37:53.492432000,128,1000000,0.95,3.421122584540299e-05,0.9198827633503838,normal,10,COMPLETE
33,1.3438177108764648,2020-06-27 14:10:03.311537,2020-06-27 14:48:46.044846,0 days 00:38:42.733309000,128,1000000,0.95,0.00023609950231291287,0.9375092824132855,normal,10,COMPLETE
34,1.6050077676773071,2020-06-27 14:48:46.046535,2020-06-27 15:13:54.897189,0 days 00:25:08.850654000,32,1000000,0.95,9.695933488102144e-05,0.8441382535880235,normal,10,COMPLETE
35,4.337153434753418,2020-06-27 15:13:54.898892,2020-06-27 15:27:22.755273,0 days 00:13:27.856381000,128,100000,0.99,0.008515021343822511,0.7293600119579571,normal,1,PRUNED
36,2.392169713973999,2020-06-27 15:27:22.989316,2020-06-27 17:00:08.122771,0 days 01:32:45.133455000,512,1000000,0.999,0.000873039692623548,0.19126091548090052,ornstein-uhlenbeck,10,COMPLETE
37,1.4979134798049927,2020-06-27 17:00:08.124744,2020-06-27 17:24:18.270813,0 days 00:24:10.146069000,16,1000000,0.95,0.0019960688015921452,0.9958925189424169,normal,10,COMPLETE
38,5.614269256591797,2020-06-27 17:24:18.272484,2020-06-27 17:58:46.082047,0 days 00:34:27.809563000,128,100000,0.9999,0.01924173313274526,0.6580353591932493,normal,1,COMPLETE
39,2.7864937782287598,2020-06-27 17:58:46.083373,2020-06-27 18:22:40.386908,0 days 00:23:54.303535000,64,10000,0.9,1.0241151162627731e-05,0.4470318655940854,ornstein-uhlenbeck,1000,COMPLETE
40,1.6814651489257812,2020-06-27 18:22:40.388389,2020-06-27 18:45:18.921083,0 days 00:22:38.532694000,32,1000000,0.999,0.0004158472925919266,0.8909990210070861,normal,10,COMPLETE
41,1.455338716506958,2020-06-27 18:45:18.922763,2020-06-27 19:13:49.740572,0 days 00:28:30.817809000,100,1000000,0.98,5.627445747281407e-05,0.8555096549505975,normal,2000,COMPLETE
42,4.2209062576293945,2020-06-27 19:13:49.742234,2020-06-27 19:42:21.005297,0 days 00:28:31.263063000,100,1000000,0.98,2.4178107592081082e-05,0.7436807941014326,normal,2000,COMPLETE
43,1.3963366746902466,2020-06-27 19:42:21.006858,2020-06-27 20:08:15.356001,0 days 00:25:54.349143000,100,1000000,0.98,0.00011309765891883497,0.8696037432570886,normal,2000,COMPLETE
44,1.2759723663330078,2020-06-27 20:08:15.357615,2020-06-27 20:34:58.642907,0 days 00:26:43.285292000,100,1000000,0.95,5.708455733229696e-05,0.8192317768545069,normal,100,COMPLETE
45,1.5041720867156982,2020-06-27 20:34:58.644324,2020-06-27 21:18:43.718174,0 days 00:43:45.073850000,256,1000000,0.95,4.399081392340408e-05,0.9554179262318041,normal,100,COMPLETE
46,4.831225872039795,2020-06-27 21:18:43.719799,2020-06-27 21:28:41.158623,0 days 00:09:57.438824000,128,10000,0.95,0.33352158200949295,0.8189780317746305,normal,100,PRUNED
47,2.0447611808776855,2020-06-27 21:28:41.308831,2020-06-27 21:50:00.892632,0 days 00:21:19.583801000,64,1000000,0.95,0.0006894454063509641,0.9319681369128581,ornstein-uhlenbeck,100,COMPLETE
48,1.404837965965271,2020-06-27 21:50:00.894324,2020-06-27 22:16:55.200247,0 days 00:26:54.305923000,100,1000000,0.95,0.00021836090289681194,0.9031977283096011,normal,100,COMPLETE
49,1.4007229804992676,2020-06-27 22:16:55.201996,2020-06-27 23:33:22.235815,0 days 01:16:27.033819000,512,100000,0.999,6.0307884648127536e-05,0.999672139872771,normal,1,COMPLETE
