seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,mean_reward,std_reward,upper,lower,timesteps
-0.05578057871263169,-0.044239829503118555,-0.05680615530166821,-0.0463926281439681,-0.042305514447982286,-0.04103022050588004,-0.05102975800255618,-0.03513586445534399,-0.031012907088057057,-0.02394444094192351,-0.042767789710312976,0.02093773653285472,-0.02183005317745826,-0.0637055262431677,5000
-0.05720565589242759,-0.04399771664199801,-0.05650155750182044,-0.04688024684772229,-0.04366331919288637,-0.04142901828301776,-0.051546057235762666,-0.03445073271330104,-0.03212865992567316,-0.023565095810054074,-0.04313680600446635,0.021481635424984963,-0.02165517057948139,-0.06461844142945132,5100
-0.05923188297672433,-0.043395113770005246,-0.05595912149132418,-0.04696022435850005,-0.04425273224186755,-0.042255735533072825,-0.05266947483424709,-0.033824637121613425,-0.03282185661294426,-0.023219739354219376,-0.04345905182945185,0.021992660987650722,-0.021466390841801117,-0.06545171281710258,5200
-0.06089026622809695,-0.04316760272057716,-0.054963675240871764,-0.047189525384977865,-0.04537747508681707,-0.04273822135478047,-0.05341963718273481,-0.033331972234301066,-0.03375688724542875,-0.023302643170643837,-0.043813790584923,0.022433122894810108,-0.02138066769011287,-0.0662469134797331,5300
-0.062007264932833414,-0.04365341734235148,-0.05376007418036801,-0.04721181561539163,-0.0463399630365453,-0.04296049621686189,-0.05433827724990325,-0.032880409623907036,-0.0339551397566403,-0.022952052607783994,-0.044005891056258656,0.022844430210564374,-0.021161460845694254,-0.06685032126682303,5400
-0.06363827935626307,-0.0445911161316374,-0.05263429255161019,-0.04705640467537841,-0.04716093042372152,-0.043148792414862865,-0.055639808855943086,-0.03255910675845199,-0.033928904081768956,-0.02256708629816007,-0.04429247215477978,0.023350187390190777,-0.020942284764588974,-0.06764265954497056,5500
-0.0654056219961094,-0.04537468401526662,-0.05135125603832047,-0.04710903318589667,-0.04824058760931563,-0.04359373917760849,-0.05681752899663621,-0.032384279084296905,-0.03361391766206841,-0.02193482825551471,-0.044582547602103374,0.023841378641039402,-0.02074116896106394,-0.06842392624314278,5600
-0.06748242127342081,-0.045989819950173115,-0.04969023049049084,-0.04713354267070412,-0.04908510896862417,-0.044152343179885555,-0.05840122515702394,-0.03199117522046823,-0.03331304675436955,-0.0214157166431712,-0.044865463030833184,0.024333457699921904,-0.020532005330911245,-0.06919892073075508,5700
-0.06924364285848926,-0.04634017324085062,-0.04844499725077776,-0.04733962236687127,-0.049346321276575955,-0.0447808646007912,-0.06039627409609461,-0.03188066951340751,-0.033309764853111073,-0.020963598515809485,-0.0452045928572779,0.024718596606390388,-0.02048599625088748,-0.0699231894636683,5800
-0.07084623889025318,-0.04687747046196973,-0.046825310615043546,-0.0474360130097751,-0.049845783068527244,-0.045640905972970665,-0.06218739547711445,-0.03203105330579214,-0.03272597234458391,-0.020588116029541394,-0.04550042591755718,0.024894547252944935,-0.020605878664612193,-0.07039497317050211,5900
-0.07283144651556325,-0.0477762306401051,-0.046360053132108635,-0.04738314331969992,-0.04998902799537912,-0.045958704143366134,-0.06401488916780003,-0.03184218751670313,-0.03247495381950528,-0.02003818522903839,-0.045866882147926946,0.025354874767497596,-0.02051200738042929,-0.07122175691542454,6000
-0.07473303454925716,-0.04808370154787496,-0.04536509529620446,-0.04718315228886556,-0.05009974078465418,-0.046213358766203895,-0.06534191543805352,-0.03130751031199995,-0.03280605021701684,-0.020120275585835446,-0.04612538347859665,0.025671750983718745,-0.020453632494877846,-0.07179713446231538,6100
-0.07642927365491596,-0.04838573252975476,-0.044668485647177236,-0.046732111041644105,-0.05034751097395306,-0.04636340692587846,-0.0664977021615017,-0.03139545340622193,-0.03324791470831714,-0.02045127236374601,-0.04645188634131109,0.025885447083448265,-0.020566439257862758,-0.07233733342475934,6200
-0.07815326470775763,-0.04839661428813729,-0.043998517955965974,-0.04638859635106197,-0.050164997813310075,-0.04619541832733153,-0.06778532062563732,-0.03170010638017469,-0.034411809186213484,-0.020956839771751837,-0.04681514854073423,0.02606428849770756,-0.020750860043026603,-0.07287943703844178,6300
-0.0789219110143974,-0.048082963029750514,-0.04330215435674546,-0.04552854039718106,-0.050193768503706854,-0.04605404074248201,-0.06875326457960379,-0.031813808880702676,-0.03482102834137629,-0.02155027086985967,-0.04690217507158063,0.026073330862462888,-0.020828844209117663,-0.07297550593404352,6400
