seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-0.3456488706839072,-0.7132763567053582,-0.46016398252851526,-0.4329440189010041,-0.5401454075497898,-0.31368763924651616,-0.4650711161649424,-0.4011515696230162,-0.40401509929138657,-0.6876084068131957,100
-0.44301115285654075,-0.42211169333239107,-0.3883747158102964,-0.32418832802697,-0.3535564750320508,-0.7267451424283208,-0.3797424451573038,-0.6798855908934729,-1.007860521215258,-0.5836557564538425,200
-0.35950665020533346,-0.4559499268271402,-0.7159915586869517,-0.5872906258018773,-0.5269203468525611,-0.4513684585001756,-0.4273284972039431,-0.4210856592397335,-0.41367430453923865,-0.297209085448479,300
-0.3420340839973437,-0.7508327978938344,-0.38842420339026495,-0.3382256927716664,-1.2133818143867636,-0.35177605854927596,-0.7154241753676998,-0.6268769048796307,-0.6896344442391366,-0.3678159454849973,400
-0.26277227890926025,-0.6484873217222864,-1.5511797234292035,-0.5271873949025255,-0.4790777309754237,-0.3471603282546503,-0.369627413083622,-0.3912300738877247,-0.40221061132718483,-0.4051435848468186,500
-0.4643490369021172,-0.65546774434733,-0.4494869059857467,-0.3593332048710692,-0.6503819205968633,-0.8783359830002662,-0.5268929855805278,-0.3283094066487701,-0.87829675315638,-0.3840899788111657,600
-0.4385884109656166,-0.4224048007186081,-0.33025518754260075,-0.9757816638018596,-0.38237873901897124,-0.30686838941485794,-0.41614266198909483,-0.3352740317594622,-0.8878606785769448,-0.711142528749241,700
-0.5393267764036876,-0.2738838769154895,-0.4436697656181877,-0.4867351595991193,-0.5175312163055508,-0.46607230328653215,-0.28867758679882816,-0.32379383183633526,-0.3894471027022883,-0.5021689317942506,800
-0.4959707283976245,-0.4319501596052787,-0.6203332748932898,-0.36875892599616594,-0.377401436996964,-0.3494685758824684,-1.0045685768015666,-0.37770659299566856,-0.3230253248846478,-0.3725717501382887,900
-0.491856902881329,-0.2358274810900807,-0.3178298819572244,-0.40410750956423797,-0.5853731201586019,-0.582031050457583,-0.9093318473844899,-0.471748471962312,-0.3619479975566521,-0.4968082968739793,1000
-0.7704951330213624,-0.8646818793861625,-0.3569239965441235,-0.3653119718490136,-0.4093497837012773,-0.29130860361082705,-0.5414210849220829,-0.3290014352179288,-0.4859734355159334,-0.3697252513322586,1100
-0.38595552085321916,-0.3981224751446657,-0.3423244680695432,-0.39948755702150585,-0.40084619233188523,-0.38880188265457877,-0.5709461995829905,-0.3828698405194532,-0.7916505424935449,-0.5032324389988628,1200
-0.33411499059334254,-0.4444428876698193,-0.4116887438517875,-0.37673867773681174,-0.5387111827943556,-0.2969509995174594,-0.5486618468553466,-0.5542263004602285,-1.0390549208413915,-0.32145403675077344,1300
-0.5621070682893637,-0.6488598897095725,-0.44686887659087643,-0.3739144058289515,-0.38741481928250693,-0.5091610444420923,-0.3934579801995187,-0.3343743868566841,-0.5965643642695753,-0.48216722959096975,1400
-0.5165698978628788,-0.4325802995617133,-0.7924003972221251,-0.5209593870407639,-0.3546526212403961,-0.4637611137339346,-0.43475135495892275,-0.38515301325228696,-0.5559738701201189,-0.655526714493932,1500
-0.3778280915265651,-0.3731297039472898,-1.2584296559699102,-0.4401692429498333,-0.3413136071586619,-0.6812103615650371,-0.6228656551346213,-0.44004489956857173,-0.33104142750766996,-0.40300750565835125,1600
-0.46729081110243004,-0.43943475141073923,-0.36666289273363606,-0.3998304463904697,-0.35786273033629373,-0.7440450497900544,-0.5103615214580619,-0.41138821409804277,-0.37387106818748317,-0.3110658754666944,1700
-0.8167556337472561,-0.30893722927046124,-0.37759516517394925,-0.33287676460297444,-0.35803744723476344,-0.5065302695425852,-0.7366087329796993,-0.40734499516460415,-0.40211875989103957,-0.3742158557034768,1800
-0.9671481969007508,-0.9473348698859462,-0.3570787950624024,-0.8461996405579914,-0.37393779441732633,-0.35164977898035377,-0.30561974020245,-0.4130879864800158,-1.0868301762700883,-0.3898630143336047,1900
-0.30849724365150877,-1.2908159002693522,-0.5190658171104446,-0.680077726424486,-0.6305149177775349,-0.42305631894837437,-0.7521235026278752,-0.47138655470033736,-0.9825962128235145,-0.40653721734066406,2000
-0.4511060448423958,-0.36624467147510364,-0.39543786911980705,-0.40703635911352937,-0.3992398526786528,-0.3853616514952607,-0.3767558569365974,-0.36283880228623394,-0.5125853218531259,-0.7393116830948673,2100
-0.5936182371513196,-0.42956662418537994,-0.4397191048200387,-0.2948196555387104,-1.0027498373143446,-0.4131958181190595,-0.5023223903762027,-0.36725741977084686,-0.4592104725718223,-0.5422163953847619,2200
-0.4446353782011148,-0.3674839854974091,-0.5077324030698994,-0.546663687974038,-0.434086107646595,-0.4177186114592922,-0.540731841893229,-0.4120170204743445,-0.5594784777111371,-0.584423032787419,2300
-0.7121165201433178,-0.42015822391064234,-0.4290378257009145,-0.32950940435131226,-0.38144458267994324,-0.48234911808726844,-0.9821533104945569,-0.34765329803022704,-0.3568275940546129,-0.5639775187688157,2400
-0.3986490067418685,-0.5000481107892639,-0.3974629412389324,-0.539184563794053,-0.4971906716107971,-0.35754569768799094,-0.4790571874903966,-0.5356655665979331,-0.535705328192513,-0.70152437306797,2500
-0.29076352621343726,-0.6350129823045677,-0.4528720830744513,-0.6407711308453068,-0.6574628459179672,-0.3719701127850584,-0.3989334610614889,-0.45656446953313934,-0.6202641752996105,-0.7542616783473651,2600
-0.48327773817754854,-0.2992351004668904,-0.3555008241931958,-0.7578351940062991,-0.3107096763297477,-0.7528907441419183,-0.5584752036647725,-0.32915463786034566,-0.5281589166798594,-0.7277303293336397,2700
-0.35103908804219197,-0.5744024384666142,-0.9609405464399894,-0.3613106802253991,-0.46058603855592284,-0.4790398487707711,-0.40273102187394877,-0.41683493704256075,-0.4231620469602252,-0.5397255606468885,2800
-0.29628622241427577,-0.2780651801613262,-0.5620218599381619,-0.9581090598879496,-0.43459812213530546,-0.30866038313297145,-0.5498817803475539,-0.3322292590000432,-0.4734970625292233,-0.7094674664268186,2900
-0.7662155556349423,-0.5622114913834128,-0.5852486414989659,-0.3342699356821759,-0.45530541096900523,-0.647829396149871,-0.6285207168935352,-0.34949402397839074,-0.40053996941783304,-0.6064880268385664,3000
-0.328812178918083,-0.7182526007173049,-0.4662944392077022,-0.6479560603692126,-0.3830347942879048,-0.3736536924916085,-0.6106458857507057,-0.5272906678140182,-0.3330642815597119,-1.421606520393145,3100
-0.3610875822202711,-0.3547291220641979,-0.8044172948406594,-0.4293281718724809,-0.6173204386974569,-0.5467543197779707,-0.4133320749784127,-0.32165897083776185,-0.7299160706536935,-0.4797865954666452,3200
-0.9247930416752546,-1.614574860694723,-0.3455487520313053,-0.3846036625041894,-0.4957484849553984,-0.23934236403134793,-0.44806147764020066,-0.5082393179379836,-0.5469344349732742,-0.34760395014410417,3300
-0.5643760009497134,-0.6198795156878057,-1.0414787341584464,-0.41841008102441757,-0.3204566191735108,-0.504153031550078,-0.42621600775784185,-0.5612414685074003,-0.41099617055362064,-0.5827507811354518,3400
