number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
30,0.40111199021339417,2020-06-14 14:57:16.637710,2020-06-14 16:32:16.212708,0 days 01:34:59.574998000,0.0004267719082925178,0.99,0.12271727646677982,linear,2048,0.5839650846036794,COMPLETE
31,3.2823498249053955,2020-06-14 14:57:16.639932,2020-06-14 16:36:01.393283,0 days 01:38:44.753351000,3.999740033021318e-07,0.9999,0.06054817291707549,linear,16,0.8684773283524436,COMPLETE
32,0.3538941442966461,2020-06-14 14:57:16.642826,2020-06-14 16:34:28.785691,0 days 01:37:12.142865000,1.6464041365338862e-05,0.99,0.056526274731211794,constant,1024,0.3080749290002045,COMPLETE
33,0.710922122001648,2020-06-14 14:57:16.644999,2020-06-14 16:33:41.921613,0 days 01:36:25.276614000,0.00040224409717024267,0.95,0.8633634171966971,constant,128,0.06943968083554442,COMPLETE
34,1.282109022140503,2020-06-14 14:57:16.647656,2020-06-14 16:36:03.496202,0 days 01:38:46.848546000,0.00048672222687610854,0.995,0.00046861000482503306,linear,32,0.11578679952690474,COMPLETE
35,0.38667723536491394,2020-06-14 14:57:16.648993,2020-06-14 16:34:47.329319,0 days 01:37:30.680326000,2.370415873734189e-07,0.995,0.0005582149792597927,constant,512,0.471712715250591,COMPLETE
36,0.2416073977947235,2020-06-14 14:57:16.652548,2020-06-14 16:33:10.521609,0 days 01:35:53.869061000,8.368081529799393e-08,0.98,0.2966962227213573,constant,2048,0.17328326120101878,COMPLETE
37,0.37127432227134705,2020-06-14 14:57:16.654904,2020-06-14 16:35:02.491183,0 days 01:37:45.836279000,1.4084724171239177e-05,0.98,0.09383909784596108,linear,256,0.4483138021351677,COMPLETE
38,0.3703870475292206,2020-06-14 14:57:16.656810,2020-06-14 16:34:05.467330,0 days 01:36:48.810520000,7.730785971609025e-06,0.99,0.00242465995229015,linear,512,0.459662414993374,COMPLETE
39,3.3178305625915527,2020-06-14 14:57:16.660048,2020-06-14 16:38:39.402502,0 days 01:41:22.742454000,0.0004606257595940636,0.95,1.9227476901971463e-05,constant,8,0.6802066941879104,COMPLETE
