seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,mean_reward,std_reward,upper,lower,timesteps
-2.9679068344992747,-3.039366172622159,-3.0452075655383983,-3.009219340932069,-3.2975005160347335,-2.953591948600425,-2.8215323908480765,-3.0247345128064205,-3.1391219663111634,-2.960481406214966,-3.025866265440768,0.7602090624482232,-2.2656572029925455,-3.786075327888993,5000
-2.9821838468832977,-3.0572740695040346,-3.042299746309794,-3.0580482505265065,-3.307274757094048,-2.9615135523236655,-2.811277400444457,-3.0244500425287724,-3.140310441174779,-2.9364598854885844,-3.0321091992277935,0.7687181538413737,-2.2633910453864203,-3.800827353069169,5100
-3.0081523422356726,-3.0950599185633485,-3.0162340009686073,-3.0655526985570507,-3.2836733074606035,-2.9474653418763133,-2.859076846827211,-3.013237303062433,-3.1123002140746236,-2.9535978798222784,-3.0354349853448133,0.7705009078194968,-2.2649340775253175,-3.805935893164312,5200
-3.039979529239312,-3.1242806903199023,-3.013974670459989,-3.056525779640515,-3.3136761714446936,-2.9163284361189694,-2.873721181467447,-3.0187689927207573,-3.0547497153252157,-2.9526455687291002,-3.03646507354659,0.777044939435092,-2.2594201341114983,-3.813510012981684,5300
-3.003954385738817,-3.1394027115155647,-3.0183080335800274,-3.0573445752221464,-3.2679607020780588,-2.9098798313281713,-2.902356591779264,-3.0011076169845756,-3.05657396877713,-2.924896030407711,-3.028178444741146,0.7800758607053423,-2.2481025840358044,-3.8082543054464906,5400
-2.9441836777901242,-3.1289332415637796,-2.9728791632959943,-3.0607386749151875,-3.2580956785724156,-2.9520750191789573,-2.8968155694299385,-2.9877805932082855,-3.0394460202580196,-2.9094880572009174,-3.0150435695413615,0.7732559618865313,-2.2417876076548304,-3.7882995314278953,5500
-2.938326480125941,-3.1226147462908362,-2.9890827216161697,-3.0701398464334773,-3.3006867413658743,-2.99325028997836,-2.8486632646325827,-2.968389737159996,-3.0051940649386113,-2.904974711008064,-3.0141322603549905,0.7745789508391973,-2.239553309515794,-3.7887112111941907,5600
-2.9723258299676827,-3.1152151350556325,-2.9942214932164415,-3.071612893686535,-3.3009968306213886,-3.0092333180591355,-2.8465431519924054,-2.96118532127878,-3.0308171748052253,-2.8950019730236596,-3.0197153121706877,0.7672427791577487,-2.2524725330129396,-3.7869580913284397,5700
-2.9845839946065427,-3.0807972768353977,-2.980574218237865,-3.080046635487713,-3.3103767045168575,-3.006212858817916,-2.861334909295096,-2.9440330038453335,-2.9701505475660452,-2.8983381155968333,-3.011644826480559,0.7652088406938111,-2.246435985786748,-3.7768536671743735,5800
-2.983679956611892,-3.078705521387331,-2.971352434107262,-3.0933315173295335,-3.3057420506110344,-3.003428026510059,-2.8879653895570736,-2.966840646081627,-2.990056288403144,-2.913890884259041,-3.019499271485799,0.7645982533110705,-2.254901018174729,-3.7840975247968727,5900
