number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,1.7642927169799805,2020-06-14 12:28:56.997890,2020-06-14 12:29:03.487266,0 days 00:00:06.489376000,16,100000,0.1,0.995,20000,0.009209225155490892,small,,10,COMPLETE
1,0.48115283250808716,2020-06-14 12:29:03.488064,2020-06-14 12:30:01.415924,0 days 00:00:57.927860000,256,1000000,auto,0.9999,1000,1.921165975741197e-05,medium,-100.0,100,COMPLETE
2,0.5151050686836243,2020-06-14 12:30:01.416869,2020-06-14 12:30:07.346326,0 days 00:00:05.929457000,32,10000,0.05,0.95,20000,2.2655846366566637e-05,medium,,1,COMPLETE
3,0.48795071244239807,2020-06-14 12:30:07.347120,2020-06-14 12:30:13.298453,0 days 00:00:05.951333000,16,1000000,0.5,0.9999,20000,5.032153752306311e-05,medium,,1,COMPLETE
4,0.3850402235984802,2020-06-14 12:30:13.299293,2020-06-14 12:30:44.844627,0 days 00:00:31.545334000,16,100000,auto,0.99,1000,0.024796914843620316,big,-50.0,10,COMPLETE
5,0.7352848052978516,2020-06-14 12:30:44.845408,2020-06-14 12:30:50.968297,0 days 00:00:06.122889000,64,10000,auto,0.99,10000,8.544009383165993e-05,small,-100.0,1,COMPLETE
6,0.5333065390586853,2020-06-14 12:30:50.969211,2020-06-14 12:30:56.859433,0 days 00:00:05.890222000,256,100000,0.5,0.999,20000,0.011494196400307428,big,,1,COMPLETE
7,0.9574037790298462,2020-06-14 12:30:56.860362,2020-06-14 12:31:02.788819,0 days 00:00:05.928457000,32,100000,0.5,0.98,20000,0.011622974618502183,big,,10,COMPLETE
8,0.5775864124298096,2020-06-14 12:31:02.789727,2020-06-14 12:31:08.617361,0 days 00:00:05.827634000,128,10000,0.0001,0.99,10000,0.00011269711680133673,small,,300,COMPLETE
9,0.47707659006118774,2020-06-14 12:31:08.618282,2020-06-14 12:31:14.634978,0 days 00:00:06.016696000,128,10000,0.01,0.95,10000,1.556421180899162e-05,small,,1,COMPLETE
