number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,,2020-06-14 11:41:28.512427,,,256,10000,0.0001,0.999,0,0.0003747151099170461,medium,,100,RUNNING
1,0.7894142270088196,2020-06-14 11:41:28.514177,2020-06-14 11:42:31.549687,0 days 00:01:03.035510000,16,1000000,0.1,0.9999,20000,0.1556232695427189,medium,,100,COMPLETE
2,1.9965890645980835,2020-06-14 11:41:28.525471,2020-06-14 11:42:32.233789,0 days 00:01:03.708318000,64,100000,0.01,0.9999,10000,0.12244577587324207,medium,,1,COMPLETE
3,0.36950352787971497,2020-06-14 11:41:28.527399,2020-06-14 11:42:32.548672,0 days 00:01:04.021273000,64,1000000,0.1,0.9999,10000,0.015915373599125916,big,,10,COMPLETE
4,,2020-06-14 11:41:28.538686,,,128,1000000,0.05,0.98,0,0.0009667462307343428,big,,10,RUNNING
5,0.5012850165367126,2020-06-14 11:41:28.551284,2020-06-14 11:42:32.907260,0 days 00:01:04.355976000,256,100000,0.05,0.98,10000,0.011614643185185817,medium,,10,COMPLETE
6,0.3345441222190857,2020-06-14 11:41:28.553621,2020-06-14 11:42:30.663896,0 days 00:01:02.110275000,256,1000000,0.5,0.995,20000,0.01129683271475588,small,,300,COMPLETE
7,0.33975523710250854,2020-06-14 11:41:28.579260,2020-06-14 11:42:32.769083,0 days 00:01:04.189823000,128,100000,auto,0.9,20000,0.8305888832987554,medium,-20.0,300,COMPLETE
8,0.2591092586517334,2020-06-14 11:41:28.587598,2020-06-14 11:42:32.519157,0 days 00:01:03.931559000,32,1000000,0.1,0.95,20000,0.008840962813471622,big,,300,COMPLETE
9,0.43074876070022583,2020-06-14 11:41:28.602109,2020-06-14 11:42:31.285205,0 days 00:01:02.683096000,32,1000000,auto,0.9,10000,5.6885872338392055e-05,small,-100.0,100,COMPLETE
