number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,0.5753858089447021,2020-06-14 12:13:38.581116,2020-06-14 12:14:40.140746,0 days 00:01:01.559630000,512,10000,0.1,0.995,20000,0.5443524880777959,big,,10,COMPLETE
1,0.2660035192966461,2020-06-14 12:13:38.583186,2020-06-14 12:14:41.860479,0 days 00:01:03.277293000,256,100000,0.01,0.99,10000,0.00022775555597695962,big,,1,COMPLETE
2,,2020-06-14 12:13:38.584743,,,16,10000,0.01,0.99,0,0.004669341145185689,big,,10,RUNNING
3,1.638525366783142,2020-06-14 12:13:38.587026,2020-06-14 12:14:41.192903,0 days 00:01:02.605877000,16,10000,auto,0.98,20000,0.8380187905229993,medium,auto,1,COMPLETE
4,,2020-06-14 12:13:38.589010,,,512,1000000,auto,0.9999,0,0.02108082737788365,big,auto,100,RUNNING
5,0.6773236393928528,2020-06-14 12:13:38.590980,2020-06-14 12:14:39.800777,0 days 00:01:01.209797000,128,1000000,0.5,0.99,10000,0.20364181939119025,medium,,10,COMPLETE
6,0.6587647199630737,2020-06-14 12:13:38.592678,2020-06-14 12:14:40.734365,0 days 00:01:02.141687000,128,1000000,0.05,0.999,20000,0.2579787356989784,big,,10,COMPLETE
7,,2020-06-14 12:13:38.595177,,,64,100000,0.5,0.99,1000,0.00015898680344928655,small,,100,RUNNING
8,0.38126590847969055,2020-06-14 12:13:38.668315,2020-06-14 12:14:40.587241,0 days 00:01:01.918926000,32,10000,0.1,0.99,20000,0.004351734496782592,big,,300,COMPLETE
9,0.48401719331741333,2020-06-14 12:13:38.725126,2020-06-14 12:14:39.621915,0 days 00:01:00.896789000,128,10000,0.01,0.9,10000,0.06751923914709565,medium,,100,COMPLETE
