number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,,2020-06-14 11:30:42.685460,,,512,100000,0.05,0.9999,0,0.0044020412874880305,small,,1,RUNNING
1,0.6869601607322693,2020-06-14 11:30:42.687799,2020-06-14 11:31:43.360832,0 days 00:01:00.673033000,256,100000,0.5,0.9999,10000,0.0003659453736929583,medium,,10,COMPLETE
2,1.8044220209121704,2020-06-14 11:30:42.689684,2020-06-14 11:31:43.199615,0 days 00:01:00.509931000,128,10000,0.0001,0.95,10000,0.0030136184899647047,big,,300,COMPLETE
3,,2020-06-14 11:30:42.701824,,,512,100000,0.05,0.9,0,9.522105625548678e-05,small,,1,RUNNING
4,,2020-06-14 11:30:42.709252,,,128,100000,0.5,0.995,1000,1.0007540603759841e-05,medium,,300,RUNNING
5,,2020-06-14 11:30:42.711358,,,128,100000,0.05,0.99,0,0.006401332463890412,big,,100,RUNNING
6,1.028641939163208,2020-06-14 11:30:42.714063,2020-06-14 11:31:42.575572,0 days 00:00:59.861509000,16,1000000,0.5,0.95,10000,0.0017184788557340698,small,,100,COMPLETE
7,0.912122905254364,2020-06-14 11:30:42.730068,2020-06-14 11:31:42.078211,0 days 00:00:59.348143000,128,10000,0.0001,0.9999,20000,0.14520806381130502,small,,300,COMPLETE
8,1.6777929067611694,2020-06-14 11:30:42.761832,2020-06-14 11:34:06.021775,0 days 00:03:23.259943000,64,100000,0.5,0.99,1000,0.00042988432607156065,medium,,300,COMPLETE
9,0.6762380003929138,2020-06-14 11:30:42.764692,2020-06-14 11:33:57.521514,0 days 00:03:14.756822000,64,1000000,auto,0.9999,1000,0.11886264525942024,small,-20.0,10,COMPLETE
