number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,,2020-06-14 11:38:18.140589,,,512,100000,0.1,0.95,1000,0.14790167242436134,big,,100,RUNNING
1,0.18202224373817444,2020-06-14 11:38:18.142460,2020-06-14 11:39:14.408879,0 days 00:00:56.266419000,32,100000,auto,0.98,20000,0.017545537951410374,small,-10.0,10,COMPLETE
2,,2020-06-14 11:38:18.144335,,,512,10000,auto,0.9999,0,0.5107124162655895,medium,-20.0,300,RUNNING
3,,2020-06-14 11:38:18.146696,,,16,10000,0.05,0.9,1000,0.0019419186903972306,big,,100,RUNNING
4,,2020-06-14 11:38:18.148357,,,128,100000,0.05,0.9999,1000,0.0002619106435643077,medium,,100,RUNNING
5,,2020-06-14 11:38:18.149948,,,16,10000,0.0001,0.98,1000,0.013348807397609479,small,,10,RUNNING
6,0.5912710428237915,2020-06-14 11:38:18.152053,2020-06-14 11:39:13.782403,0 days 00:00:55.630350000,128,1000000,0.05,0.999,10000,0.5616225520513962,big,,300,COMPLETE
7,0.48852723836898804,2020-06-14 11:38:18.163370,2020-06-14 11:39:14.254637,0 days 00:00:56.091267000,32,10000,0.5,0.98,20000,0.004612372677294837,big,,10,COMPLETE
8,,2020-06-14 11:38:18.179948,,,256,100000,0.5,0.99,0,2.122622532831575e-05,small,,300,RUNNING
9,,2020-06-14 11:38:18.260106,,,32,100000,0.5,0.9,0,0.002351042025005565,small,,1,RUNNING
