number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,0.5620233416557312,2020-06-14 12:15:22.034708,2020-06-14 12:15:28.331420,0 days 00:00:06.296712000,16,100000,0.1,0.995,20000,0.009209225155490892,small,,10,COMPLETE
1,0.5841664671897888,2020-06-14 12:15:28.332199,2020-06-14 12:16:24.711226,0 days 00:00:56.379027000,256,1000000,auto,0.9999,1000,1.921165975741197e-05,medium,-100.0,100,COMPLETE
2,0.2591029107570648,2020-06-14 12:16:24.711980,2020-06-14 12:16:30.601723,0 days 00:00:05.889743000,32,10000,0.05,0.95,20000,2.2655846366566637e-05,medium,,1,COMPLETE
3,0.35368043184280396,2020-06-14 12:16:30.602453,2020-06-14 12:16:36.533652,0 days 00:00:05.931199000,16,1000000,0.5,0.9999,20000,5.032153752306311e-05,medium,,1,COMPLETE
4,0.3850402235984802,2020-06-14 12:16:36.534447,2020-06-14 12:17:07.351303,0 days 00:00:30.816856000,16,100000,auto,0.99,1000,0.024796914843620316,big,-50.0,10,COMPLETE
5,0.5900314450263977,2020-06-14 12:17:07.352226,2020-06-14 12:17:13.394566,0 days 00:00:06.042340000,64,10000,auto,0.99,10000,8.544009383165993e-05,small,-100.0,1,COMPLETE
6,0.3782886862754822,2020-06-14 12:17:13.395396,2020-06-14 12:17:19.328670,0 days 00:00:05.933274000,256,100000,0.5,0.999,20000,0.011494196400307428,big,,1,COMPLETE
7,0.5075857043266296,2020-06-14 12:17:19.329573,2020-06-14 12:17:25.180869,0 days 00:00:05.851296000,32,100000,0.5,0.98,20000,0.011622974618502183,big,,10,COMPLETE
8,0.5101243853569031,2020-06-14 12:17:25.181732,2020-06-14 12:17:30.883787,0 days 00:00:05.702055000,128,10000,0.0001,0.99,10000,0.00011269711680133673,small,,300,COMPLETE
9,2.7757363319396973,2020-06-14 12:17:30.884753,2020-06-14 12:17:37.042343,0 days 00:00:06.157590000,128,10000,0.01,0.95,10000,1.556421180899162e-05,small,,1,COMPLETE
