Bellman Errors 2 Mean,Final total_distance Mean,QF2 Loss,Policy Loss,Exploration Returns Std,Test Rewards Std,Exploration Actions Max,Policy Action Max,AverageReturn,Bellman Errors 1 Std,Test Actions Min,Test Rewards Mean,Q Targets Std,Exploration Rewards Mean,Train Time (s),Number of train steps total,Exploration Actions Mean,Exploration Rewards Min,Total Train Time (s),Exploration Actions Min,Policy Action Std,Q2 Predictions Std,Final total_distance Std,Q2 Predictions Max,Num Paths,Test Actions Std,Q Targets Min,Bellman Errors 1 Min,Q1 Predictions Max,Bellman Errors 1 Mean,Test Returns Min,Q1 Predictions Std,Test Returns Std,Test Actions Mean,Q Targets Mean,Test Rewards Max,Q2 Predictions Mean,Policy Action Min,Policy Action Mean,(Previous) Eval Time (s),Test Returns Max,Test Returns Mean,Number of env steps total,Epoch Time (s),Exploration Returns Min,Bellman Errors 2 Min,Exploration Rewards Max,Bellman Errors 2 Std,Q1 Predictions Mean,QF1 Loss,Number of rollouts total,Exploration Returns Mean,Test Actions Max,Exploration Returns Max,Bellman Errors 1 Max,Test Rewards Min,Q1 Predictions Min,Final total_distance Max,Q Targets Max,Final total_distance Min,Exploration Actions Std,Epoch,Bellman Errors 2 Max,Exploration Rewards Std,Sample Time (s),Q2 Predictions Min
0.0030886955,0.11542814973224208,0.0030886957,0.04418374,13.330598698600507,0.0011140957896942215,0.3953300191959356,0.010513374,-13.26370217648433,0.002679968,-0.037446894,-0.013263702176484067,0.02570105,-0.04610267908785196,0.016987864684779197,1,0.002189866476203186,-0.10389436835106387,2.6083538272068836,-0.36852763470187516,0.0033087137,0.00092975295,0.0,0.00783133,5,0.031664025,-0.08931803,3.0311641e-05,0.007638359,0.0031710651,-13.26370217648433,0.0007818989,0.0,-0.008068241,-0.04483475,-0.00874126462896673,0.0046023945,-0.0024213847,0.0023633488,0,-13.26370217648433,-13.26370217648433,5000,1.9255751051823609,-63.333749925295706,3.44166e-05,-0.0037400512087711777,0.0026021993,0.005198415,0.003171065,5,-46.10267908785194,0.038356725,-28.329224448177353,0.008780451,-0.016402283194755715,0.004035785,0.11542814973224208,-0.00084345834,0.11542814973224208,0.1001731718650197,0,0.008521195,0.024269999324957704,1.9085872404975817,0.002992289
0.0006358124,0.0822658785231192,0.0006358124,0.074065775,8.102740665837073,8.673617379884035e-19,1.0,0.036864385,-6.767674769180696,0.0006549776,-1.0,-0.006767674769180606,0.025115633,-0.012857337682660711,16.242241465719417,5001,-0.3214933181112767,-0.024354720232045757,21.651541590457782,-1.0,0.03067622,0.00077784475,0.0,-0.043401558,5,0.94280887,-0.09499036,1.9292295e-06,-0.042101722,0.00067490555,-6.767674769180696,0.0009513988,0.0,-0.3333335,-0.04207492,-0.006767674769180605,-0.045432374,-0.03795223,-0.009473365,0.6849772130372003,-6.767674769180696,-6.767674769180696,10000,19.039118269341998,-24.04544121476994,1.5460969e-09,-0.0024622639813379693,0.0006102216,-0.044118773,0.0006749055,10,-12.857337682660631,0.99999994,-5.524126388093249,0.0026973248,-0.006767674769180605,-0.045855023,0.0822658785231192,-0.0013436214,0.0822658785231192,0.9041951847295427,1,0.0023564165,0.008510424631213011,2.111899590585381,-0.047028825
1.3863499e-05,0.04595536402112607,1.3863495e-05,0.13834831,16.728768522852903,0.00010502622241671645,1.0,1.0,-2.1037792118941847,2.1610951e-05,-0.9698425,-0.0021037792118941594,0.052543346,-0.02452466469042887,16.142845330934506,10001,-0.06930178640405954,-0.06942840598361856,40.56662804901134,-1.0,0.94280857,0.052569356,0.0,-0.08801035,5,0.276477,-0.24987175,1.0283117e-09,-0.08752678,1.1413898e-05,-2.1037792118941847,0.052125882,0.0,0.12694691,-0.15731855,-0.00013095651539256426,-0.15803547,-1.0,-0.3333336,0.689047362015117,-2.1037792118941847,-2.1037792118941847,15000,18.9295701336232,-47.27353048896341,3.4732273e-11,-0.0006930231379451136,3.2746066e-05,-0.1577086,1.1413898e-05,15,-24.524664690428732,0.96195406,-6.615790658722734,0.0001259946,-0.0021118954823142085,-0.25213107,0.04595536402112607,-0.08758778,0.04595536402112607,0.7412025963546419,2,0.00021300669,0.02084871135594115,2.0976774406735785,-0.25415477
1.519439e-05,0.0461917582660097,1.5194389e-05,0.17665185,2.756834979679301,0.0007311198731048872,1.0,1.0,-2.191925598125697,3.1219814e-05,-0.9094409,-0.002191925598125712,0.09853409,-0.004668107762619305,16.265015083365142,15001,0.06668183026643862,-0.035469371826617316,59.55839410703629,-1.0,0.7634773,0.097049884,0.0,-0.11588294,5,0.2068207,-0.5131578,1.6327079e-10,-0.116990164,1.4629888e-05,-2.191925598125697,0.0970091,0.0,0.07642117,-0.20620072,-0.001437055138013901,-0.20486213,-0.99995065,0.24886483,0.6746581529732794,-2.191925598125697,-2.191925598125697,20000,19.01426201593131,-10.168836901527131,4.0012493e-11,-0.00012223499658738186,3.4750905e-05,-0.20509095,1.4629885e-05,20,-4.668107762619282,0.92561185,-3.1306108850918726,0.00017383386,-0.015966008003123793,-0.5114146,0.0461917582660097,-0.11600675,0.0461917582660097,0.38307159099629945,3,0.00021916564,0.0045791987408092,2.0745887795928866,-0.51187426
2.3902081e-05,0.00870540024112076,2.390208e-05,0.20006503,0.8140584224415528,1.3552527156068805e-20,1.0,0.99999994,-7.578399335810538e-05,8.15279e-05,-0.99485475,-7.578399335810538e-05,0.10045553,-0.0016918042656378026,16.303291493328288,20001,0.16466190701197927,-0.018697521967168347,78.39698923385004,-1.0,0.7092486,0.0981282,1.734723475976807e-18,-0.15306063,5,0.5126923,-0.65510356,6.619505e-11,-0.1518816,3.0918007e-05,-7.578399335810537e-05,0.09804845,1.3552527156068805e-20,-0.37424323,-0.23120677,-7.578399335810537e-05,-0.22942545,-0.9999998,0.002842954,0.6522298910422251,-7.578399335810537e-05,-7.578399335810538e-05,25000,19.052481100719888,-2.9715420486637716,9.078258e-10,-0.00011967819975423708,6.591786e-05,-0.22879165,3.0918007e-05,25,-1.6918042656378038,0.4523335,-0.7300770348224231,0.0004899274,-7.578399335810537e-05,-0.6394044,0.008705400241120759,-0.1531088,0.008705400241120759,0.3444137712158222,4,0.00045897483,0.0021146902939599838,2.0969597163493745,-0.6404596
1.4332952e-05,0.014912076779769176,1.4332951e-05,0.19011657,0.5876066496396364,0.0004208283734535004,1.0,0.99999154,-0.2518050990775518,3.497431e-05,-0.9999601,-0.00025180509907755326,0.06936261,-0.000982604468570325,16.884716538421344,25001,0.181653796981122,-0.012464826481812505,98.13191045977874,-1.0,0.5920198,0.0679988,0.0,-0.1595945,5,0.35826868,-0.4627754,3.283276e-10,-0.1591025,1.1612554e-05,-0.2518050990775518,0.0685302,0.0,0.17124745,-0.20335217,-0.00013632781382305191,-0.20450859,-0.9999994,0.19696246,0.4383831809973344,-0.2518050990775518,-0.2518050990775518,30000,19.540881981898565,-1.5977588132776361,1.1510792e-12,-9.718487062673348e-05,4.759098e-05,-0.20394182,1.1612553e-05,30,-0.786280095749973,0.9763758,-9.718487062673348e-05,0.000303613,-0.008385478217056203,-0.45319554,0.014912076779769176,-0.15792121,0.014912076779769176,0.3795942972728902,5,0.00037434723,0.0015142141374860348,2.2177822624798864,-0.45421335
9.380363e-06,0.027514782329169207,9.380362e-06,0.20191836,0.35726679018635027,9.237478333465701e-05,1.0,1.0,-0.7599176898603459,2.9104065e-05,-0.99996984,-0.0007599176898603299,0.08006817,-0.0008150170451902161,16.331432143750135,30001,0.1633133458288493,-0.01595642276039094,117.19313325290568,-1.0,0.67527604,0.081270285,0.0,-0.15630707,20,0.67263436,-0.49771148,3.5349723e-11,-0.15615645,1.03827415e-05,-0.7599176898603459,0.08139381,0.0,-0.1563398,-0.21958765,-0.00010266250056659409,-0.22115327,-1.0,0.09171115,0.6325532990158536,-0.7599176898603459,-0.7599176898603459,35000,19.024891264096368,-1.0485423267228828,2.3022473e-09,-3.4283799837421648e-06,2.0601234e-05,-0.22099364,1.03827415e-05,50,-0.2301200627094576,0.77785593,-3.4283799837421648e-06,0.00020059613,-0.0030458442518832137,-0.50129473,0.027514782329169207,-0.15504849,0.027514782329169207,0.3972697699608269,6,0.00016284152,0.001482169142093817,2.0609058213303797,-0.50395006
1.1475523e-05,0.008961258123588943,1.1475524e-05,0.17506783,2.0509571587318147,1.3552527156068805e-20,1.0,1.0,-8.03041471575888e-05,2.964243e-05,-0.99972415,-8.03041471575888e-05,0.060588855,-0.0035810513365991206,17.505560633784626,35001,0.08078019532602923,-0.0245384750843563,137.54714337579207,-1.0,0.61808723,0.059974417,1.734723475976807e-18,-0.14719217,22,0.7460913,-0.4327035,1.778333e-11,-0.14719407,1.1463621e-05,-8.030414715758879e-05,0.05958042,1.3552527156068805e-20,-0.12289666,-0.19470853,-8.030414715758879e-05,-0.19467138,-1.0,0.119380176,0.6690500249969773,-8.030414715758879e-05,-8.03041471575888e-05,40000,20.57567803695565,-9.208690528507198,1.0629844e-08,-6.0487977775845335e-06,2.9972225e-05,-0.19404474,1.1463622e-05,72,-0.8504996924422926,0.8634904,-6.0487977775845335e-06,0.00022391726,-8.030414715758879e-05,-0.426591,0.008961258123588941,-0.1467644,0.008961258123588941,0.5039163275846045,7,0.00020207703,0.005645044992560337,2.401067378174048,-0.42624924
1.9773219e-05,0.0014691014217625596,1.9773217e-05,0.1605218,0.30215281967127533,4.235164736271502e-22,1.0,1.0,-2.1582589874247736e-06,5.2623578e-05,-0.99993616,-2.1582589874247736e-06,0.06254316,-0.0032524967123329428,17.3950794749544,40001,-0.13675330028365335,-0.028519546246612404,157.88468838244444,-1.0,0.6132825,0.061309233,0.0,-0.119571425,929,0.5641306,-0.530239,3.9989434e-10,-0.11962219,1.9910354e-05,-2.158258987424774e-06,0.061433483,4.235164736271502e-22,-0.6359682,-0.17611349,-2.158258987424774e-06,-0.17409249,-0.99999994,0.013255132,0.4474418829777278,-2.158258987424774e-06,-2.1582589874247736e-06,45000,20.30693503760267,-6.534111766478962,2.383196e-10,-1.4229634703908896e-07,4.824125e-05,-0.17459482,1.9910356e-05,1001,-0.017950000693359478,0.52655506,-1.4229634703908896e-07,0.0004348618,-2.158258987424774e-06,-0.50938565,0.0014691014217625596,-0.11502805,0.0014691014217625596,0.5542284837767336,8,0.00036947234,0.005725290974964916,2.4644136796705425,-0.5110173
3.4304725e-05,0.003790309078696682,3.4304732e-05,0.120547414,0.0035641832950393066,3.3881317890172014e-21,0.9638478975984094,0.99999934,-1.4366442912050497e-05,6.541767e-05,-0.9997692,-1.4366442912050497e-05,0.06918527,-0.0001650367762794013,17.13667410070775,45001,-0.43897043816911,-0.00942243912738617,178.03141956968466,-1.0,0.7115877,0.07009247,1.3010426069826053e-18,0.0072793737,3221,0.6168942,-0.51181185,1.8732621e-10,0.002482459,3.192695e-05,-1.43664429120505e-05,0.06968789,3.3881317890172014e-21,-0.43150657,-0.14081001,-1.43664429120505e-05,-0.13916083,-1.0,0.015005614,0.4781843019882217,-1.43664429120505e-05,-1.4366442912050497e-05,50000,20.155385465128347,-0.16981262727672752,4.308559e-09,-1.408697486979015e-07,8.874e-05,-0.13942844,3.192695e-05,4222,-0.0002561887244324764,0.6830666,-1.408697486979015e-07,0.00045184192,-1.43664429120505e-05,-0.516825,0.0037903090786966832,-1.3626798e-05,0.0037903090786966832,0.5331589398117283,9,0.0006414862,0.0004683330046982164,2.540527062432375,-0.51495
