seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
-1.175125,-1.346908,-1.2610165,0.1214689241925687,-1.1395475758074314,-1.3824854241925686,100
-2.411457,-1.6359270000000001,-2.023692,0.548382522013603,-1.4753094779863969,-2.572074522013603,200
-3.090377,-1.572344,-2.3313605,1.0734114283649585,-1.2579490716350417,-3.4047719283649585,300
-1.184161,-0.369985,-0.777073,0.5757093706793385,-0.20136362932066154,-1.3527823706793385,400
-1.030627,-2.728991,-1.879809,1.2009247013231097,-0.6788842986768904,-3.0807337013231098,500
-0.41205699999999995,-0.202988,-0.3075225,0.14783410763589028,-0.1596883923641097,-0.45535660763589025,600
-1.690541,-2.710856,-2.2006985,0.7214716554463523,-1.4792268445536478,-2.922170155446352,700
-2.030864,-1.561482,-1.796173,0.33190319516690386,-1.4642698048330962,-2.128076195166904,800
-2.44165,-0.34937399999999996,-1.395512,1.4794625477138648,0.08395054771386468,-2.874974547713865,900
-2.581787,-0.964139,-1.7729629999999998,1.1438498703728561,-0.6291131296271437,-2.9168128703728557,1000
-3.005731,-1.047534,-2.0266325,1.3846543775991538,-0.6419781224008461,-3.411286877599154,1100
-0.898809,-1.6630310000000001,-1.28092,0.5403865585319458,-0.7405334414680542,-1.821306558531946,1200
-1.9139099999999998,-1.530825,-1.7223674999999998,0.2708820012708483,-1.4514854987291514,-1.9932495012708482,1300
-2.758947,-1.37675,-2.0678485,0.9773608716357025,-1.0904876283642977,-3.0452093716357025,1400
-1.41745,-2.7572360000000002,-2.087343,0.9473717659387998,-1.1399712340612003,-3.0347147659388,1500
-2.513334,-2.559124,-2.536229,0.032378419510532164,-2.503850580489468,-2.568607419510532,1600
-3.090974,-3.692853,-3.3919135000000002,0.42559272235377793,-2.966320777646222,-3.8175062223537783,1700
-0.368609,-1.733901,-1.051255,0.9654072314997438,-0.08584776850025622,-2.016662231499744,1800
-1.137049,-2.816596,-1.9768225,1.1876190730215224,-0.7892034269784776,-3.1644415730215223,1900
-4.802366999999999,-4.742094,-4.772230499999999,0.04261944702245648,-4.729611052977543,-4.814849947022456,2000
-2.177639,-1.44099,-1.8093145000000002,0.5208895032542891,-1.288424996745711,-2.3302040032542894,2100
-2.977091,-8.475968,-5.7265295,3.8882932156107386,-1.8382362843892612,-9.614822715610739,2200
-5.688761,-1.697716,-3.6932385,2.822094983520665,-0.8711435164793353,-6.515333483520665,2300
-0.53756,-1.90326,-1.22041,0.9656957310664679,-0.2547142689335321,-2.1861057310664678,2400
-0.641642,-0.686765,-0.6642035,0.03190677928748052,-0.6322967207125194,-0.6961102792874805,2500
-3.4226949999999996,-2.206755,-2.8147249999999997,0.8597994195159705,-1.954925580484029,-3.6745244195159703,2600
-2.574331,-5.917803,-4.246067,2.3641917239073487,-1.8818752760926514,-6.610258723907348,2700
-0.23410599999999998,-5.422943,-2.8285245,3.6690618291716617,0.8405373291716618,-6.497586329171662,2800
-0.200061,-1.62621,-0.9131355,1.0084396288824136,0.09530412888241357,-1.9215751288824134,2900
-0.924725,-0.833592,-0.8791585,0.06444076228987365,-0.8147177377101263,-0.9435992622898736,3000
-2.90448,-6.342869,-4.6236745,2.431308178257232,-2.192366321742768,-7.0549826782572325,3100
-0.415156,-0.5877829999999999,-0.5014695,0.12206572231589008,-0.37940377768410993,-0.6235352223158901,3200
-1.313719,-3.704396,-2.5090575,1.6904639183267118,-0.8185935816732881,-4.199521418326712,3300
-2.815675,-3.163895,-2.9897850000000004,0.24622872334477955,-2.743556276655221,-3.23601372334478,3400
-0.8592,-1.6598119999999998,-1.259506,0.5661181742993241,-0.6933878257006759,-1.8256241742993242,3500
-0.932934,-5.9126199999999995,-3.422777,3.521169738779714,0.09839273877971388,-6.943946738779713,3600
-3.924551,-2.7945290000000003,-3.35954,0.7990462190899847,-2.560493780910015,-4.158586219089985,3700
-2.706424,-5.4102190000000006,-4.0583215,1.9118717794382816,-2.1464497205617183,-5.9701932794382815,3800
-4.1931959999999995,-7.608759,-5.9009775,2.415167758869868,-3.4858097411301316,-8.316145258869868,3900
-2.00983,-3.706258,-2.858044,1.1995557425947325,-1.6584882574052675,-4.057599742594732,4000
-2.1506380000000003,-3.867347,-3.0089925,1.2138965752239768,-1.7950959247760234,-4.222889075223977,4100
-4.7605129999999996,-2.988686,-3.8745994999999995,1.2528708867894167,-2.621728613210583,-5.127470386789416,4200
