seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
-2.1782880000000002,-3.275013,-2.7266505,0.7755016845968161,-1.9511488154031837,-3.5021521845968158,100
-3.149378,-1.908153,-2.5287655,0.8776786144782724,-1.6510868855217276,-3.4064441144782727,200
-1.618535,-4.237203,-2.9278690000000003,1.851677900476214,-1.0761910995237862,-4.779546900476214,300
-1.44292,-2.961882,-2.202401,1.0740683305646808,-1.1283326694353193,-3.276469330564681,400
-2.636359,-3.417993,-3.027176,0.5526987018059658,-2.474477298194034,-3.5798747018059656,500
-3.3487339999999994,-2.312061,-2.8303974999999997,0.7330385081730014,-2.097358991826998,-3.563436008173001,600
-2.938365,-2.198233,-2.568299,0.5233523561731618,-2.0449466438268384,-3.091651356173162,700
-1.8803580000000002,-2.818168,-2.349263,0.6631318104645559,-1.6861311895354443,-3.012394810464556,800
-3.4012029999999998,-3.68749,-3.5443464999999996,0.20243547906555326,-3.3419110209344463,-3.746781979065553,900
-2.701609,-1.757997,-2.229803,0.6672344440090003,-1.5625685559909996,-2.8970374440090003,1000
-2.332104,-3.3410230000000003,-2.8365635000000005,0.7134134665679505,-2.12315003343205,-3.549976966567951,1100
-2.132834,-4.040442,-3.0866379999999998,1.3488825526457073,-1.7377554473542924,-4.435520552645707,1200
-3.107834,-4.3011919999999995,-3.7045129999999995,0.8438315341832155,-2.860681465816784,-4.548344534183215,1300
-2.461856,-4.199751999999999,-3.3308039999999997,1.2288780465969755,-2.101925953403024,-4.559682046596976,1400
-4.145336,-2.051717,-3.0985265,1.4804121921209987,-1.6181143078790015,-4.578938692120999,1500
-1.7594779999999999,-3.108603,-2.4340405,0.953975436168301,-1.480065063831699,-3.3880159361683013,1600
-2.317137,-3.90674,-3.1119385,1.1240190606944798,-1.9879194393055202,-4.23595756069448,1700
-2.839111,-2.447343,-2.643227,0.2770218094518913,-2.3662051905481087,-2.9202488094518912,1800
-3.4627660000000002,-3.7749580000000003,-3.618862,0.22075308023219067,-3.398108919767809,-3.839615080232191,1900
-2.3631889999999998,-2.737031,-2.55011,0.2643462132923415,-2.285763786707659,-2.8144562132923414,2000
-4.564618,-3.11555,-3.840084,1.0246458092004285,-2.8154381907995716,-4.864729809200428,2100
-3.843349,-2.908312,-3.3758305,0.6611710033603257,-2.7146594966396744,-4.037001503360326,2200
-2.850591,-3.442218,-3.1464045,0.41834346363305347,-2.7280610363669466,-3.5647479636330535,2300
-3.4330220000000002,-4.004693,-3.7188575,0.4042324407076944,-3.3146250592923057,-4.123089940707694,2400
