number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,1.0231231451034546,2020-06-14 18:57:18.611105,2020-06-14 20:47:22.740750,0 days 01:50:04.129645000,0.0015275125025329451,0.9999,0.004013351249813113,constant,128,0.7456965431510605,COMPLETE
1,0.44515204429626465,2020-06-14 18:57:18.613697,2020-06-14 20:47:17.467860,0 days 01:49:58.854163000,0.00037299227394566015,0.99,0.00018456040072583187,constant,1024,0.616932283272144,COMPLETE
2,0.16308556497097015,2020-06-14 18:57:18.615887,2020-06-14 20:50:23.065690,0 days 01:53:04.449803000,2.46140555636918e-07,0.9999,0.008545634804343623,constant,16,0.3302561849259361,COMPLETE
3,0.49701642990112305,2020-06-14 18:57:18.617986,2020-06-14 20:50:03.925212,0 days 01:52:45.307226000,0.00023167367861994266,0.95,0.004304143191192331,constant,16,0.7659582579755433,COMPLETE
4,2.122347354888916,2020-06-14 18:57:18.620061,2020-06-14 20:49:52.915976,0 days 01:52:34.295915000,2.1326834673826424e-07,0.9999,0.00016537608229084323,constant,16,0.4298443000659631,COMPLETE
5,0.4027946889400482,2020-06-14 18:57:18.622189,2020-06-14 20:48:37.379948,0 days 01:51:18.757759000,0.08544118472079454,0.9,0.00017354585515259527,linear,32,0.2767405392326757,COMPLETE
6,0.7693374752998352,2020-06-14 18:57:18.624212,2020-06-14 20:50:39.993409,0 days 01:53:21.369197000,1.5977953047708206e-05,0.95,0.005283032704727148,constant,16,0.6945744133330304,COMPLETE
7,2.635789394378662,2020-06-14 18:57:18.626285,2020-06-14 20:48:11.854112,0 days 01:50:53.227827000,5.1379182217189516e-08,0.995,0.03366927941477124,constant,64,0.07068177930524422,COMPLETE
8,0.3721126317977905,2020-06-14 18:57:18.628403,2020-06-14 20:48:24.903950,0 days 01:51:06.275547000,0.08582090284380176,0.98,0.00014359276263776024,linear,256,0.407542810858749,COMPLETE
9,0.6144505143165588,2020-06-14 18:57:18.630401,2020-06-14 20:48:02.763742,0 days 01:50:44.133341000,0.06077585994612935,0.99,1.119745708855578e-05,linear,64,0.2583932024928215,COMPLETE
10,0.5280715823173523,2020-06-14 18:57:18.632666,2020-06-14 20:48:13.356899,0 days 01:50:54.724233000,4.936589471134646e-06,0.9999,2.4392000844718873e-05,linear,256,0.6377021103937438,COMPLETE
11,0.38727521896362305,2020-06-14 18:57:18.634750,2020-06-14 20:49:08.282032,0 days 01:51:49.647282000,0.00437950801905631,0.9,0.015379100688247618,linear,64,0.21439760292121213,COMPLETE
12,1.1026060581207275,2020-06-14 18:57:18.636833,2020-06-14 20:49:48.157447,0 days 01:52:29.520614000,0.00020947180698630875,0.995,0.7591708735530693,constant,16,0.9454831802597852,COMPLETE
13,0.48096123337745667,2020-06-14 18:57:18.638904,2020-06-14 20:48:15.661134,0 days 01:50:57.022230000,9.274330933432992e-07,0.98,0.08057145589023754,linear,256,0.8736745537825812,COMPLETE
14,0.5182304382324219,2020-06-14 18:57:18.641052,2020-06-14 20:45:35.428677,0 days 01:48:16.787625000,1.0488874691746892e-08,0.95,0.14690684348123323,constant,2048,0.8836924692214787,COMPLETE
15,0.25470051169395447,2020-06-14 18:57:18.643155,2020-06-14 20:45:40.455589,0 days 01:48:21.812434000,7.707762241629142e-06,0.995,0.5845077358830882,constant,2048,0.8984472916863088,COMPLETE
16,0.4640274941921234,2020-06-14 18:57:18.645224,2020-06-14 20:45:41.770384,0 days 01:48:23.125160000,1.600588912202285e-08,0.9,0.03539308361649103,linear,2048,0.891703653954079,COMPLETE
17,0.6262627840042114,2020-06-14 18:57:18.647484,2020-06-14 20:47:33.701661,0 days 01:50:15.054177000,0.0022876961110181054,0.99,0.030675801787483206,linear,1024,0.715254645236741,COMPLETE
18,1.4867937564849854,2020-06-14 18:57:18.649586,2020-06-14 20:47:12.772252,0 days 01:49:54.122666000,0.00010399032034766006,0.995,0.021553398127823645,constant,256,0.8546317017605988,COMPLETE
19,0.6553888320922852,2020-06-14 18:57:18.652857,2020-06-14 20:50:07.778631,0 days 01:52:49.125774000,2.1737678335940287e-08,0.98,0.71078566188863,linear,16,0.6340869413442951,COMPLETE
20,0.4970710873603821,2020-06-14 18:57:18.655111,2020-06-14 20:45:37.210955,0 days 01:48:18.555844000,1.6355552328355682e-06,0.999,2.9679208747521444e-05,constant,2048,0.24505572802335684,COMPLETE
21,0.6360411643981934,2020-06-14 18:57:18.657384,2020-06-14 20:47:11.103574,0 days 01:49:52.446190000,0.00955810240808532,0.99,0.006332266148509181,constant,1024,0.9728959211366206,COMPLETE
22,0.56450355052948,2020-06-14 18:57:18.659527,2020-06-14 20:48:36.458331,0 days 01:51:17.798804000,1.0319042752458746e-08,0.9,0.0028223787302229303,linear,32,0.29457154218456305,COMPLETE
23,0.6242745518684387,2020-06-14 18:57:18.661696,2020-06-14 20:48:57.404883,0 days 01:51:38.743187000,2.2439781239280824e-05,0.99,0.00042591555398512987,constant,32,0.027209095369595926,COMPLETE
24,1.2474277019500732,2020-06-14 18:57:18.663901,2020-06-14 20:48:22.652614,0 days 01:51:03.988713000,3.275715940377053e-08,0.995,0.09712082058965596,constant,64,0.7490462427414624,COMPLETE
25,0.46131715178489685,2020-06-14 18:57:18.666119,2020-06-14 20:48:47.826909,0 days 01:51:29.160790000,3.0007249846991707e-07,0.999,0.009108808687266119,linear,512,0.38770384403822344,COMPLETE
26,0.47845155000686646,2020-06-14 18:57:18.668341,2020-06-14 20:47:15.485742,0 days 01:49:56.817401000,0.0006170507673199406,0.999,0.0001340610618237963,constant,1024,0.91892212663275,COMPLETE
27,0.39151275157928467,2020-06-14 18:57:18.670526,2020-06-14 20:47:44.887206,0 days 01:50:26.216680000,1.95500060764495e-06,0.95,8.933030440381272e-05,constant,128,0.6201339156448433,COMPLETE
28,0.5560439825057983,2020-06-14 18:57:18.672724,2020-06-14 20:45:43.693085,0 days 01:48:25.020361000,0.0017890786093419464,0.99,2.174867461656226e-05,constant,2048,0.6380043630068721,COMPLETE
29,1.0818380117416382,2020-06-14 18:57:18.674908,2020-06-14 20:49:18.604134,0 days 01:51:59.929226000,4.109676522471974e-06,0.995,9.289518830812823e-05,constant,32,0.24686188162973588,COMPLETE
30,0.4081912040710449,2020-06-14 18:57:18.677173,2020-06-14 20:47:58.936222,0 days 01:50:40.259049000,4.5925941920861293e-08,0.9999,0.0009434084649026971,linear,64,0.59770888158715,COMPLETE
31,0.07963047921657562,2020-06-14 18:57:18.679486,2020-06-14 20:47:05.981400,0 days 01:49:47.301914000,9.992040999998771e-07,0.9999,0.00017306384976716665,constant,256,0.9743187298547349,COMPLETE
32,0.7226513624191284,2020-06-14 18:57:18.681651,2020-06-14 20:47:15.752760,0 days 01:49:57.071109000,5.245087617242582e-07,0.995,0.0011895480395073558,linear,32,0.1607339394598527,COMPLETE
33,0.4172488749027252,2020-06-14 18:57:18.684111,2020-06-14 20:48:37.558512,0 days 01:51:18.874401000,0.0002524851525753592,0.95,3.6780512728333644e-05,constant,64,0.8097280457661338,COMPLETE
34,0.7546095848083496,2020-06-14 18:57:18.686603,2020-06-14 20:47:46.166654,0 days 01:50:27.480051000,0.0008486151915900924,0.995,0.009639342914326474,constant,256,0.5710183339196757,COMPLETE
35,0.46015292406082153,2020-06-14 18:57:18.688994,2020-06-14 20:49:06.840291,0 days 01:51:48.151297000,0.0003989066632321573,0.99,0.0005252274438693144,constant,32,0.8759559220024862,COMPLETE
36,0.3904818296432495,2020-06-14 18:57:18.691400,2020-06-14 20:47:05.708075,0 days 01:49:47.016675000,4.0940571430170416e-07,0.95,0.00021242955907542287,linear,256,0.18851921777349978,COMPLETE
37,0.36260607838630676,2020-06-14 18:57:18.693716,2020-06-14 20:45:33.739140,0 days 01:48:15.045424000,1.062154114188618e-06,0.98,2.852568588606726e-05,constant,2048,0.0404567371901724,COMPLETE
38,0.42642292380332947,2020-06-14 18:57:18.696493,2020-06-14 20:47:04.125742,0 days 01:49:45.429249000,1.4845435529212392e-05,0.98,0.08319515302760956,constant,512,0.9589319850401756,COMPLETE
39,0.3684786856174469,2020-06-14 18:57:18.699904,2020-06-14 20:48:27.210903,0 days 01:51:08.510999000,0.0023631906033723324,0.999,3.3779723747456066e-05,constant,128,0.9183029676506581,COMPLETE
40,0.44218555092811584,2020-06-14 20:45:33.740534,2020-06-14 22:36:35.787626,0 days 01:51:02.047092000,0.008460190958879532,0.98,0.002357448436317934,constant,64,0.8198909452912401,COMPLETE
41,0.43137025833129883,2020-06-14 20:45:35.431147,2020-06-14 22:31:17.460085,0 days 01:45:42.028938000,1.3123539237921649e-06,0.9999,0.00012761290840212694,linear,2048,0.5839123301201091,COMPLETE
42,0.38010329008102417,2020-06-14 20:45:37.213824,2020-06-14 22:31:20.502156,0 days 01:45:43.288332000,0.0017525016082883319,0.98,0.0011795729127268752,linear,2048,0.9270183262633955,COMPLETE
43,0.8202304840087891,2020-06-14 20:45:40.456855,2020-06-14 21:27:07.633641,0 days 00:41:27.176786000,0.034286238317250244,0.995,0.00035888941335020187,linear,32,0.5920414016169101,PRUNED
44,0.48832693696022034,2020-06-14 20:45:41.775983,2020-06-14 21:26:48.262240,0 days 00:41:06.486257000,1.1063854708041248e-08,0.995,0.08801955280149049,constant,256,0.961549642252347,PRUNED
45,0.3448532819747925,2020-06-14 20:45:43.710466,2020-06-14 22:34:33.530513,0 days 01:48:49.820047000,0.00020626434482569692,0.95,1.675530609113701e-05,constant,256,0.6096581713028172,COMPLETE
46,0.6465916633605957,2020-06-14 20:47:04.131171,2020-06-14 22:35:47.449359,0 days 01:48:43.318188000,0.037892844300099024,0.9,0.0003426319507498558,constant,128,0.2843505355747381,COMPLETE
47,0.17062348127365112,2020-06-14 20:47:05.709350,2020-06-14 22:36:11.894448,0 days 01:49:06.185098000,0.0004910701021082363,0.9,0.27562021221365546,linear,64,0.5017075611156264,COMPLETE
48,0.4637504518032074,2020-06-14 20:47:05.987393,2020-06-14 22:36:46.096404,0 days 01:49:40.109011000,2.495312683731882e-07,0.999,0.0001952691028025611,linear,256,0.06908306139775766,COMPLETE
49,0.25851765275001526,2020-06-14 20:47:11.107137,2020-06-14 22:36:16.378634,0 days 01:49:05.271497000,0.00031024290444120754,0.9999,0.000648087997350408,linear,128,0.55269562397113,COMPLETE
50,0.5034443140029907,2020-06-14 20:47:12.775886,2020-06-14 22:35:54.758216,0 days 01:48:41.982330000,8.484102068644813e-05,0.9999,0.0004310737264464428,constant,64,0.6363406664810362,COMPLETE
51,2.3254621028900146,2020-06-14 20:47:15.492661,2020-06-14 21:28:35.781765,0 days 00:41:20.289104000,9.860790441337909e-08,0.9999,0.6454963695884769,constant,32,0.6541484061464489,PRUNED
52,0.5846899151802063,2020-06-14 20:47:15.754130,2020-06-14 21:29:10.989821,0 days 00:41:55.235691000,1.4867265726377881e-05,0.9999,0.9015000571363047,constant,16,0.646107173378871,PRUNED
53,0.5163817405700684,2020-06-14 20:47:17.494721,2020-06-14 21:28:23.907835,0 days 00:41:06.413114000,1.2932554887613252e-05,0.9999,0.7865376175862021,constant,128,0.720632915390651,PRUNED
54,1.5055525302886963,2020-06-14 20:47:22.742103,2020-06-14 21:28:39.188634,0 days 00:41:16.446531000,8.330357825151345e-06,0.9999,0.8317785746801636,constant,64,0.4044257796698498,PRUNED
55,0.4905502200126648,2020-06-14 20:47:33.704020,2020-06-14 21:28:45.639491,0 days 00:41:11.935471000,7.98644434976916e-06,0.9999,0.9184357762594676,constant,64,0.4310421046170956,PRUNED
56,0.7784225344657898,2020-06-14 20:47:44.903243,2020-06-14 21:29:03.416703,0 days 00:41:18.513460000,1.5757175830573485e-05,0.9999,0.8212726196178826,constant,64,0.4352898946298802,PRUNED
57,1.1783578395843506,2020-06-14 20:47:46.180674,2020-06-14 22:37:04.966599,0 days 01:49:18.785925000,1.2924408758887185e-05,0.9999,0.0009246572572565308,constant,64,0.33430348389722664,COMPLETE
58,0.5513890981674194,2020-06-14 20:47:58.937605,2020-06-14 21:29:39.158440,0 days 00:41:40.220835000,1.611007485979743e-05,0.9999,0.7580186951814443,constant,16,0.40211187865160597,PRUNED
59,1.6468656063079834,2020-06-14 20:48:02.769610,2020-06-14 21:30:07.649539,0 days 00:42:04.879929000,1.061664619306209e-05,0.9999,0.9411666061093582,constant,16,0.4040397172042616,PRUNED
