number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,0.215998575091362,2020-06-23 07:08:37.092819,2020-06-23 07:10:49.492923,0 days 00:02:12.400104000,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,0.11907961219549179,2020-06-23 07:10:49.493757,2020-06-23 07:12:20.433174,0 days 00:01:30.939417000,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
2,0.13032148778438568,2020-06-23 07:12:20.433975,2020-06-23 07:14:06.058056,0 days 00:01:45.624081000,30,2.300239849486517e-06,0.95,0.98,0.10386580256500279,512,1,0.0006937575128144786,COMPLETE
3,0.6125515699386597,2020-06-23 07:14:06.058869,2020-06-23 07:16:52.538677,0 days 00:02:46.479808000,30,1.699634491174657e-05,0.98,0.95,0.06236650188352654,128,1,3.902762553553292e-05,COMPLETE
4,0.7055321335792542,2020-06-23 07:16:52.539490,2020-06-23 07:24:27.001442,0 days 00:07:34.461952000,20,7.99159708744152e-06,0.95,0.95,0.0013523525694052886,16,20,0.07433073841273528,COMPLETE
5,1.464572548866272,2020-06-23 07:24:27.002383,2020-06-23 07:30:13.598515,0 days 00:05:46.596132000,10,0.00021059520545246572,0.98,1.0,1.296399344054502e-06,16,20,0.012152621852509347,COMPLETE
6,0.03968777507543564,2020-06-23 07:30:13.599350,2020-06-23 07:31:53.168867,0 days 00:01:39.569517000,30,4.954073578738671e-08,0.95,0.9,0.25947259726504646,4096,10,0.01843742127649596,COMPLETE
7,1.464572548866272,2020-06-23 07:31:53.169637,2020-06-23 07:34:18.865675,0 days 00:02:25.696038000,10,1.6143528192274821e-06,0.9999,0.99,5.936873372035253e-06,64,20,0.007095513849771357,COMPLETE
8,2.7620179653167725,2020-06-23 07:34:18.866510,2020-06-23 07:36:46.346522,0 days 00:02:27.480012000,30,0.0003711352619121185,0.99,0.98,0.5671469641942559,256,20,0.9473224693917235,COMPLETE
9,0.8747035264968872,2020-06-23 07:36:46.347351,2020-06-23 07:38:34.960293,0 days 00:01:48.612942000,15,1.2965434798948996e-07,0.9,0.99,2.9278818805431125e-05,256,3,0.019127047981511353,COMPLETE
10,2.8940036296844482,2020-06-23 07:38:34.961133,2020-06-23 07:39:34.762794,0 days 00:00:59.801661000,15,1.2601498598485795e-08,0.999,0.92,0.0031650412538920523,1024,10,0.9323867392583228,PRUNED
11,0.6288920044898987,2020-06-23 07:39:35.095091,2020-06-23 07:40:26.762922,0 days 00:00:51.667831000,30,2.8971210146303964e-08,0.9999,0.9,0.5036507187717844,4096,5,0.0006534455339685065,PRUNED
12,0.05986515432596207,2020-06-23 07:40:27.015735,2020-06-23 07:42:08.129201,0 days 00:01:41.113466000,20,2.763304634994967e-07,0.9999,1.0,0.01922095797796363,4096,10,0.163616867490599,COMPLETE
13,2.1679017543792725,2020-06-23 07:42:08.130192,2020-06-23 07:42:43.039938,0 days 00:00:34.909746000,20,1.8035463889751276e-07,0.95,0.8,0.010257352842600338,4096,10,0.21172922079326384,PRUNED
14,1.4082552194595337,2020-06-23 07:42:43.262364,2020-06-23 07:44:24.722436,0 days 00:01:41.460072000,20,2.287640402234487e-07,0.9999,1.0,0.00012055002195428979,32,10,0.12819191705713787,PRUNED
15,0.03798037767410278,2020-06-23 07:44:25.028908,2020-06-23 07:46:04.540342,0 days 00:01:39.511434000,20,1.2107476211456392e-08,0.95,0.9,0.015322155937279723,2048,10,0.0009636801574526188,COMPLETE
16,1.2144300937652588,2020-06-23 07:46:04.541226,2020-06-23 07:46:40.117275,0 days 00:00:35.576049000,20,1.1169383029474472e-08,0.95,0.9,0.0004983961223161622,2048,10,0.0006952065770808317,PRUNED
17,0.044828664511442184,2020-06-23 07:46:40.426982,2020-06-23 07:48:19.415745,0 days 00:01:38.988763000,10,2.531227773363923e-08,0.95,0.9,0.012781431046177833,2048,10,7.086533927602823e-05,COMPLETE
18,0.043008558452129364,2020-06-23 07:48:19.416580,2020-06-23 07:49:55.199787,0 days 00:01:35.783207000,20,0.03511579706217843,0.95,0.9,0.05092034291540532,2048,5,0.0001700209004072513,COMPLETE
19,0.7515969276428223,2020-06-23 07:49:55.200612,2020-06-23 07:51:13.834808,0 days 00:01:18.634196000,15,6.608234154239628e-07,0.9,0.9,0.0032575313228647078,128,3,1.0574268196493874e-05,PRUNED
20,0.7928194403648376,2020-06-23 07:51:14.139452,2020-06-23 07:52:25.371208,0 days 00:01:11.231756000,30,8.902186711648274e-05,0.999,0.92,0.9133807253305597,2048,10,0.001494313171704237,PRUNED
21,0.041311752051115036,2020-06-23 07:52:25.733127,2020-06-23 07:54:01.530608,0 days 00:01:35.797481000,20,0.02351438135605332,0.95,0.9,0.04165724982859542,2048,5,0.0001155171768503862,COMPLETE
22,0.04209337756037712,2020-06-23 07:54:01.531408,2020-06-23 07:55:35.440378,0 days 00:01:33.908970000,20,0.0025235508991676143,0.95,0.9,0.15744620689684619,2048,5,0.0002083737267379958,COMPLETE
23,0.40224361419677734,2020-06-23 07:55:35.441306,2020-06-23 07:56:32.134170,0 days 00:00:56.692864000,20,0.0020497185907448743,0.995,0.8,0.023024783394844192,2048,5,2.1013182859743915e-05,PRUNED
