mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 2mm,std success ratio 2mm,mean reach time 2mm,std reach time 2mm,mean success ratio 1mm,std success ratio 1mm,mean reach time 1mm,std reach time 1mm,mean success ratio 0.5mm,std success ratio 0.5mm,mean reach time 0.5mm,std reach time 0.5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-0.46,0.01,0.14,141.93,1.68,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,A2C,-0.0,2.37,0.03
-0.28,0.13,0.01,181.75,0.38,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,ACKTR,-0.0,3.03,0.01
-0.35,0.2,0.0,1207.45,77.79,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,DDPG,-0.0,20.12,1.3
-0.55,0.08,0.07,254.39,1.73,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,PPO2,-0.0,4.24,0.03
-0.25,0.3,0.0,2559.64,25.29,0.5,0.71,23.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,SAC,-0.0,42.66,0.42
-0.4,0.43,0.0,2170.06,30.8,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,TD3,-0.0,36.17,0.51
-0.3,0.37,0.01,369.44,5.29,0.5,0.71,23.35,,0.05,0.07,63.0,,0.0,0.0,,,0.0,0.0,,,TRPO,-0.0,6.16,0.09
-0.3,0.25,0.0,1981.53,11.03,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,HER,-0.0,33.03,0.18
