number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
30,0.08529174327850342,2020-06-16 10:12:39.175444,2020-06-16 12:22:03.768819,0 days 02:09:24.593375000,32,0.4,0.00012339765637846362,0.9999,0.98,0.9802594708530432,1024,20,COMPLETE
31,0.8461849093437195,2020-06-16 10:12:39.178363,2020-06-16 11:53:19.292288,0 days 01:40:40.113925000,128,0.3,8.404555234030663e-07,0.95,0.95,1.034122177726435e-05,1024,5,COMPLETE
32,0.931418240070343,2020-06-16 10:12:39.181424,2020-06-16 12:01:57.710423,0 days 01:49:18.528999000,128,0.1,1.6999080359374617e-07,0.9,0.92,0.23749253847195803,256,20,COMPLETE
33,0.12301752716302872,2020-06-16 10:12:39.184449,2020-06-16 11:49:24.256937,0 days 01:36:45.072488000,64,0.1,1.1713157975323471e-08,0.9,1.0,0.01082251036232246,128,1,COMPLETE
34,0.4448161721229553,2020-06-16 10:12:39.187264,2020-06-16 11:58:58.826529,0 days 01:46:19.639265000,128,0.4,0.00013613652943523407,0.9,0.98,0.5066662093091091,64,10,COMPLETE
35,0.4432668089866638,2020-06-16 10:12:39.190060,2020-06-16 12:20:21.122469,0 days 02:07:41.932409000,32,0.1,0.0019862973403783468,0.9,0.95,0.0006283405646902803,2048,20,COMPLETE
36,0.7490571141242981,2020-06-16 10:12:39.193476,2020-06-16 12:05:55.508600,0 days 01:53:16.315124000,32,0.4,0.0007193052384219743,0.9999,0.95,0.004476390473817253,512,10,COMPLETE
37,1.148407220840454,2020-06-16 10:12:39.197116,2020-06-16 11:50:24.080934,0 days 01:37:44.883818000,256,0.4,1.6409532331900663e-07,0.9,0.8,0.045692896836325034,128,5,COMPLETE
38,0.7061308026313782,2020-06-16 10:12:39.200155,2020-06-16 12:19:53.615858,0 days 02:07:14.415703000,128,0.1,1.7276700056273444e-05,0.95,0.8,0.0728276543135965,2048,50,COMPLETE
39,1.9530885219573975,2020-06-16 10:12:39.203058,2020-06-16 11:51:51.826508,0 days 01:39:12.623450000,32,0.3,1.34424376558716e-05,0.9,1.0,0.03724226591157145,16,1,COMPLETE
40,5.0825958251953125,2020-06-16 11:47:09.115137,2020-06-16 12:21:06.668872,0 days 00:33:57.553735000,256,0.1,7.114013610763489e-08,0.98,0.92,0.0076452549733348075,512,1,PRUNED
41,0.664854109287262,2020-06-16 11:48:23.869289,2020-06-16 13:26:01.919203,0 days 01:37:38.049914000,128,0.3,7.437841607942234e-05,0.9999,1.0,0.0030514427580687615,256,5,COMPLETE
42,0.5770875215530396,2020-06-16 11:49:24.270225,2020-06-16 13:31:34.252642,0 days 01:42:09.982417000,256,0.4,0.0015711852768023878,0.9,0.92,0.0243928330609571,512,20,COMPLETE
43,1.2562189102172852,2020-06-16 11:50:24.094131,2020-06-16 13:33:06.761891,0 days 01:42:42.667760000,32,0.2,2.0024129014088267e-07,0.99,1.0,0.011130394064831356,1024,5,COMPLETE
44,5.2397966384887695,2020-06-16 11:50:42.765436,2020-06-16 12:25:39.579726,0 days 00:34:56.814290000,128,0.2,0.0005981525366761466,0.999,0.8,1.5973717515013602e-05,512,5,PRUNED
45,0.3290773630142212,2020-06-16 11:51:51.835285,2020-06-16 13:29:19.935896,0 days 01:37:28.100611000,256,0.2,0.06562110106270774,0.95,0.92,0.09572697633320966,128,5,COMPLETE
46,2.0446503162384033,2020-06-16 11:52:19.206474,2020-06-16 12:46:44.162426,0 days 00:54:24.955952000,128,0.3,1.9151008778385003e-07,0.95,0.99,0.9849595883572734,64,50,PRUNED
47,0.9706001281738281,2020-06-16 11:53:19.307314,2020-06-16 12:31:49.072133,0 days 00:38:29.764819000,64,0.3,0.0003974898828317257,0.99,0.92,0.4927431909028227,64,10,PRUNED
48,2.48671555519104,2020-06-16 11:53:38.457955,2020-06-16 12:29:43.576236,0 days 00:36:05.118281000,128,0.1,8.781668609380316e-05,0.995,0.95,0.44849041551854324,2048,10,PRUNED
49,0.46002650260925293,2020-06-16 11:53:57.726460,2020-06-16 14:03:10.288393,0 days 02:09:12.561933000,64,0.1,1.2980147933141271e-08,0.99,0.92,0.00012850180407895145,32,50,COMPLETE
50,1.8379625082015991,2020-06-16 11:54:52.110433,2020-06-16 12:58:53.943573,0 days 01:04:01.833140000,64,0.1,0.03110103196847937,0.999,1.0,0.00012652011151994446,32,50,PRUNED
51,1.4020789861679077,2020-06-16 11:56:19.819047,2020-06-16 12:50:02.224643,0 days 00:53:42.405596000,64,0.1,0.0985336424583798,0.999,0.9,0.5610974556255641,64,50,PRUNED
52,0.3850402235984802,2020-06-16 11:56:56.707455,2020-06-16 13:51:36.617914,0 days 01:54:39.910459000,64,0.2,0.056882241634685415,0.999,0.92,0.8592711918235413,512,30,COMPLETE
53,0.3850402235984802,2020-06-16 11:57:14.691990,2020-06-16 13:51:47.728812,0 days 01:54:33.036822000,64,0.2,0.08853327383584934,0.999,0.9,0.9995549727492989,512,30,COMPLETE
54,0.3850402235984802,2020-06-16 11:57:41.309122,2020-06-16 13:52:54.236664,0 days 01:55:12.927542000,64,0.1,0.04185289818309705,0.999,0.9,0.8888258509746607,512,30,COMPLETE
55,0.3644285202026367,2020-06-16 11:58:58.851471,2020-06-16 13:52:32.121038,0 days 01:53:33.269567000,64,0.1,0.09556214603567395,0.999,0.9,0.7983951173725379,512,30,COMPLETE
56,0.7992762327194214,2020-06-16 12:01:57.718183,2020-06-16 12:55:19.230801,0 days 00:53:21.512618000,64,0.1,0.02435671058059081,0.999,0.9,0.9447770543463003,512,30,PRUNED
57,1.4090907573699951,2020-06-16 12:03:05.209665,2020-06-16 12:49:18.232905,0 days 00:46:13.023240000,64,0.1,0.0912262068064608,0.999,0.9,0.01019487086999498,512,30,PRUNED
