number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
0,2.432401180267334,2020-06-12 13:05:55.451921,2020-06-12 13:07:23.783328,0 days 00:01:28.331407000,100,1000000,0.9999,0.2527085147829278,0.8437694698943465,normal,1000,COMPLETE
1,0.5462848544120789,2020-06-12 13:05:55.453209,2020-06-12 13:07:23.389590,0 days 00:01:27.936381000,256,10000,0.9999,0.29670883848190205,0.18320744220960195,normal,10,COMPLETE
2,0.4750904142856598,2020-06-12 13:05:55.454387,2020-06-12 13:07:24.371309,0 days 00:01:28.916922000,64,1000000,0.9,0.00011194450997048289,0.20288165761104038,normal,10,COMPLETE
3,0.44118157029151917,2020-06-12 13:05:55.455054,2020-06-12 13:07:23.756666,0 days 00:01:28.301612000,16,1000000,0.9,0.638813391434298,0.9075614743579156,ornstein-uhlenbeck,10,COMPLETE
4,0.5599654912948608,2020-06-12 13:05:55.455852,2020-06-12 13:07:24.071733,0 days 00:01:28.615881000,128,10000,0.9999,1.15583124896551e-05,0.2648348890046929,ornstein-uhlenbeck,10,COMPLETE
5,0.386544406414032,2020-06-12 13:05:55.467376,2020-06-12 13:07:24.097547,0 days 00:01:28.630171000,16,10000,0.995,0.48034840010363955,0.05203137266870084,ornstein-uhlenbeck,100,COMPLETE
6,0.25830209255218506,2020-06-12 13:05:55.479208,2020-06-12 13:07:24.011161,0 days 00:01:28.531953000,128,10000,0.995,0.49861196451944606,0.4280162462325965,normal,100,COMPLETE
7,0.3861534595489502,2020-06-12 13:05:55.496320,2020-06-12 13:07:24.521916,0 days 00:01:29.025596000,32,10000,0.9999,0.061485286953059125,0.042130691772814366,ornstein-uhlenbeck,100,COMPLETE
8,0.5936225056648254,2020-06-12 13:05:55.515050,2020-06-12 13:07:24.021716,0 days 00:01:28.506666000,64,100000,0.9999,0.018185410603806733,0.43834884623415105,ornstein-uhlenbeck,10,COMPLETE
9,0.5607445240020752,2020-06-12 13:05:55.545786,2020-06-12 13:07:23.774397,0 days 00:01:28.228611000,64,10000,0.9,0.7267610422194724,0.9839382374535227,normal,1000,COMPLETE
