number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,1.7440286874771118,2020-06-23 01:40:05.285028,2020-06-23 01:40:55.481032,0 days 00:00:50.196004000,0.02251862739614823,0.999,8.5708544457039e-05,constant,2048,0.26930221923706965,COMPLETE
1,1.8476721048355103,2020-06-23 01:40:55.482421,2020-06-23 01:41:50.952531,0 days 00:00:55.470110000,1.4049837108480182e-08,0.9,0.00040778050953525356,linear,512,0.15513547153635365,COMPLETE
2,2.8042147159576416,2020-06-23 01:41:50.953885,2020-06-23 01:42:51.947903,0 days 00:01:00.994018000,0.02579126554197019,0.995,2.6629405800215498e-05,constant,16,0.30690157830961673,COMPLETE
3,1.2442377805709839,2020-06-23 01:42:51.949336,2020-06-23 01:43:43.765969,0 days 00:00:51.816633000,1.5489393944265296e-07,0.98,0.01135899728920263,constant,512,0.863967491064106,COMPLETE
4,1.4875743389129639,2020-06-23 01:43:43.767301,2020-06-23 01:44:38.983122,0 days 00:00:55.215821000,1.6189436748083055e-07,0.99,0.1074689350710309,constant,64,0.48595365908479504,COMPLETE
5,1.8554680347442627,2020-06-23 01:44:38.984484,2020-06-23 01:45:30.567858,0 days 00:00:51.583374000,1.4751627713511583e-06,0.9999,6.744992065373486e-05,constant,128,0.754230612549438,COMPLETE
6,2.8310141563415527,2020-06-23 01:45:30.569406,2020-06-23 01:46:34.852262,0 days 00:01:04.282856000,2.3975008172417805e-08,0.9999,0.0003668609765960167,linear,32,0.7509200020900634,COMPLETE
7,2.4065845012664795,2020-06-23 01:46:34.853674,2020-06-23 01:47:24.928471,0 days 00:00:50.074797000,3.4599676728008467e-06,0.999,0.013439389193530165,linear,128,0.8894634551159706,COMPLETE
8,1.5692470073699951,2020-06-23 01:47:24.929804,2020-06-23 01:48:18.378408,0 days 00:00:53.448604000,0.006628284150705096,0.9999,6.849156971639792e-05,linear,256,0.36059584783924337,COMPLETE
9,1.3188529014587402,2020-06-23 01:48:18.379784,2020-06-23 01:49:07.695787,0 days 00:00:49.316003000,0.0030305939069857173,0.9999,0.0016543392933362632,constant,256,0.028917322354532482,COMPLETE
10,2.80283784866333,2020-06-23 01:49:07.697124,2020-06-23 01:49:34.705254,0 days 00:00:27.008130000,6.116163977566497e-05,0.98,0.41118519552889465,constant,1024,0.9930662864223384,PRUNED
11,1.3768439292907715,2020-06-23 01:49:34.873906,2020-06-23 01:50:25.115008,0 days 00:00:50.241102000,0.00047782860507244567,0.98,0.00670103566145047,constant,256,0.6583938103162983,COMPLETE
12,1.4277559518814087,2020-06-23 01:50:25.116308,2020-06-23 01:51:16.643557,0 days 00:00:51.527249000,0.0006396698692773025,0.95,0.038634561984524134,constant,512,0.006948332191527018,COMPLETE
13,1.4070756435394287,2020-06-23 01:51:16.644855,2020-06-23 01:52:06.868942,0 days 00:00:50.224087000,1.5782354946792765e-05,0.98,0.0005999804827808386,constant,256,0.003714245480375078,COMPLETE
14,1.4091366529464722,2020-06-23 01:52:06.870309,2020-06-23 01:52:58.816895,0 days 00:00:51.946586000,0.0014389265599992912,0.98,0.0015677146481799594,constant,512,0.5333327119234548,COMPLETE
15,1.5159791707992554,2020-06-23 01:52:58.818354,2020-06-23 01:53:26.283181,0 days 00:00:27.464827000,1.0256781444153277e-07,0.9999,0.0030388267413055605,constant,64,0.9907882057262758,PRUNED
16,1.3975545167922974,2020-06-23 01:53:26.534540,2020-06-23 01:54:06.917001,0 days 00:00:40.382461000,7.81972773576966e-05,0.99,0.023599746141628512,constant,1024,0.14738041431867677,PRUNED
17,1.024115800857544,2020-06-23 01:54:07.128111,2020-06-23 01:54:54.237455,0 days 00:00:47.109344000,0.08690026706639527,0.9,0.10890323418595634,constant,2048,0.8838231558928074,PRUNED
18,2.1328811645507812,2020-06-23 01:54:54.510742,2020-06-23 01:55:22.864642,0 days 00:00:28.353900000,6.141338103843403e-07,0.95,0.00258814144736871,constant,16,0.5414203503148811,PRUNED
19,1.0791120529174805,2020-06-23 01:55:23.124946,2020-06-23 01:56:11.093119,0 days 00:00:47.968173000,1.573557204268011e-05,0.995,0.7853056350425168,constant,32,0.6500455788669948,PRUNED
20,1.2707183361053467,2020-06-23 01:56:11.274239,2020-06-23 01:56:59.667170,0 days 00:00:48.392931000,0.006047602212580955,0.9999,0.009111750865607714,constant,512,0.42716777175356163,COMPLETE
21,1.0455570220947266,2020-06-23 01:56:59.668551,2020-06-23 01:57:39.324596,0 days 00:00:39.656045000,0.00218239502491311,0.9999,0.008969192336052895,constant,512,0.41344461038032043,PRUNED
22,1.520290493965149,2020-06-23 01:57:39.515335,2020-06-23 01:58:25.620497,0 days 00:00:46.105162000,0.0002551274779527929,0.9999,0.0010635532751363988,constant,512,0.14294357141206143,COMPLETE
