number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
0,2.680290937423706,2020-06-26 02:31:32.944735,2020-06-26 02:42:26.115248,0 days 00:10:53.170513000,256,10000,0.995,0.11521618642999962,4,0.001986652277933265,ornstein-uhlenbeck,0.8899057260153573,1000,COMPLETE
1,2.5790514945983887,2020-06-26 02:42:26.116596,2020-06-26 02:49:17.018515,0 days 00:06:50.901919000,32,1000000,0.95,0.1516602903489281,2,0.5279352715925653,normal,0.6019617237351,100,COMPLETE
2,6.028869152069092,2020-06-26 02:49:17.071355,2020-06-26 02:56:17.243710,0 days 00:07:00.172355000,16,1000000,0.999,0.026974146752726958,6,0.8552570866305873,normal,0.4883952936453413,2000,COMPLETE
3,5.839460849761963,2020-06-26 02:56:17.244991,2020-06-26 03:03:53.645926,0 days 00:07:36.400935000,64,100000,0.98,0.7261681012838511,1,0.8426987605720776,normal,0.08475643733138893,10,COMPLETE
4,1.6633217334747314,2020-06-26 03:03:53.647168,2020-06-26 03:12:12.241879,0 days 00:08:18.594711000,100,10000,0.98,0.0004331131054252577,2,0.054478658073222275,ornstein-uhlenbeck,0.16571085616435044,2000,COMPLETE
5,2.039249897003174,2020-06-26 03:12:12.243204,2020-06-26 03:23:31.327787,0 days 00:11:19.084583000,256,100000,0.995,0.5453287155020636,8,0.9684541165271633,ornstein-uhlenbeck,0.41298568950421566,1000,COMPLETE
6,4.916128158569336,2020-06-26 03:23:31.329203,2020-06-26 03:33:51.695029,0 days 00:10:20.365826000,256,10000,0.999,0.014000135465198047,1,0.33689029402778137,normal,0.8052178203722593,2000,COMPLETE
7,5.629119873046875,2020-06-26 03:33:51.696319,2020-06-26 03:42:36.882423,0 days 00:08:45.186104000,100,1000000,0.9,1.5879419037718883e-05,8,0.939658585753801,ornstein-uhlenbeck,0.4540842348908045,10,COMPLETE
8,4.113231658935547,2020-06-26 03:42:36.883807,2020-06-26 04:06:34.378073,0 days 00:23:57.494266000,512,1000000,0.9,0.000257137957780917,8,0.1714629749186759,normal,0.5099703512916876,100,COMPLETE
9,2.5376155376434326,2020-06-26 04:06:34.379441,2020-06-26 04:17:40.509803,0 days 00:11:06.130362000,256,1000000,0.9,0.1568085606012484,1,0.38848663181690624,normal,0.15649622438444788,1,COMPLETE
10,4.206212520599365,2020-06-26 04:17:40.511128,2020-06-26 04:26:16.590929,0 days 00:08:36.079801000,128,10000,0.9999,0.0004833927949767004,2,0.021766729525707712,ornstein-uhlenbeck,0.27000170380202126,2000,COMPLETE
11,3.104933500289917,2020-06-26 04:26:16.592300,2020-06-26 04:35:03.789038,0 days 00:08:47.196738000,100,100000,0.995,0.0009733023760564085,8,0.6110087059527348,ornstein-uhlenbeck,0.2983306627403375,1000,COMPLETE
12,1.459592580795288,2020-06-26 04:35:03.790390,2020-06-26 04:43:22.277082,0 days 00:08:18.486692000,100,100000,0.99,3.5386574570008965e-05,2,0.6806680614132692,ornstein-uhlenbeck,0.2922555374115523,1000,COMPLETE
13,7.61316442489624,2020-06-26 04:43:22.278377,2020-06-26 04:46:14.674179,0 days 00:02:52.395802000,100,100000,0.99,3.111298729610889e-05,2,0.6844825726161134,ornstein-uhlenbeck,0.015099372078884427,1000,PRUNED
14,2.7100043296813965,2020-06-26 04:46:14.900089,2020-06-26 04:54:31.584622,0 days 00:08:16.684533000,100,10000,0.98,8.826382925515371e-05,2,0.742902352960457,ornstein-uhlenbeck,0.2113010091609499,2000,COMPLETE
15,4.2348246574401855,2020-06-26 04:54:31.585987,2020-06-26 05:03:25.751511,0 days 00:08:54.165524000,100,10000,0.99,0.002513319175630774,2,0.2156032183184857,ornstein-uhlenbeck,0.0030396302803046282,1,COMPLETE
16,4.403461456298828,2020-06-26 05:03:25.752915,2020-06-26 05:11:51.140949,0 days 00:08:25.388034000,100,100000,0.99,8.96083712376816e-05,2,0.47923061370221043,ornstein-uhlenbeck,0.35392530783210935,2000,COMPLETE
17,2.0313968658447266,2020-06-26 05:11:51.142403,2020-06-26 05:21:06.445959,0 days 00:09:15.303556000,128,10000,0.98,1.1276813608675806e-05,6,0.1485081870521917,ornstein-uhlenbeck,0.13056323487844318,1000,COMPLETE
18,5.349776268005371,2020-06-26 05:21:06.447321,2020-06-26 05:28:53.693249,0 days 00:07:47.245928000,64,100000,0.98,6.909646973955124e-05,4,0.596132117941501,ornstein-uhlenbeck,0.6598241649495608,2000,COMPLETE
19,6.9959306716918945,2020-06-26 05:28:53.694659,2020-06-26 05:31:22.259830,0 days 00:02:28.565171000,32,10000,0.95,0.002571453072460165,2,0.7480539445696281,ornstein-uhlenbeck,0.23854159990184629,1000,PRUNED
20,5.15566873550415,2020-06-26 05:31:22.431340,2020-06-26 05:38:12.686947,0 days 00:06:50.255607000,16,100000,0.99,0.00021700573313421324,2,0.3373124951518646,ornstein-uhlenbeck,0.3544966181488419,100,COMPLETE
21,2.904289722442627,2020-06-26 05:38:12.688380,2020-06-26 05:47:26.467182,0 days 00:09:13.778802000,128,10000,0.98,1.0897985883812917e-05,6,0.08891333463862042,ornstein-uhlenbeck,0.10004413163872228,1000,COMPLETE
22,6.6956353187561035,2020-06-26 05:47:26.468619,2020-06-26 05:51:07.236554,0 days 00:03:40.767935000,128,10000,0.98,2.810985828401797e-05,6,0.17578864551486367,ornstein-uhlenbeck,0.1349309043509802,1000,PRUNED
23,0.9761602282524109,2020-06-26 05:51:07.407240,2020-06-26 06:00:37.399475,0 days 00:09:29.992235000,128,10000,0.9999,0.0006565988056686715,6,0.06731895602509612,ornstein-uhlenbeck,0.013586348582844077,1000,COMPLETE
24,4.236659526824951,2020-06-26 06:00:37.401030,2020-06-26 06:25:44.949349,0 days 00:25:07.548319000,512,10000,0.9999,0.000901249265603785,6,0.05944764856562808,ornstein-uhlenbeck,0.021734197885093676,1000,COMPLETE
25,2.337684154510498,2020-06-26 06:25:44.950766,2020-06-26 06:34:20.677120,0 days 00:08:35.726354000,100,10000,0.9999,0.007368317466122343,4,0.2454865055552639,ornstein-uhlenbeck,0.20261297884099216,10,COMPLETE
26,1.959944486618042,2020-06-26 06:34:20.678627,2020-06-26 06:44:14.279634,0 days 00:09:53.601007000,128,10000,0.9999,0.00022295679480535563,6,0.45299111926022817,ornstein-uhlenbeck,0.042080266930265606,1,COMPLETE
27,6.423031806945801,2020-06-26 06:44:14.281135,2020-06-26 06:47:08.362802,0 days 00:02:54.081667000,100,100000,0.9999,0.0012468687079299676,2,0.2632091456766833,ornstein-uhlenbeck,0.306360865228316,1000,PRUNED
28,2.509979248046875,2020-06-26 06:47:08.599637,2020-06-26 06:54:28.412195,0 days 00:07:19.812558000,32,10000,0.99,0.0004923489352130255,2,0.5931628226021387,ornstein-uhlenbeck,0.1655112339989544,2000,COMPLETE
29,5.181611061096191,2020-06-26 06:54:28.413643,2020-06-26 06:56:54.783001,0 days 00:02:26.369358000,16,10000,0.9999,0.005071295202058473,4,0.028302519859602998,ornstein-uhlenbeck,0.3809622821795004,1000,PRUNED
30,5.7259721755981445,2020-06-26 06:56:54.971030,2020-06-26 07:20:28.244036,0 days 00:23:33.273006000,512,100000,0.99,3.680997334211823e-05,6,0.10365958921867291,ornstein-uhlenbeck,0.07737147773036508,1000,COMPLETE
31,3.6438968181610107,2020-06-26 07:20:28.245569,2020-06-26 07:30:11.947029,0 days 00:09:43.701460000,128,10000,0.9999,0.000306031419499367,6,0.45595698027420234,ornstein-uhlenbeck,0.03948103116570391,1,COMPLETE
32,3.1705048084259033,2020-06-26 07:30:11.948541,2020-06-26 07:40:02.769189,0 days 00:09:50.820648000,128,10000,0.9999,0.0001485337858708418,6,0.6613206070882014,ornstein-uhlenbeck,0.00489450679883538,1,COMPLETE
33,3.5078301429748535,2020-06-26 07:40:02.770681,2020-06-26 07:49:30.850457,0 days 00:09:28.079776000,128,10000,0.95,0.000512810548510937,6,0.7946847635590047,ornstein-uhlenbeck,0.197147806509882,1,COMPLETE
34,5.210195541381836,2020-06-26 07:49:30.851953,2020-06-26 07:59:19.163736,0 days 00:09:48.311783000,128,10000,0.999,0.00011535815601016955,6,0.005157412859128102,ornstein-uhlenbeck,0.0695828922001698,1,COMPLETE
35,6.366587162017822,2020-06-26 07:59:19.165232,2020-06-26 08:01:55.744926,0 days 00:02:36.579694000,64,10000,0.9999,0.0016806207264036814,2,0.5453573852628686,ornstein-uhlenbeck,0.5672037042238354,100,PRUNED
36,2.816711187362671,2020-06-26 08:01:55.909125,2020-06-26 08:10:42.145951,0 days 00:08:46.236826000,100,10000,0.995,4.991716054236622e-05,1,0.8733290457541902,normal,0.2647241214026995,1,COMPLETE
37,2.7109358310699463,2020-06-26 08:10:42.147481,2020-06-26 08:19:54.107009,0 days 00:09:11.959528000,128,1000000,0.9999,0.0001773875920805893,6,0.4037459247267395,ornstein-uhlenbeck,0.10075354782583645,10,COMPLETE
38,7.2578535079956055,2020-06-26 08:19:54.108647,2020-06-26 08:26:50.695338,0 days 00:06:56.586691000,32,100000,0.999,2.0643585358900642e-05,2,0.9092429239273752,ornstein-uhlenbeck,0.688368269228484,2000,COMPLETE
39,6.358828544616699,2020-06-26 08:26:50.696986,2020-06-26 08:38:07.925558,0 days 00:11:17.228572000,256,10000,0.95,0.00035615994197073524,6,0.30158522411528443,normal,0.1684469017618418,1000,COMPLETE
40,7.9916534423828125,2020-06-26 08:38:07.927188,2020-06-26 08:40:58.436565,0 days 00:02:50.509377000,100,1000000,0.9,0.04540698881585283,1,0.9984092776031955,ornstein-uhlenbeck,0.05393415963842384,2000,PRUNED
41,5.99990177154541,2020-06-26 08:40:58.648738,2020-06-26 08:50:08.977360,0 days 00:09:10.328622000,128,10000,0.98,1.2771102390757878e-05,6,0.1689973972315077,ornstein-uhlenbeck,0.136515843767592,1000,COMPLETE
42,3.151826858520508,2020-06-26 08:50:08.978954,2020-06-26 08:59:22.748508,0 days 00:09:13.769554000,128,10000,0.98,0.0007351881556222604,6,0.15179530773255062,ornstein-uhlenbeck,0.1182946474034266,1000,COMPLETE
