number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
30,1.5421628952026367,2020-06-23 00:13:45.322609,2020-06-23 00:14:14.111460,0 days 00:00:28.788851000,0.01106861480173158,0.98,0.04285918317840812,constant,32,0.3982618422945703,PRUNED
31,1.0552788972854614,2020-06-23 00:14:14.201761,2020-06-23 00:14:46.101655,0 days 00:00:31.899894000,0.0017489394373765572,0.9,0.005666938051708745,constant,128,0.984400279881398,PRUNED
32,1.2314410209655762,2020-06-23 00:14:46.193360,2020-06-23 00:15:16.674387,0 days 00:00:30.481027000,0.0007975311268159218,0.9,0.0053211355544781225,constant,128,0.6276838602899406,PRUNED
33,1.0248997211456299,2020-06-23 00:15:16.796864,2020-06-23 00:15:52.928431,0 days 00:00:36.131567000,0.0009985982038659175,0.9,0.0005258586478079438,constant,128,0.7329990953589862,PRUNED
34,1.3985669612884521,2020-06-23 00:15:53.018578,2020-06-23 00:16:22.350387,0 days 00:00:29.331809000,0.005058480056814396,0.9,0.0028065701621135092,constant,16,0.8547084639431852,PRUNED
35,1.5082377195358276,2020-06-23 00:16:22.442598,2020-06-23 00:17:00.123990,0 days 00:00:37.681392000,0.02787430182832817,0.99,0.0007001497782702338,constant,1024,0.5847841991073597,COMPLETE
36,1.9766820669174194,2020-06-23 00:17:00.125079,2020-06-23 00:17:24.242659,0 days 00:00:24.117580000,0.00033964809141211286,0.999,0.48539910449009155,linear,128,0.7222943884175301,PRUNED
37,1.1467128992080688,2020-06-23 00:17:24.334958,2020-06-23 00:17:53.997735,0 days 00:00:29.662777000,9.250620648598868e-06,0.995,0.00573669696485863,constant,512,0.8581585489914035,PRUNED
38,1.4926180839538574,2020-06-23 00:17:54.088827,2020-06-23 00:18:27.051172,0 days 00:00:32.962345000,4.157074730132998e-05,0.95,0.056309578262945074,constant,128,0.2930670264811719,PRUNED
39,1.1669564247131348,2020-06-23 00:18:27.175214,2020-06-23 00:18:55.262315,0 days 00:00:28.087101000,2.856854482478034e-08,0.9,0.0016435112852537914,linear,1024,0.19811580281695612,PRUNED
40,1.5204126834869385,2020-06-23 00:18:55.352591,2020-06-23 00:19:18.451258,0 days 00:00:23.098667000,0.012789617619402149,0.99,0.02289853020554213,constant,64,0.3758905000302394,PRUNED
41,1.1573692560195923,2020-06-23 00:19:18.541521,2020-06-23 00:19:49.538901,0 days 00:00:30.997380000,0.048084711472524536,0.99,0.0008862880787107939,constant,1024,0.6154410061898296,PRUNED
42,1.557157039642334,2020-06-23 00:19:49.630184,2020-06-23 00:20:31.310532,0 days 00:00:41.680348000,0.03229461971701421,0.99,0.00011325049409277855,constant,1024,0.5498447611967905,COMPLETE
43,1.1419355869293213,2020-06-23 00:20:31.311593,2020-06-23 00:21:06.023993,0 days 00:00:34.712400000,0.005532261934916037,0.99,0.0004749484098725342,constant,1024,0.7971970952978099,PRUNED
44,1.499602198600769,2020-06-23 00:21:06.121656,2020-06-23 00:21:33.345512,0 days 00:00:27.223856000,0.00014811100101385657,0.99,0.0032953600133406027,constant,32,0.6823402979833225,PRUNED
45,2.351170301437378,2020-06-23 00:21:33.447704,2020-06-23 00:21:57.648145,0 days 00:00:24.200441000,0.020961126184495738,0.95,0.0002538272656696686,constant,8,0.9562781674053034,PRUNED
46,1.1869620084762573,2020-06-23 00:21:57.740315,2020-06-23 00:22:36.946175,0 days 00:00:39.205860000,0.0997134427840965,0.999,0.0006934972222368441,constant,256,0.46980690487373156,PRUNED
47,1.1976735591888428,2020-06-23 00:22:37.070861,2020-06-23 00:23:13.966104,0 days 00:00:36.895243000,0.0008284307602712435,0.99,1.647881273477184e-05,constant,1024,0.34196489197083385,PRUNED
48,1.5568726062774658,2020-06-23 00:23:14.089940,2020-06-23 00:23:48.235901,0 days 00:00:34.145961000,2.1467327776606344e-06,0.9,0.011038039273680333,constant,32,0.9250918040679107,PRUNED
49,1.2544652223587036,2020-06-23 00:23:48.336118,2020-06-23 00:24:24.556702,0 days 00:00:36.220584000,0.002332452662425283,0.9999,0.0017274381109534515,constant,64,0.5578287954377883,PRUNED
50,1.0271680355072021,2020-06-23 00:24:24.662225,2020-06-23 00:25:04.930649,0 days 00:00:40.268424000,4.055725806151799e-05,0.995,0.0003348386879692295,constant,2048,0.1352719816842442,PRUNED
51,1.5821754932403564,2020-06-23 00:25:05.064895,2020-06-23 00:25:50.680953,0 days 00:00:45.616058000,0.033847674713728036,0.99,8.901919164670951e-05,constant,1024,0.5584684047905429,COMPLETE
