seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-3.3597989999999998,-3.5194949999999996,-2.347889,-3.6597470000000003,-2.697361,-4.554917,-1.9499240000000002,-2.656217,-3.063992,-2.882412,-3.0691752999999995,0.7423774516404935,-2.326797848359506,-3.811552751640493,100.0
-3.664679,-1.891719,-1.61073,-2.301603,-2.462829,-3.624636,-1.9745650000000001,-2.980768,-1.655046,-3.7531470000000002,-2.5919722,0.8517817199059602,-1.7401904800940398,-3.44375391990596,200.0
-2.8298349999999997,-2.838012,-4.010552,-3.846201,-3.7882550000000004,-2.358639,-2.485146,-1.499846,-2.770999,-3.791121,-3.0218606,0.8174641884898555,-2.2043964115101446,-3.8393247884898556,300.0
-2.747783,-3.411361,-3.570613,-3.9664980000000005,-2.869569,-2.866953,-2.60783,-1.694025,-2.157699,-4.2891379999999995,-3.0181469,0.7996308373609315,-2.2185160626390683,-3.817777737360932,400.0
-3.9976849999999997,-3.02144,-3.056047,-4.554926999999999,-4.5139059999999995,-3.358325,-3.259984,-2.31866,-2.9602169999999997,-2.660202,-3.3701392999999995,0.75394611408745,-2.6161931859125493,-4.12408541408745,500.0
-3.278464,-3.372068,-2.658106,-2.151463,-3.268733,-4.082761,-1.789364,-3.360127,-2.837776,-2.491149,-2.9290011,0.6772198609777822,-2.2517812390222174,-3.606220960977782,600.0
-2.826891,-2.678439,-3.406826,-3.4773099999999997,-3.0062759999999997,-3.42061,-1.9996779999999998,-3.319771,-3.5484620000000002,-1.465164,-2.9149427,0.6984693470476154,-2.216473352952385,-3.6134120470476154,700.0
-3.289647,-1.549372,-3.017912,-5.410901,-2.3688029999999998,-1.5657510000000001,-1.9219439999999999,-3.755682,-4.315028,-3.274768,-3.0469808,1.2459911476647194,-1.8009896523352806,-4.29297194766472,800.0
-2.693325,-2.184666,-2.9674720000000003,-2.715997,-4.502786,-2.644239,-1.9156119999999999,-2.256789,-3.3521120000000004,-1.92525,-2.7158248,0.7764049214202029,-1.9394198785797971,-3.4922297214202027,900.0
-3.727465,-2.263912,-4.46247,-2.43146,-4.290669,-3.376184,-2.941866,-2.635941,-2.360766,-4.307599,-3.2798332,0.8699754493763091,-2.409857750623691,-4.149808649376309,1000.0
-1.8951580000000001,-2.232008,-2.3908169999999997,-2.818738,-1.915007,-1.969185,-3.178147,-3.2988690000000003,-2.390907,-2.986447,-2.5075282999999997,0.5292751875761691,-1.9782531124238307,-3.0368034875761687,1100.0
-2.044778,-2.283492,-2.3979790000000003,-2.647554,-2.973034,-4.183498999999999,-4.618384,-2.665827,-2.638009,-2.696124,-2.914868,0.8297000259440488,-2.085167974055951,-3.744568025944049,1200.0
-2.810514,-2.851608,-3.5238410000000004,-3.4715540000000003,-4.573489,-3.24815,-3.7655559999999997,-3.3790400000000003,-2.31668,-3.8940379999999997,-3.3834470000000003,0.6340176315606514,-2.749429368439349,-4.017464631560651,1300.0
-2.415556,-2.527419,-3.3997879999999996,-2.915135,-3.3630449999999996,-2.409345,-3.091935,-2.287505,-1.873686,-2.928662,-2.7212076,0.49722972424204703,-2.223977875757953,-3.218437324242047,1400.0
-2.4969259999999998,-4.464457,-2.378034,-3.2694259999999997,-2.6969529999999997,-2.784521,-3.88533,-2.545985,-2.591885,-2.901926,-3.0015443,0.6799926352385576,-2.3215516647614423,-3.6815369352385576,1500.0
-1.792397,-2.134035,-2.773437,-2.742937,-2.053064,-2.8732830000000003,-3.378765,-1.488807,-3.154674,-4.434334,-2.6825733,0.8653301060246764,-1.8172431939753237,-3.5479034060246764,1600.0
-2.580095,-2.627739,-3.5998370000000004,-2.60955,-2.9684909999999998,-2.455133,-2.088788,-3.371653,-1.877882,-2.1411860000000003,-2.6320354000000004,0.5513811990836587,-2.080654200916342,-3.183416599083659,1700.0
-2.054896,-4.1211660000000006,-5.049746,-5.459511,-4.843903,-4.224728,-3.113302,-2.123618,-2.692314,-2.427708,-3.6110892000000008,1.2810410783084722,-2.3300481216915285,-4.892130278308473,1800.0
-2.078992,-3.243048,-2.1495319999999998,-2.196862,-2.6430000000000002,-3.235082,-3.011414,-3.028686,-4.322296,-2.3557900000000003,-2.8264702,0.6929540281358737,-2.1335161718641267,-3.5194242281358736,1900.0
-3.1122419999999997,-2.826537,-3.548614,-2.923798,-3.209285,-2.309672,-2.506447,-2.957711,-2.3631290000000003,-2.926328,-2.8683763,0.3877272634039007,-2.480649036596099,-3.256103563403901,2000.0
-3.3000529999999997,-3.29633,-1.7828099999999998,-2.491893,-2.987771,-2.807203,-2.465271,-1.618025,-2.133153,-2.4786900000000003,-2.5361199,0.579465087887374,-1.956654812112626,-3.1155849878873743,2100.0
-3.183793,-3.569863,-2.063671,-3.170366,-2.790547,-3.265882,-2.273112,-2.320102,-5.255338,-2.2311970000000003,-3.0123871,0.945487803110995,-2.066899296889005,-3.957874903110995,2200.0
-2.867854,-2.991186,-3.3733940000000002,-3.179748,-2.551807,-2.677649,-2.529016,-3.164172,-3.098406,-2.637884,-2.9071116000000004,0.29765143124287735,-2.609460168757123,-3.204763031242878,2300.0
-4.343911,-2.5849849999999996,-3.153834,-2.410357,-5.621233999999999,-1.428778,-2.690617,-5.096056,-2.151107,-3.4675290000000003,-3.2948408000000002,1.3436411790710758,-1.9511996209289244,-4.638481979071076,2400.0
-2.438555,-3.158729,-1.790417,-3.694611,-4.163161,-2.4043419999999998,-3.425479,-2.515015,-2.647671,-4.516506,-3.0754485999999996,0.8677548881442654,-2.2076937118557343,-3.943203488144265,2500.0
-2.11469,-2.532985,-2.734214,-3.036571,-3.698238,-4.082132,-4.738654,-3.001368,-3.770432,-2.028692,-3.1737975999999994,0.8813039994614293,-2.2924936005385703,-4.055101599461429,2600.0
-3.3891379999999995,-3.021779,-2.535397,-3.17761,-3.07972,-4.3564989999999995,-3.029874,-2.414772,-2.535356,-2.554478,-3.0094623,0.5776024775706807,-2.4318598224293195,-3.5870647775706805,2700.0
-2.425478,-2.9265790000000003,-3.313729,-1.8531529999999998,-2.981188,-3.490331,-2.620368,-2.907405,-4.079983,-2.638138,-2.9236352,0.6129722061373131,-2.310662993862687,-3.536607406137313,2800.0
-3.7813730000000003,-3.344793,-4.127941000000001,-1.8585909999999999,-4.403653,-3.196684,-1.9540970000000002,-1.735624,-3.93718,-1.894191,-3.0234127000000006,1.059434641131145,-1.9639780588688556,-4.082847341131146,2900.0
-4.377952,-2.071519,-3.376986,-3.275902,-2.582943,-3.353875,-1.958531,-2.0799950000000003,-3.157816,-2.666665,-2.8902183999999997,0.7619272413076664,-2.1282911586923334,-3.652145641307666,3000.0
-1.6968029999999998,-2.4653240000000003,-3.8458589999999995,-2.347226,-2.662361,-3.7348489999999996,-3.665969,-3.2410080000000003,-2.909769,-2.212727,-2.8781895000000004,0.7273206026747534,-2.150868897325247,-3.605510102674754,3100.0
-2.584749,-3.7767699999999995,-4.117062000000001,-3.197103,-2.90925,-2.6334299999999997,-2.825666,-3.464029,-2.0698950000000003,-3.616971,-3.1194925,0.6283815599931215,-2.4911109400068785,-3.747874059993121,3200.0
-4.633369999999999,-4.204171,-2.849355,-2.697731,-3.255578,-2.100595,-2.256714,-2.9565759999999996,-2.85738,-1.8153279999999998,-2.9626797999999996,0.8863442550982845,-2.076335544901715,-3.849024055098284,3300.0
-2.4781299999999997,-2.837054,-2.302494,-4.041561,-3.363346,-2.8297849999999998,-2.6544939999999997,-1.889018,-3.528168,-3.6369160000000003,-2.9560966,0.6708419947133105,-2.2852546052866893,-3.6269385947133106,3400.0
-2.477497,-2.98231,-2.952681,-3.49455,-3.372294,-3.3834739999999996,-2.7034290000000003,-3.7861519999999995,-3.9265339999999997,-3.673808,-3.2752728999999996,0.4791794313549523,-2.796093468645047,-3.754452331354952,3500.0
-1.876212,-2.545935,-3.213246,-3.115224,-2.0640490000000002,-2.185835,-3.196303,-3.2920580000000004,-2.343918,-2.116099,-2.5948879,0.5538845665460248,-2.041003333453975,-3.1487724665460246,3600.0
-3.9362239999999997,-3.9728199999999996,-2.196352,-1.841625,-3.2480700000000002,-1.884167,-2.921507,-2.259682,-2.2326189999999997,-2.676653,-2.7169719,0.7862575636619691,-1.9307143363380308,-3.503229463661969,3700.0
-3.6358449999999998,-3.3877599999999997,-2.381647,-3.339887,-2.178039,-2.378922,-2.482065,-2.296281,-2.916138,-2.707121,-2.7703705000000003,0.5209914715421079,-2.2493790284578923,-3.2913619715421083,3800.0
-4.05368,-3.6364699999999996,-2.8936580000000003,-3.735443,-2.999752,-2.096709,-2.782526,-3.844932,-3.0576659999999998,-1.918755,-3.1019590999999997,0.7236573686529112,-2.3783017313470887,-3.825616468652911,3900.0
-3.7956019999999997,-1.7636759999999998,-2.534238,-2.452271,-2.62222,-2.665318,-3.255763,-2.926784,-3.993033,-2.693212,-2.8702116999999996,0.6596050439196424,-2.2106066560803574,-3.5298167439196417,4000.0
-3.358146,-3.3771760000000004,-1.621386,-2.469728,-2.500212,-2.4976380000000002,-2.622179,-2.482285,-4.666937,-2.892831,-2.8488518000000003,0.8115098940605578,-2.037341905939442,-3.6603616940605583,4100.0
-2.181179,-3.604253,-2.628039,-2.788643,-2.000122,-2.520395,-2.641077,-3.932666,-1.291671,-3.1260209999999997,-2.6714066,0.7675080805119614,-1.9038985194880387,-3.4389146805119615,4200.0
-1.964377,-2.550617,-1.744175,-3.879381,-2.162651,-2.746912,-2.3662259999999997,-2.219955,-3.324786,-3.389854,-2.6348933999999997,0.6931937210979338,-1.941699678902066,-3.3280871210979335,4300.0
-2.315259,-2.2676,-3.6459260000000002,-3.246626,-1.7593729999999999,-3.981129,-3.615639,-3.085044,-2.719625,-2.951767,-2.9587988000000003,0.7020050079403201,-2.25679379205968,-3.6608038079403205,4400.0
-2.179511,-4.005547,-2.715631,-3.24647,-3.453511,-1.702634,-3.9993830000000004,-2.074132,-2.878097,-3.4288559999999997,-2.9683772,0.7999685168754802,-2.16840868312452,-3.76834571687548,4500.0
-3.81828,-4.648998000000001,-3.3145269999999996,-3.449089,-2.263759,-1.963813,-2.133279,-3.078907,-1.8860080000000001,-2.073959,-2.8630619,0.9412497790481017,-1.9218121209518984,-3.8043116790481015,4600.0
-3.801105,-2.620159,-1.797454,-2.10335,-2.115175,-2.5276959999999997,-2.277108,-3.445939,-2.883093,-1.096541,-2.466762,0.7857737206260111,-1.680988279373989,-3.2525357206260113,4700.0
-4.211415000000001,-4.1386970000000005,-3.3733190000000004,-3.752987,-1.805441,-2.198458,-3.046888,-4.417369,-2.574415,-2.5835310000000002,-3.2102520000000005,0.9106528666633749,-2.299599133336626,-4.120904866663375,4800.0
